assignment_id,user_id,experiment_id,variant,assigned_at,segment,cluster_id
94,254,EXP_MODEL_02,control,2026-03-03T16:05,enterprise,501
95,467,EXP_MODEL_02,control,2026-03-08T23:49,returning,563
96,328,EXP_PROMPT_01,control,2026-03-25T21:39,new,43
97,393,EXP_MODEL_02,treatment,2026-03-12T14:40,returning,574
98,560,EXP_PROMPT_01,control,2026-03-15T22:08,returning,503
99,327,EXP_MODEL_02,control,2026-03-09T19:37,returning,9
100,521,EXP_PROMPT_01,treatment,2026-03-02T05:30,new,575
101,417,EXP_MODEL_02,treatment,2026-04-13T01:05,returning,375
102,512,EXP_PROMPT_01,control,2026-03-24T15:44,enterprise,11
103,595,EXP_MODEL_02,control,2026-03-31T09:28,new,652
104,21,EXP_PROMPT_01,treatment,2026-04-05T07:20,new,558
105,16,EXP_MODEL_02,treatment,2026-04-09T16:21,new,185
106,45,EXP_MODEL_02,control,2026-04-21T14:29,new,431
107,245,EXP_MODEL_02,treatment,2026-03-29T18:30,new,679
108,509,EXP_MODEL_02,treatment,2026-04-18T03:37,new,62
109,339,EXP_PROMPT_01,treatment,2026-03-01T10:00,enterprise,273
110,326,EXP_MODEL_02,control,2026-04-10T21:26,new,92
111,108,EXP_MODEL_02,treatment,2026-03-14T03:45,new,576
112,360,EXP_PROMPT_01,treatment,2026-03-31T17:17,enterprise,221
113,507,EXP_PROMPT_01,control,2026-04-23T02:44,enterprise,290
114,256,EXP_PROMPT_01,control,2026-03-26T23:54,returning,474
115,267,EXP_MODEL_02,control,2026-04-25T19:48,enterprise,176
116,573,EXP_MODEL_02,control,2026-03-12T21:26,enterprise,596
117,253,EXP_PROMPT_01,treatment,2026-03-07T08:18,returning,523
118,33,EXP_MODEL_02,treatment,2026-03-24T01:02,returning,288
119,442,EXP_MODEL_02,control,2026-04-15T03:21,returning,91
120,573,EXP_PROMPT_01,treatment,2026-03-13T07:39,enterprise,347
121,549,EXP_MODEL_02,control,2026-03-08T04:54,enterprise,73
122,11,EXP_PROMPT_01,treatment,2026-04-13T07:24,new,283
123,137,EXP_PROMPT_01,control,2026-03-12T04:16,new,407
124,207,EXP_PROMPT_01,treatment,2026-04-14T07:33,enterprise,612
125,94,EXP_PROMPT_01,treatment,2026-03-02T02:11,returning,632
126,205,EXP_MODEL_02,treatment,2026-03-06T05:55,returning,662
127,77,EXP_PROMPT_01,control,2026-04-01T08:14,enterprise,376
128,90,EXP_MODEL_02,treatment,2026-04-16T14:07,enterprise,30
129,33,EXP_PROMPT_01,treatment,2026-04-16T21:56,new,243
130,99,EXP_PROMPT_01,treatment,2026-04-02T07:41,returning,257
131,203,EXP_PROMPT_01,treatment,2026-04-08T01:06,returning,506
132,124,EXP_PROMPT_01,treatment,2026-03-27T04:33,returning,192
133,173,EXP_PROMPT_01,treatment,2026-03-14T18:15,new,88
134,25,EXP_PROMPT_01,treatment,2026-04-29T02:12,returning,292
135,150,EXP_MODEL_02,treatment,2026-04-11T11:58,returning,133
136,229,EXP_PROMPT_01,treatment,2026-03-15T08:17,returning,94
137,55,EXP_PROMPT_01,control,2026-03-05T19:47,enterprise,550
138,466,EXP_MODEL_02,treatment,2026-04-11T01:11,new,67
139,442,EXP_PROMPT_01,treatment,2026-03-15T20:58,enterprise,527
140,582,EXP_PROMPT_01,control,2026-04-23T19:59,enterprise,275
141,495,EXP_PROMPT_01,treatment,2026-04-28T05:21,new,94
142,555,EXP_PROMPT_01,treatment,2026-04-10T11:44,returning,314
143,59,EXP_PROMPT_01,treatment,2026-04-26T07:11,returning,105
144,527,EXP_PROMPT_01,control,2026-03-17T02:00,new,485
145,553,EXP_MODEL_02,treatment,2026-03-22T15:00,new,177
146,236,EXP_PROMPT_01,treatment,2026-04-13T14:49,returning,255
147,535,EXP_PROMPT_01,control,2026-04-10T02:20,new,613
148,321,EXP_PROMPT_01,control,2026-03-27T06:40,new,539
149,63,EXP_MODEL_02,treatment,2026-04-24T13:31,enterprise,618
150,37,EXP_MODEL_02,control,2026-03-13T11:13,enterprise,301
151,154,EXP_PROMPT_01,treatment,2026-03-23T12:22,new,312
152,88,EXP_MODEL_02,control,2026-03-20T10:44,enterprise,540
153,590,EXP_PROMPT_01,control,2026-03-26T00:36,returning,443
154,523,EXP_PROMPT_01,control,2026-04-29T23:19,new,618
155,563,EXP_PROMPT_01,treatment,2026-04-24T16:46,returning,534
156,327,EXP_MODEL_02,treatment,2026-04-13T03:30,returning,89
157,482,EXP_PROMPT_01,treatment,2026-04-21T19:41,enterprise,112
158,539,EXP_MODEL_02,treatment,2026-04-06T16:12,enterprise,160
159,142,EXP_MODEL_02,treatment,2026-03-27T17:20,new,572
160,536,EXP_PROMPT_01,treatment,2026-04-28T08:51,enterprise,333
161,294,EXP_MODEL_02,treatment,2026-03-30T03:27,new,677
162,163,EXP_PROMPT_01,treatment,2026-04-08T08:28,new,686
163,13,EXP_MODEL_02,treatment,2026-04-29T07:23,new,511
164,309,EXP_MODEL_02,treatment,2026-04-15T04:24,enterprise,320
165,565,EXP_PROMPT_01,treatment,2026-03-22T02:46,new,333
166,347,EXP_PROMPT_01,treatment,2026-04-15T04:24,new,628
167,23,EXP_MODEL_02,treatment,2026-04-06T11:30,returning,225
168,287,EXP_MODEL_02,control,2026-04-17T19:30,new,555
169,342,EXP_PROMPT_01,treatment,2026-03-15T06:01,new,397
170,77,EXP_PROMPT_01,treatment,2026-04-09T05:33,enterprise,392
171,147,EXP_MODEL_02,treatment,2026-04-10T08:32,enterprise,95
172,519,EXP_MODEL_02,treatment,2026-04-03T02:47,returning,566
173,111,EXP_MODEL_02,treatment,2026-04-09T17:28,enterprise,495
174,357,EXP_MODEL_02,control,2026-04-27T15:44,new,564
175,126,EXP_PROMPT_01,treatment,2026-04-02T02:33,returning,192
176,400,EXP_MODEL_02,control,2026-04-22T20:20,returning,261
177,517,EXP_PROMPT_01,control,2026-03-07T01:17,returning,632
178,406,EXP_PROMPT_01,control,2026-03-28T15:46,returning,88
179,541,EXP_MODEL_02,control,2026-04-19T15:47,enterprise,479
180,56,EXP_MODEL_02,treatment,2026-03-10T02:30,returning,306
181,501,EXP_MODEL_02,control,2026-03-10T23:14,new,482
182,167,EXP_PROMPT_01,treatment,2026-04-27T01:29,returning,378
183,480,EXP_MODEL_02,treatment,2026-03-24T15:12,returning,330
184,444,EXP_MODEL_02,control,2026-04-22T00:36,new,451
185,600,EXP_MODEL_02,control,2026-04-25T19:47,returning,600
186,395,EXP_MODEL_02,treatment,2026-04-06T23:03,new,455
187,320,EXP_PROMPT_01,treatment,2026-04-10T19:50,new,285
188,55,EXP_PROMPT_01,treatment,2026-04-12T21:15,returning,544
189,340,EXP_MODEL_02,treatment,2026-04-03T09:05,new,615
190,242,EXP_PROMPT_01,control,2026-03-05T19:37,returning,579
191,518,EXP_PROMPT_01,treatment,2026-03-10T16:11,enterprise,552
192,365,EXP_MODEL_02,treatment,2026-03-13T20:56,new,687
193,233,EXP_MODEL_02,control,2026-04-04T03:47,enterprise,528
194,510,EXP_MODEL_02,control,2026-04-17T13:03,new,330
195,559,EXP_MODEL_02,control,2026-04-27T00:06,returning,618
196,377,EXP_PROMPT_01,control,2026-03-30T05:23,new,558
197,317,EXP_PROMPT_01,treatment,2026-03-26T23:58,returning,1
198,291,EXP_MODEL_02,control,2026-04-10T18:14,new,359
199,218,EXP_PROMPT_01,treatment,2026-04-07T04:22,enterprise,226
200,535,EXP_MODEL_02,control,2026-03-26T11:32,returning,99
201,276,EXP_MODEL_02,control,2026-03-07T08:49,returning,252
202,57,EXP_PROMPT_01,treatment,2026-04-27T15:13,enterprise,311
203,514,EXP_PROMPT_01,treatment,2026-04-23T08:19,new,71
204,553,EXP_PROMPT_01,control,2026-04-11T20:57,returning,653
205,465,EXP_PROMPT_01,treatment,2026-04-24T08:20,returning,422
206,28,EXP_PROMPT_01,treatment,2026-04-05T16:05,returning,246
207,436,EXP_MODEL_02,control,2026-04-04T23:37,enterprise,330
208,338,EXP_PROMPT_01,treatment,2026-04-24T07:23,enterprise,168
209,363,EXP_MODEL_02,treatment,2026-04-13T16:24,new,394
210,552,EXP_MODEL_02,treatment,2026-03-17T19:27,returning,230
211,574,EXP_MODEL_02,treatment,2026-03-01T23:25,enterprise,260
212,268,EXP_PROMPT_01,control,2026-04-16T14:09,returning,44
213,352,EXP_PROMPT_01,treatment,2026-04-02T21:22,new,555
214,66,EXP_PROMPT_01,control,2026-04-18T22:46,enterprise,228
215,584,EXP_PROMPT_01,control,2026-04-04T18:46,enterprise,238
216,68,EXP_PROMPT_01,control,2026-04-15T05:18,returning,105
217,276,EXP_PROMPT_01,treatment,2026-03-27T14:34,enterprise,47
218,140,EXP_PROMPT_01,treatment,2026-03-24T14:36,new,487
219,239,EXP_PROMPT_01,control,2026-04-24T13:59,returning,357
220,162,EXP_MODEL_02,control,2026-04-09T03:45,enterprise,411
221,575,EXP_PROMPT_01,control,2026-04-07T00:43,returning,100
222,272,EXP_PROMPT_01,treatment,2026-04-01T10:21,returning,622
223,475,EXP_PROMPT_01,treatment,2026-04-10T22:47,returning,613
224,400,EXP_MODEL_02,treatment,2026-03-09T00:18,enterprise,76
225,526,EXP_PROMPT_01,treatment,2026-04-04T02:39,enterprise,265
226,260,EXP_MODEL_02,control,2026-03-12T19:25,new,376
227,474,EXP_MODEL_02,treatment,2026-03-15T22:30,new,99
228,292,EXP_MODEL_02,control,2026-03-14T21:31,new,482
229,510,EXP_MODEL_02,treatment,2026-03-31T21:13,new,693
230,209,EXP_MODEL_02,control,2026-03-08T10:48,new,378
231,245,EXP_PROMPT_01,control,2026-04-10T22:06,new,159
232,216,EXP_PROMPT_01,treatment,2026-03-17T00:35,returning,482
233,288,EXP_PROMPT_01,control,2026-03-18T01:55,returning,194
234,361,EXP_MODEL_02,control,2026-03-31T09:51,enterprise,63
235,65,EXP_PROMPT_01,control,2026-03-10T10:30,enterprise,386
236,361,EXP_MODEL_02,treatment,2026-04-19T18:18,returning,432
237,448,EXP_PROMPT_01,control,2026-04-16T03:45,enterprise,81
238,321,EXP_PROMPT_01,control,2026-03-22T19:40,new,471
239,222,EXP_MODEL_02,treatment,2026-03-07T03:56,returning,611
240,321,EXP_MODEL_02,control,2026-04-21T02:20,new,165
241,325,EXP_PROMPT_01,control,2026-03-30T10:11,new,99
242,309,EXP_MODEL_02,treatment,2026-04-12T12:07,enterprise,224
243,169,EXP_MODEL_02,treatment,2026-04-20T18:17,returning,14
244,371,EXP_PROMPT_01,treatment,2026-04-01T00:35,returning,294
245,185,EXP_MODEL_02,control,2026-03-03T04:14,returning,424
246,600,EXP_PROMPT_01,treatment,2026-03-19T09:47,new,384
247,435,EXP_MODEL_02,treatment,2026-04-08T15:53,returning,361
248,309,EXP_PROMPT_01,treatment,2026-05-01T15:19,new,42
249,222,EXP_PROMPT_01,control,2026-03-01T16:05,enterprise,602
250,46,EXP_MODEL_02,control,2026-03-11T06:54,new,12
251,424,EXP_MODEL_02,treatment,2026-04-23T16:47,enterprise,174
252,49,EXP_MODEL_02,control,2026-03-31T22:33,enterprise,533
253,174,EXP_PROMPT_01,treatment,2026-04-28T00:41,new,594
254,56,EXP_PROMPT_01,control,2026-04-11T00:35,enterprise,8
255,336,EXP_PROMPT_01,treatment,2026-04-12T09:16,new,413
256,149,EXP_MODEL_02,control,2026-03-28T09:10,returning,150
257,111,EXP_MODEL_02,control,2026-03-08T05:49,returning,562
258,414,EXP_MODEL_02,treatment,2026-04-05T16:08,new,212
259,358,EXP_PROMPT_01,treatment,2026-03-15T22:53,enterprise,227
260,152,EXP_PROMPT_01,treatment,2026-04-29T11:25,new,441
261,340,EXP_PROMPT_01,control,2026-04-13T09:25,new,617
262,195,EXP_PROMPT_01,control,2026-03-10T17:53,enterprise,313
263,204,EXP_MODEL_02,control,2026-03-08T18:26,new,317
264,230,EXP_MODEL_02,control,2026-03-08T12:24,returning,632
265,472,EXP_MODEL_02,control,2026-03-29T11:38,enterprise,68
266,506,EXP_MODEL_02,control,2026-03-15T10:43,returning,688
267,522,EXP_PROMPT_01,treatment,2026-03-06T03:16,new,97
268,434,EXP_PROMPT_01,treatment,2026-04-21T22:05,new,317
269,91,EXP_MODEL_02,treatment,2026-04-01T14:12,enterprise,158
270,501,EXP_MODEL_02,treatment,2026-04-14T15:32,returning,643
271,406,EXP_PROMPT_01,treatment,2026-03-11T18:38,returning,668
272,285,EXP_MODEL_02,control,2026-03-22T16:17,enterprise,113
273,253,EXP_MODEL_02,control,2026-03-06T15:18,returning,686
274,482,EXP_MODEL_02,control,2026-03-31T20:40,returning,602
275,521,EXP_PROMPT_01,treatment,2026-04-17T08:53,enterprise,171
276,439,EXP_MODEL_02,treatment,2026-04-22T21:13,enterprise,408
277,31,EXP_PROMPT_01,treatment,2026-04-14T20:54,returning,548
278,429,EXP_PROMPT_01,control,2026-04-04T00:15,new,557
279,522,EXP_MODEL_02,treatment,2026-04-22T19:51,returning,79
280,177,EXP_PROMPT_01,control,2026-03-26T06:06,returning,104
281,58,EXP_PROMPT_01,treatment,2026-03-20T00:33,new,210
282,170,EXP_MODEL_02,control,2026-03-14T14:52,returning,276
283,49,EXP_MODEL_02,control,2026-03-29T21:53,returning,344
284,245,EXP_MODEL_02,treatment,2026-03-27T04:59,enterprise,43
285,56,EXP_MODEL_02,control,2026-03-16T00:14,enterprise,533
286,363,EXP_MODEL_02,treatment,2026-04-12T05:56,returning,88
287,177,EXP_MODEL_02,treatment,2026-04-23T13:40,new,277
288,423,EXP_PROMPT_01,treatment,2026-03-29T23:00,returning,698
289,542,EXP_PROMPT_01,control,2026-03-17T20:10,enterprise,394
290,35,EXP_MODEL_02,control,2026-03-18T01:12,returning,514
291,224,EXP_PROMPT_01,control,2026-04-15T22:40,enterprise,201
292,55,EXP_MODEL_02,control,2026-04-30T22:40,returning,444
293,480,EXP_PROMPT_01,treatment,2026-03-02T14:28,new,503
294,169,EXP_MODEL_02,control,2026-03-22T12:53,enterprise,77
295,151,EXP_MODEL_02,control,2026-04-14T03:02,returning,419
296,517,EXP_PROMPT_01,treatment,2026-03-11T05:52,new,348
297,501,EXP_PROMPT_01,control,2026-04-17T14:36,returning,168
298,164,EXP_MODEL_02,control,2026-04-23T23:25,new,478
299,361,EXP_MODEL_02,treatment,2026-04-08T21:15,returning,560
300,282,EXP_MODEL_02,control,2026-04-18T14:56,enterprise,344
301,575,EXP_MODEL_02,control,2026-04-01T00:50,enterprise,682
302,217,EXP_PROMPT_01,control,2026-03-12T15:10,returning,31
303,426,EXP_PROMPT_01,control,2026-03-04T12:12,enterprise,275
304,69,EXP_PROMPT_01,treatment,2026-04-27T13:18,new,637
305,92,EXP_PROMPT_01,treatment,2026-03-16T01:56,enterprise,565
306,447,EXP_PROMPT_01,treatment,2026-03-19T22:51,returning,332
307,182,EXP_PROMPT_01,control,2026-03-06T00:31,returning,357
308,390,EXP_MODEL_02,treatment,2026-04-04T17:17,new,31
309,120,EXP_MODEL_02,treatment,2026-03-05T21:26,returning,264
310,149,EXP_PROMPT_01,control,2026-04-08T09:10,enterprise,229
311,193,EXP_PROMPT_01,treatment,2026-03-27T03:51,enterprise,108
312,67,EXP_MODEL_02,treatment,2026-03-15T21:56,returning,677
313,60,EXP_MODEL_02,treatment,2026-04-25T00:08,new,674
314,97,EXP_MODEL_02,control,2026-04-18T12:13,returning,367
315,538,EXP_PROMPT_01,control,2026-04-17T17:14,returning,150
316,595,EXP_MODEL_02,control,2026-04-15T17:46,new,552
317,368,EXP_MODEL_02,control,2026-03-30T20:05,enterprise,168
318,499,EXP_PROMPT_01,control,2026-03-08T04:17,returning,66
319,472,EXP_MODEL_02,treatment,2026-04-01T17:28,returning,415
320,550,EXP_MODEL_02,control,2026-03-22T11:55,new,488
321,198,EXP_PROMPT_01,control,2026-04-17T18:29,enterprise,444
322,499,EXP_MODEL_02,control,2026-03-22T07:54,enterprise,682
323,498,EXP_PROMPT_01,control,2026-04-23T08:14,returning,225
324,401,EXP_PROMPT_01,control,2026-05-01T13:53,new,329
325,161,EXP_MODEL_02,treatment,2026-03-28T17:52,returning,459
326,396,EXP_MODEL_02,treatment,2026-03-22T13:22,returning,518
327,466,EXP_PROMPT_01,treatment,2026-04-02T08:26,new,265
328,14,EXP_PROMPT_01,treatment,2026-03-06T10:47,returning,555
329,197,EXP_MODEL_02,treatment,2026-04-18T06:08,new,332
330,401,EXP_MODEL_02,treatment,2026-03-05T16:57,enterprise,304
331,54,EXP_MODEL_02,control,2026-03-10T17:27,enterprise,632
332,279,EXP_MODEL_02,control,2026-03-08T23:10,enterprise,64
333,372,EXP_MODEL_02,treatment,2026-03-15T00:12,returning,309
334,523,EXP_MODEL_02,control,2026-04-02T22:20,new,337
335,137,EXP_MODEL_02,treatment,2026-03-08T15:04,enterprise,37
336,464,EXP_PROMPT_01,control,2026-04-22T11:54,returning,320
337,59,EXP_MODEL_02,treatment,2026-03-26T03:35,enterprise,485
338,534,EXP_MODEL_02,treatment,2026-04-28T20:11,new,124
339,116,EXP_PROMPT_01,treatment,2026-03-08T22:44,new,306
340,187,EXP_PROMPT_01,control,2026-04-28T18:15,enterprise,689
341,594,EXP_PROMPT_01,treatment,2026-04-17T14:56,enterprise,660
342,211,EXP_PROMPT_01,treatment,2026-03-11T19:18,returning,541
343,246,EXP_MODEL_02,treatment,2026-03-03T09:48,new,331
344,92,EXP_PROMPT_01,treatment,2026-04-22T18:28,new,74
345,16,EXP_PROMPT_01,treatment,2026-05-02T08:22,new,572
346,514,EXP_PROMPT_01,control,2026-04-10T20:09,enterprise,689
347,132,EXP_PROMPT_01,control,2026-04-21T01:50,returning,344
348,230,EXP_PROMPT_01,treatment,2026-03-31T07:44,new,95
349,509,EXP_PROMPT_01,control,2026-04-26T04:36,enterprise,154
350,27,EXP_PROMPT_01,control,2026-03-10T16:55,enterprise,136
351,542,EXP_MODEL_02,control,2026-03-04T08:17,new,10
352,412,EXP_PROMPT_01,treatment,2026-04-03T15:06,enterprise,544
353,327,EXP_PROMPT_01,treatment,2026-03-28T13:57,enterprise,363
354,455,EXP_PROMPT_01,control,2026-03-30T10:53,enterprise,31
355,145,EXP_PROMPT_01,control,2026-03-29T01:54,enterprise,504
356,552,EXP_PROMPT_01,control,2026-04-25T06:36,new,597
357,443,EXP_PROMPT_01,control,2026-03-08T23:28,returning,666
358,507,EXP_PROMPT_01,treatment,2026-04-06T21:54,enterprise,633
359,44,EXP_PROMPT_01,control,2026-04-25T18:27,returning,84
360,473,EXP_PROMPT_01,treatment,2026-04-13T08:59,new,143
361,141,EXP_MODEL_02,treatment,2026-04-17T00:18,new,678
362,233,EXP_MODEL_02,treatment,2026-03-26T07:44,returning,76
363,329,EXP_PROMPT_01,treatment,2026-03-04T15:13,new,294
364,154,EXP_PROMPT_01,treatment,2026-03-23T18:16,returning,437
365,492,EXP_PROMPT_01,treatment,2026-03-11T03:06,returning,653
366,381,EXP_MODEL_02,treatment,2026-03-30T13:50,enterprise,191
367,314,EXP_MODEL_02,control,2026-03-15T10:28,new,352
368,220,EXP_MODEL_02,treatment,2026-03-29T03:48,returning,155
369,493,EXP_PROMPT_01,control,2026-03-17T11:45,enterprise,583
370,371,EXP_PROMPT_01,treatment,2026-04-30T03:48,returning,500
371,497,EXP_PROMPT_01,treatment,2026-04-15T15:41,new,116
372,141,EXP_MODEL_02,treatment,2026-04-27T02:00,new,616
373,119,EXP_PROMPT_01,treatment,2026-04-03T16:55,returning,277
374,384,EXP_MODEL_02,control,2026-04-08T05:10,new,408
375,406,EXP_PROMPT_01,control,2026-04-23T12:58,returning,133
376,152,EXP_PROMPT_01,treatment,2026-03-04T15:15,enterprise,333
377,288,EXP_PROMPT_01,treatment,2026-04-28T01:34,enterprise,94
378,532,EXP_MODEL_02,treatment,2026-03-15T15:36,new,138
379,254,EXP_MODEL_02,treatment,2026-03-13T10:19,new,493
380,533,EXP_MODEL_02,control,2026-03-18T17:58,new,436
381,179,EXP_PROMPT_01,treatment,2026-04-10T20:17,returning,296
382,110,EXP_MODEL_02,treatment,2026-03-25T16:00,returning,195
383,357,EXP_MODEL_02,treatment,2026-04-26T14:59,returning,609
384,161,EXP_MODEL_02,treatment,2026-04-25T08:08,enterprise,121
385,58,EXP_PROMPT_01,treatment,2026-03-12T10:10,returning,352
386,51,EXP_MODEL_02,treatment,2026-03-27T02:59,enterprise,437
387,257,EXP_PROMPT_01,treatment,2026-03-10T06:41,returning,626
388,145,EXP_PROMPT_01,treatment,2026-05-01T10:29,new,38
389,199,EXP_PROMPT_01,treatment,2026-04-10T00:27,returning,62
390,195,EXP_MODEL_02,treatment,2026-03-07T11:44,enterprise,230
391,392,EXP_MODEL_02,control,2026-03-19T01:06,enterprise,311
392,553,EXP_PROMPT_01,control,2026-04-30T09:50,new,250
393,119,EXP_MODEL_02,control,2026-04-06T17:39,returning,195
394,518,EXP_MODEL_02,treatment,2026-04-17T04:13,enterprise,6
395,416,EXP_MODEL_02,control,2026-05-01T15:49,enterprise,223
396,271,EXP_MODEL_02,treatment,2026-04-13T05:52,enterprise,10
397,101,EXP_MODEL_02,control,2026-03-17T05:02,returning,623
398,529,EXP_PROMPT_01,treatment,2026-04-21T14:03,enterprise,38
