incident_id,detected_at,model_version,incident_type,severity,affected_users,detection_source,time_to_mitigate_min,root_cause
59,2026-02-08T00:00,v1,tool_error,SEV3,63,user_report,713,access_control
60,2026-05-29T18:00,v3,privacy_leak,SEV3,9,monitor,789,access_control
61,2026-06-13T01:00,v2,quality_regression,SEV3,68,audit,502,data_drift
62,2026-05-24T22:00,v2,tool_error,SEV1,135,monitor,866,access_control
63,2026-07-23T13:00,v1,latency_spike,SEV2,99,audit,816,prompt_change
64,2026-01-20T20:00,v2,quality_regression,SEV2,23,monitor,721,vendor_change
65,2026-07-20T02:00,v3,quality_regression,SEV2,76,monitor,696,prompt_change
66,2026-04-21T22:00,v3,tool_error,SEV1,5,audit,210,access_control
67,2026-03-06T08:00,v3,quality_regression,SEV3,25,monitor,667,data_drift
68,2026-04-16T14:00,v3,tool_error,SEV3,55,monitor,181,instrumentation
69,2026-03-14T05:00,v3,unsafe_output,SEV3,183,audit,244,prompt_change
70,2026-03-09T22:00,v2,latency_spike,SEV3,46,user_report,11,unknown
71,2026-01-13T00:00,v2,privacy_leak,SEV3,25,red_team,12,data_drift
72,2026-02-13T18:00,v2,latency_spike,SEV3,251,monitor,61,data_drift
73,2026-06-08T12:00,v1,unsafe_output,SEV2,63,user_report,782,instrumentation
74,2026-07-27T02:00,v3,quality_regression,SEV1,78,monitor,647,instrumentation
75,2026-01-28T02:00,v2,tool_error,SEV3,96,red_team,178,prompt_change
76,2026-07-13T00:00,v1,quality_regression,SEV3,56,monitor,405,data_drift
77,2026-03-28T15:00,v3,latency_spike,SEV2,108,monitor,483,data_drift
78,2026-06-29T00:00,v2,tool_error,SEV2,39,monitor,37,vendor_change
79,2026-04-05T16:00,v1,quality_regression,SEV3,194,red_team,808,unknown
80,2026-02-15T00:00,v3,privacy_leak,SEV3,42,audit,251,unknown
81,2026-04-14T17:00,v3,latency_spike,SEV3,13,red_team,328,unknown
82,2026-01-03T07:00,v2,privacy_leak,SEV3,4,monitor,263,data_drift
83,2026-01-02T12:00,v3,privacy_leak,SEV2,47,audit,600,data_drift
84,2026-02-20T23:00,v2,tool_error,SEV3,3,user_report,568,instrumentation
85,2026-03-08T21:00,v3,latency_spike,SEV3,92,monitor,646,access_control
86,2026-05-11T19:00,v3,privacy_leak,SEV3,166,user_report,766,vendor_change
87,2026-05-01T07:00,v1,unsafe_output,SEV2,303,red_team,576,unknown
88,2026-06-11T18:00,v2,privacy_leak,SEV3,8,monitor,29,instrumentation
89,2026-01-13T03:00,v2,unsafe_output,SEV2,134,user_report,453,data_drift
90,2026-06-10T01:00,v1,tool_error,SEV3,15,red_team,551,prompt_change
91,2026-07-25T14:00,v3,privacy_leak,SEV3,61,user_report,753,vendor_change
92,2026-03-29T18:00,v3,latency_spike,SEV2,28,monitor,371,unknown
93,2026-06-14T23:00,v3,tool_error,SEV3,277,red_team,424,prompt_change
94,2026-03-27T10:00,v3,tool_error,SEV3,170,audit,578,prompt_change
95,2026-06-04T04:00,v3,privacy_leak,SEV2,79,red_team,892,instrumentation
96,2026-05-10T21:00,v2,latency_spike,SEV3,188,user_report,115,access_control
97,2026-06-03T18:00,v1,privacy_leak,SEV2,105,monitor,788,instrumentation
98,2026-04-21T18:00,v2,quality_regression,SEV3,127,audit,753,unknown
99,2026-01-08T14:00,v1,tool_error,SEV2,68,monitor,174,unknown
100,2026-07-06T06:00,v3,quality_regression,SEV3,41,red_team,446,unknown
101,2026-04-12T23:00,v3,unsafe_output,SEV1,201,user_report,92,prompt_change
102,2026-05-17T16:00,v2,latency_spike,SEV3,175,user_report,692,vendor_change
103,2026-01-24T04:00,v2,quality_regression,SEV2,31,monitor,60,access_control
104,2026-04-19T19:00,v2,privacy_leak,SEV3,136,red_team,284,unknown
105,2026-01-10T22:00,v1,quality_regression,SEV2,71,red_team,161,data_drift
106,2026-02-19T08:00,v3,quality_regression,SEV3,22,red_team,559,vendor_change
107,2026-06-18T17:00,v2,unsafe_output,SEV2,83,user_report,36,unknown
108,2026-01-12T21:00,v2,latency_spike,SEV3,147,user_report,610,access_control
109,2026-05-01T03:00,v1,quality_regression,SEV2,66,monitor,748,data_drift
110,2026-06-13T12:00,v3,latency_spike,SEV3,298,user_report,386,vendor_change
111,2026-01-08T08:00,v3,privacy_leak,SEV2,168,user_report,473,data_drift
112,2026-01-02T21:00,v1,privacy_leak,SEV3,126,audit,122,data_drift
113,2026-03-02T03:00,v1,unsafe_output,SEV3,32,red_team,257,vendor_change
114,2026-03-23T02:00,v3,unsafe_output,SEV3,62,user_report,494,data_drift
115,2026-05-08T03:00,v3,quality_regression,SEV3,24,red_team,662,prompt_change
116,2026-07-07T14:00,v3,quality_regression,SEV3,62,monitor,297,vendor_change
117,2026-05-02T08:00,v3,privacy_leak,SEV3,103,user_report,794,instrumentation
118,2026-05-10T11:00,v2,quality_regression,SEV2,142,audit,97,prompt_change
119,2026-07-08T17:00,v2,latency_spike,SEV3,2,user_report,410,prompt_change
120,2026-03-25T19:00,v3,latency_spike,SEV2,10,user_report,56,instrumentation
121,2026-06-15T10:00,v2,tool_error,SEV3,55,monitor,135,unknown
122,2026-02-14T06:00,v3,quality_regression,SEV2,2,monitor,509,data_drift
123,2026-07-22T17:00,v3,latency_spike,SEV1,106,monitor,209,data_drift
124,2026-04-26T05:00,v2,unsafe_output,SEV2,92,monitor,553,vendor_change
125,2026-03-03T02:00,v3,quality_regression,SEV3,24,red_team,153,vendor_change
126,2026-06-04T21:00,v2,tool_error,SEV3,170,red_team,85,instrumentation
127,2026-01-04T14:00,v2,quality_regression,SEV2,15,audit,233,unknown
128,2026-01-22T21:00,v1,quality_regression,SEV3,130,red_team,151,access_control
129,2026-04-13T02:00,v2,latency_spike,SEV3,67,monitor,8,access_control
130,2026-07-28T01:00,v3,latency_spike,SEV3,69,audit,180,instrumentation
131,2026-07-24T06:00,v2,latency_spike,SEV3,10,audit,175,data_drift
132,2026-06-20T23:00,v2,tool_error,SEV2,10,red_team,71,instrumentation
133,2026-06-06T09:00,v2,tool_error,SEV1,40,user_report,286,instrumentation
134,2026-02-14T13:00,v3,latency_spike,SEV2,51,monitor,732,access_control
135,2026-07-18T07:00,v1,privacy_leak,SEV3,31,audit,786,data_drift
136,2026-05-06T22:00,v3,tool_error,SEV3,67,audit,83,vendor_change
137,2026-02-17T21:00,v1,unsafe_output,SEV3,142,user_report,371,instrumentation
138,2026-06-08T20:00,v1,latency_spike,SEV3,117,monitor,477,unknown
139,2026-01-25T12:00,v2,quality_regression,SEV3,28,red_team,737,vendor_change
140,2026-06-23T06:00,v2,latency_spike,SEV3,21,user_report,573,prompt_change
141,2026-02-25T05:00,v2,privacy_leak,SEV3,8,monitor,629,data_drift
142,2026-02-18T15:00,v2,quality_regression,SEV3,175,user_report,122,access_control
143,2026-05-19T13:00,v2,privacy_leak,SEV3,250,red_team,882,vendor_change
144,2026-01-13T14:00,v3,unsafe_output,SEV2,8,red_team,397,access_control
145,2026-02-20T04:00,v3,privacy_leak,SEV3,43,monitor,590,prompt_change
146,2026-02-24T03:00,v1,unsafe_output,SEV2,125,monitor,482,data_drift
147,2026-03-09T07:00,v1,unsafe_output,SEV3,145,red_team,306,unknown
148,2026-06-12T03:00,v1,privacy_leak,SEV3,28,user_report,374,vendor_change
149,2026-01-10T19:00,v1,unsafe_output,SEV3,9,monitor,47,data_drift
150,2026-07-16T02:00,v1,latency_spike,SEV3,102,audit,632,unknown
151,2026-07-19T07:00,v3,unsafe_output,SEV3,111,red_team,634,prompt_change
152,2026-02-04T03:00,v1,unsafe_output,SEV3,141,monitor,220,unknown
153,2026-07-19T16:00,v2,privacy_leak,SEV3,71,audit,494,prompt_change
154,2026-01-06T05:00,v3,unsafe_output,SEV2,141,red_team,443,instrumentation
155,2026-04-08T11:00,v3,privacy_leak,SEV3,9,red_team,284,access_control
156,2026-03-04T23:00,v3,privacy_leak,SEV3,34,audit,630,access_control
157,2026-07-18T18:00,v1,latency_spike,SEV2,74,audit,511,unknown
158,2026-06-12T07:00,v3,unsafe_output,SEV3,19,user_report,244,unknown
159,2026-03-03T15:00,v1,unsafe_output,SEV3,224,audit,496,data_drift
160,2026-03-28T21:00,v1,unsafe_output,SEV3,80,user_report,610,instrumentation
161,2026-05-12T02:00,v1,tool_error,SEV2,103,user_report,527,prompt_change
162,2026-03-16T16:00,v3,quality_regression,SEV3,119,audit,653,unknown
163,2026-06-13T06:00,v2,tool_error,SEV3,203,user_report,527,vendor_change
164,2026-05-16T13:00,v3,quality_regression,SEV2,33,user_report,679,data_drift
165,2026-04-04T04:00,v2,unsafe_output,SEV1,72,user_report,52,vendor_change
166,2026-03-26T23:00,v2,unsafe_output,SEV3,4,user_report,741,instrumentation
167,2026-01-25T11:00,v3,tool_error,SEV3,6,red_team,885,instrumentation
168,2026-06-04T19:00,v2,unsafe_output,SEV3,1,audit,189,data_drift
169,2026-04-17T21:00,v1,latency_spike,SEV3,9,red_team,531,vendor_change
170,2026-06-05T20:00,v2,tool_error,SEV3,48,red_team,772,vendor_change
171,2026-02-05T14:00,v1,privacy_leak,SEV3,1,red_team,615,unknown
172,2026-07-08T17:00,v3,tool_error,SEV3,186,red_team,463,data_drift
173,2026-03-31T12:00,v1,unsafe_output,SEV3,216,monitor,364,prompt_change
174,2026-03-22T19:00,v1,tool_error,SEV2,45,monitor,857,prompt_change
175,2026-04-29T07:00,v3,latency_spike,SEV2,97,audit,627,data_drift
176,2026-03-03T15:00,v1,tool_error,SEV2,141,red_team,86,prompt_change
177,2026-04-15T19:00,v1,latency_spike,SEV3,121,red_team,368,access_control
178,2026-03-27T04:00,v1,unsafe_output,SEV1,57,monitor,443,prompt_change
179,2026-07-16T01:00,v2,privacy_leak,SEV3,112,red_team,640,data_drift
180,2026-04-26T21:00,v1,tool_error,SEV3,4,red_team,9,access_control
181,2026-03-21T08:00,v2,unsafe_output,SEV3,73,user_report,270,instrumentation
182,2026-04-01T00:00,v1,unsafe_output,SEV1,54,audit,418,instrumentation
183,2026-06-19T22:00,v1,quality_regression,SEV2,63,red_team,400,access_control
184,2026-06-19T20:00,v3,latency_spike,SEV3,92,audit,598,instrumentation
185,2026-01-05T22:00,v1,tool_error,SEV3,92,monitor,242,data_drift
186,2026-04-05T18:00,v3,latency_spike,SEV3,33,user_report,881,data_drift
187,2026-01-10T08:00,v3,privacy_leak,SEV3,95,user_report,215,vendor_change
188,2026-02-15T23:00,v1,quality_regression,SEV2,75,monitor,671,prompt_change
189,2026-04-29T19:00,v2,tool_error,SEV3,78,red_team,797,access_control
190,2026-05-03T00:00,v1,latency_spike,SEV2,91,monitor,478,unknown
191,2026-07-03T01:00,v3,tool_error,SEV2,73,red_team,780,data_drift
192,2026-07-08T18:00,v3,unsafe_output,SEV3,30,user_report,453,data_drift
193,2026-04-02T17:00,v1,quality_regression,SEV1,117,user_report,781,prompt_change
194,2026-02-28T03:00,v3,quality_regression,SEV2,3,user_report,585,vendor_change
195,2026-03-25T23:00,v1,privacy_leak,SEV3,4,monitor,387,data_drift
196,2026-07-21T15:00,v1,tool_error,SEV3,132,user_report,537,instrumentation
197,2026-06-23T10:00,v1,latency_spike,SEV3,83,monitor,440,instrumentation
198,2026-06-04T00:00,v2,unsafe_output,SEV1,1,red_team,163,instrumentation
199,2026-02-26T03:00,v3,privacy_leak,SEV3,212,red_team,818,prompt_change
200,2026-07-07T12:00,v1,quality_regression,SEV3,184,user_report,569,instrumentation
201,2026-07-23T17:00,v1,latency_spike,SEV2,27,user_report,361,vendor_change
202,2026-07-22T06:00,v2,privacy_leak,SEV3,99,monitor,17,prompt_change
203,2026-03-05T18:00,v3,quality_regression,SEV3,164,user_report,279,unknown
204,2026-02-10T13:00,v3,quality_regression,SEV2,1,red_team,402,unknown
205,2026-01-13T05:00,v1,latency_spike,SEV3,53,red_team,686,access_control
206,2026-04-04T23:00,v3,privacy_leak,SEV3,4,audit,358,data_drift
207,2026-04-15T00:00,v2,privacy_leak,SEV3,8,user_report,159,unknown
208,2026-06-20T05:00,v3,quality_regression,SEV3,25,audit,841,data_drift
209,2026-04-05T09:00,v1,tool_error,SEV3,30,monitor,719,access_control
210,2026-02-27T22:00,v1,tool_error,SEV2,94,red_team,521,access_control
211,2026-01-25T20:00,v2,tool_error,SEV3,11,user_report,88,data_drift
212,2026-05-28T09:00,v2,quality_regression,SEV3,41,user_report,498,vendor_change
213,2026-01-10T12:00,v1,unsafe_output,SEV3,182,audit,765,prompt_change
214,2026-07-13T03:00,v2,privacy_leak,SEV3,64,user_report,293,instrumentation
215,2026-05-21T10:00,v3,privacy_leak,SEV3,58,audit,519,unknown
216,2026-03-27T20:00,v1,privacy_leak,SEV2,81,user_report,272,data_drift
217,2026-03-16T06:00,v2,latency_spike,SEV2,56,audit,337,data_drift
218,2026-01-28T10:00,v2,privacy_leak,SEV3,92,red_team,724,prompt_change
219,2026-06-19T07:00,v3,unsafe_output,SEV3,299,monitor,528,prompt_change
220,2026-02-05T06:00,v1,latency_spike,SEV3,7,user_report,241,unknown
221,2026-07-11T05:00,v2,unsafe_output,SEV3,100,red_team,649,prompt_change
222,2026-06-09T00:00,v3,unsafe_output,SEV2,15,red_team,267,prompt_change
223,2026-07-24T15:00,v2,tool_error,SEV2,73,user_report,572,data_drift
224,2026-01-23T15:00,v2,tool_error,SEV1,105,user_report,158,vendor_change
225,2026-03-13T12:00,v3,tool_error,SEV3,43,monitor,198,prompt_change
226,2026-06-16T09:00,v2,unsafe_output,SEV2,124,red_team,659,access_control
227,2026-03-25T07:00,v2,latency_spike,SEV3,36,monitor,649,prompt_change
228,2026-01-06T10:00,v1,tool_error,SEV3,90,monitor,328,instrumentation
229,2026-05-23T05:00,v2,latency_spike,SEV3,34,audit,422,vendor_change
230,2026-07-20T15:00,v3,privacy_leak,SEV2,161,audit,674,data_drift
231,2026-05-23T11:00,v3,unsafe_output,SEV2,23,user_report,821,unknown
232,2026-03-27T22:00,v1,tool_error,SEV3,75,audit,399,data_drift
233,2026-06-21T13:00,v3,privacy_leak,SEV1,71,monitor,808,data_drift
234,2026-06-16T22:00,v1,quality_regression,SEV2,17,audit,737,instrumentation
235,2026-07-02T12:00,v3,tool_error,SEV3,43,red_team,131,instrumentation
236,2026-04-17T22:00,v1,tool_error,SEV2,62,red_team,877,vendor_change
237,2026-03-15T15:00,v1,privacy_leak,SEV2,50,audit,205,access_control
238,2026-01-09T23:00,v3,quality_regression,SEV3,10,monitor,381,vendor_change
239,2026-03-21T17:00,v1,unsafe_output,SEV3,64,audit,85,prompt_change
240,2026-06-02T14:00,v1,privacy_leak,SEV3,209,audit,295,access_control
