case_id,industry,region,risk_tier,stream_hour,selected_for_label,selection_probability,label_cost_usd
52,public_sector,APAC,low,23,0,0.054,7.8
53,public_sector,NA,high,5,0,0.282,5.28
54,healthcare,EMEA,low,6,0,0.187,2.44
55,finance,EMEA,medium,5,0,0.161,7.15
56,retail,APAC,low,22,0,0.219,15.84
57,retail,NA,medium,2,1,0.087,8.73
58,healthcare,APAC,medium,6,0,0.254,2.06
59,public_sector,EMEA,low,12,0,0.164,2.04
60,public_sector,NA,medium,10,0,0.098,13.52
61,education,NA,low,0,0,0.123,4.48
62,finance,NA,medium,12,0,0.212,14.21
63,healthcare,APAC,medium,9,0,0.232,6.09
64,education,APAC,medium,10,0,0.217,9.79
65,retail,NA,medium,21,0,0.308,9.13
66,public_sector,APAC,low,14,0,0.105,7.32
67,finance,APAC,high,1,0,0.168,14.06
68,public_sector,NA,high,5,0,0.121,6.89
69,public_sector,APAC,medium,21,0,0.187,8.89
70,retail,NA,low,1,0,0.213,7.33
71,public_sector,NA,medium,21,0,0.092,7.29
72,education,NA,low,4,0,0.243,7.41
73,retail,NA,low,23,0,0.294,7.37
74,healthcare,EMEA,low,22,1,0.21,8.78
75,retail,NA,medium,15,0,0.229,9.46
76,retail,NA,low,21,0,0.084,4.59
77,public_sector,NA,low,15,0,0.213,3.13
78,education,APAC,medium,13,0,0.343,15.69
79,healthcare,NA,medium,2,1,0.255,4.66
80,retail,APAC,low,13,0,0.338,10.08
81,finance,APAC,low,7,0,0.106,16.72
82,education,NA,medium,10,0,0.188,6.26
83,retail,EMEA,medium,2,0,0.31,15.63
84,healthcare,APAC,low,5,0,0.254,15.56
85,retail,EMEA,low,12,0,0.205,15.91
86,healthcare,EMEA,low,3,0,0.325,7.52
87,education,APAC,medium,7,0,0.19,10.42
88,public_sector,EMEA,medium,15,0,0.313,5.25
89,public_sector,APAC,low,17,0,0.338,14.39
90,retail,NA,low,2,0,0.053,4.2
91,retail,EMEA,low,21,0,0.3,13.92
92,public_sector,NA,low,21,0,0.176,9.38
93,finance,NA,low,4,0,0.24,10.91
94,finance,NA,low,8,0,0.117,15.88
95,finance,NA,low,1,0,0.173,9.55
96,finance,APAC,low,15,0,0.306,4.66
97,healthcare,EMEA,medium,12,0,0.278,17.94
98,education,APAC,medium,9,0,0.327,17.23
99,healthcare,APAC,low,5,0,0.07,9.76
100,healthcare,EMEA,low,8,0,0.06,12.99
101,education,EMEA,low,21,0,0.339,7.12
102,education,EMEA,low,17,0,0.105,10.53
103,education,NA,low,22,0,0.167,13.82
104,public_sector,APAC,high,6,0,0.316,5.89
105,finance,APAC,low,4,0,0.313,16.48
106,education,EMEA,high,17,0,0.202,11.13
107,finance,EMEA,low,7,0,0.307,11.83
108,public_sector,APAC,low,15,0,0.224,11.22
109,education,EMEA,medium,4,1,0.337,16.73
110,finance,APAC,low,7,1,0.075,3.58
111,public_sector,EMEA,medium,7,0,0.188,14.3
112,education,NA,low,21,0,0.193,11.82
113,education,EMEA,low,20,0,0.087,14.73
114,education,EMEA,low,15,0,0.28,11.28
115,retail,NA,low,18,0,0.14,6.05
116,public_sector,EMEA,low,20,0,0.349,8.84
117,public_sector,NA,low,20,0,0.204,6.51
118,retail,EMEA,high,11,0,0.264,6.46
119,healthcare,EMEA,high,12,1,0.242,1.66
120,retail,NA,medium,8,0,0.15,17.16
121,finance,NA,medium,8,0,0.292,6.1
122,healthcare,APAC,low,2,0,0.201,16.24
123,finance,NA,medium,21,1,0.134,17.15
124,education,NA,low,23,0,0.12,17.59
125,retail,APAC,low,21,0,0.268,14.08
126,retail,APAC,low,5,0,0.177,10.47
127,retail,EMEA,low,7,0,0.284,4.63
128,retail,NA,low,14,0,0.341,10.75
129,healthcare,APAC,medium,12,0,0.128,12.89
130,education,EMEA,medium,7,0,0.151,9.88
131,finance,APAC,high,6,0,0.089,3.47
132,public_sector,EMEA,high,17,0,0.257,14.98
133,retail,APAC,low,1,0,0.167,9.49
134,retail,NA,medium,19,0,0.318,16.25
135,finance,APAC,low,0,0,0.232,7.47
136,healthcare,NA,medium,2,0,0.291,6.39
137,healthcare,NA,low,2,0,0.167,17.69
138,education,NA,low,23,0,0.096,9.55
139,public_sector,APAC,low,17,0,0.307,16.41
140,education,APAC,medium,12,0,0.328,7.84
141,finance,EMEA,medium,16,0,0.268,7.19
142,public_sector,NA,low,17,0,0.253,15.59
143,education,NA,medium,21,0,0.091,1.85
144,healthcare,EMEA,low,1,0,0.34,11.04
145,healthcare,EMEA,low,19,0,0.074,7.22
146,retail,NA,medium,15,0,0.19,3.8
147,finance,NA,low,22,0,0.291,14.89
148,finance,APAC,high,22,1,0.224,5.9
149,finance,NA,medium,4,0,0.101,15.38
150,healthcare,EMEA,low,1,0,0.342,10.0
151,education,APAC,low,5,1,0.118,17.7
152,healthcare,APAC,high,15,0,0.274,9.84
153,education,APAC,medium,4,0,0.32,1.85
154,public_sector,NA,medium,18,0,0.257,10.45
155,finance,NA,low,21,0,0.066,3.16
156,education,NA,low,7,0,0.07,16.02
157,education,NA,low,7,0,0.22,5.45
158,healthcare,APAC,high,16,0,0.278,13.91
159,education,NA,medium,18,1,0.252,15.75
160,public_sector,NA,low,6,0,0.159,4.78
161,retail,APAC,medium,16,0,0.317,7.09
162,healthcare,NA,medium,17,0,0.266,4.82
163,public_sector,APAC,low,5,0,0.148,13.89
164,healthcare,NA,low,20,0,0.244,2.08
165,healthcare,EMEA,high,0,0,0.248,4.63
166,retail,NA,medium,15,0,0.26,15.14
167,healthcare,APAC,medium,21,0,0.074,5.39
168,healthcare,NA,low,7,1,0.099,7.13
169,healthcare,APAC,low,13,0,0.212,9.41
170,retail,EMEA,low,8,0,0.154,11.06
171,healthcare,NA,low,23,0,0.299,1.75
172,education,EMEA,medium,10,0,0.256,5.35
173,education,APAC,medium,20,1,0.111,14.85
174,finance,EMEA,high,10,0,0.15,9.12
175,public_sector,NA,medium,1,0,0.057,13.09
176,public_sector,NA,high,2,0,0.088,14.62
177,retail,NA,low,15,0,0.159,6.68
178,public_sector,NA,high,3,1,0.088,1.58
179,education,EMEA,medium,20,1,0.311,4.35
180,retail,APAC,low,14,0,0.3,7.54
181,finance,APAC,low,14,0,0.132,13.97
182,education,NA,medium,1,0,0.155,15.79
183,healthcare,EMEA,low,3,1,0.298,4.22
184,finance,NA,low,13,0,0.112,6.06
185,healthcare,NA,low,2,0,0.227,10.48
186,retail,NA,low,10,0,0.166,16.83
187,retail,NA,low,11,0,0.278,7.02
188,healthcare,NA,low,9,0,0.241,12.0
189,retail,APAC,low,17,0,0.07,14.5
190,public_sector,APAC,medium,18,0,0.227,4.21
191,retail,NA,low,2,0,0.16,4.12
192,public_sector,APAC,low,3,0,0.102,12.88
193,finance,EMEA,medium,15,0,0.284,12.07
194,retail,NA,low,5,0,0.203,6.64
195,healthcare,APAC,low,10,0,0.059,2.57
196,finance,NA,low,19,0,0.128,13.23
197,public_sector,EMEA,low,19,0,0.221,1.91
198,retail,NA,low,17,0,0.084,15.33
199,finance,EMEA,low,22,0,0.184,3.82
200,education,APAC,low,17,0,0.115,6.85
201,finance,EMEA,low,16,0,0.271,13.13
202,retail,NA,low,13,0,0.275,10.29
203,retail,APAC,medium,0,0,0.315,17.79
204,finance,APAC,medium,11,0,0.14,13.25
205,finance,NA,low,12,0,0.292,10.6
206,finance,NA,medium,22,0,0.254,14.57
207,retail,EMEA,medium,19,1,0.101,14.06
208,finance,NA,low,1,0,0.279,11.66
209,healthcare,EMEA,low,10,1,0.109,15.49
210,education,APAC,low,0,0,0.241,8.49
211,public_sector,EMEA,low,19,0,0.327,14.89
212,public_sector,APAC,low,16,0,0.283,17.52
213,healthcare,APAC,medium,9,0,0.109,4.18
214,education,NA,low,20,0,0.342,4.83
215,public_sector,EMEA,high,15,1,0.193,14.53
216,finance,APAC,medium,18,0,0.183,7.12
217,retail,NA,medium,3,1,0.142,10.43
218,retail,APAC,low,21,0,0.289,8.46
219,healthcare,APAC,low,19,0,0.339,13.43
220,healthcare,APAC,low,2,0,0.318,1.65
221,education,APAC,medium,23,0,0.234,8.24
222,retail,NA,low,5,0,0.314,8.41
223,public_sector,NA,low,6,0,0.317,10.58
224,education,NA,low,18,1,0.34,8.14
225,public_sector,APAC,medium,12,0,0.34,7.01
226,finance,APAC,low,15,0,0.117,5.96
227,education,APAC,low,13,0,0.053,8.29
228,finance,NA,low,10,0,0.199,4.09
229,public_sector,APAC,low,23,0,0.226,8.57
230,retail,NA,low,20,1,0.233,10.48
231,retail,APAC,low,12,0,0.055,4.08
232,public_sector,APAC,low,9,0,0.206,8.89
233,education,APAC,low,7,0,0.185,6.05
234,retail,APAC,medium,7,1,0.335,10.97
235,education,NA,medium,17,0,0.27,14.36
236,finance,NA,medium,9,0,0.207,12.51
237,public_sector,APAC,low,21,0,0.108,4.79
238,finance,APAC,medium,8,0,0.092,14.72
239,public_sector,EMEA,low,15,0,0.197,5.18
240,healthcare,EMEA,low,0,0,0.103,7.72
241,public_sector,EMEA,high,14,0,0.065,8.51
242,education,EMEA,high,19,1,0.214,5.13
243,healthcare,APAC,low,21,0,0.113,14.65
244,retail,APAC,low,2,1,0.147,6.58
245,education,APAC,medium,12,0,0.12,4.46
246,education,APAC,high,17,0,0.317,17.31
247,education,NA,low,12,0,0.346,10.54
248,public_sector,APAC,medium,19,0,0.268,12.49
249,public_sector,APAC,high,8,0,0.078,4.75
250,finance,EMEA,low,3,1,0.267,3.51
251,retail,APAC,low,15,0,0.056,10.63
252,finance,NA,low,10,0,0.335,14.5
253,education,APAC,low,6,0,0.09,3.85
254,education,APAC,low,8,0,0.207,8.8
255,finance,EMEA,medium,5,0,0.329,11.89
256,retail,NA,medium,15,0,0.198,17.04
257,education,APAC,high,22,0,0.341,6.61
258,retail,EMEA,low,18,0,0.124,1.85
259,education,APAC,low,10,0,0.203,6.03
260,public_sector,EMEA,low,2,0,0.057,5.06
261,public_sector,NA,low,2,0,0.16,10.63
262,public_sector,NA,low,8,0,0.201,4.26
263,healthcare,NA,medium,7,0,0.236,2.0
264,healthcare,NA,low,4,0,0.08,10.52
265,public_sector,EMEA,low,5,0,0.229,14.52
266,education,APAC,low,21,0,0.103,11.87
267,education,APAC,low,5,0,0.328,4.12
268,finance,EMEA,low,18,0,0.173,10.55
269,retail,NA,low,6,0,0.264,16.28
270,retail,APAC,low,6,0,0.091,12.78
271,public_sector,NA,low,19,0,0.142,16.86
272,finance,EMEA,medium,17,0,0.307,1.89
273,retail,APAC,low,16,0,0.264,8.0
274,public_sector,EMEA,low,14,0,0.302,14.54
275,public_sector,EMEA,low,7,0,0.224,11.54
276,healthcare,NA,high,9,0,0.284,10.83
277,finance,APAC,low,9,0,0.266,2.88
278,retail,NA,low,16,0,0.07,10.6
279,education,APAC,medium,23,1,0.185,15.21
280,healthcare,APAC,medium,5,0,0.273,12.83
281,finance,APAC,medium,0,0,0.255,12.31
282,public_sector,APAC,medium,17,0,0.15,9.7
283,education,EMEA,low,20,1,0.229,9.04
284,retail,APAC,medium,14,0,0.207,9.21
285,finance,APAC,high,17,0,0.264,12.51
286,education,NA,low,17,0,0.308,4.86
287,retail,NA,low,19,0,0.145,17.72
288,education,APAC,medium,9,0,0.158,15.55
289,education,EMEA,low,12,0,0.183,17.34
290,public_sector,EMEA,medium,20,0,0.101,17.89
291,retail,APAC,low,7,0,0.279,15.62
292,education,APAC,medium,12,0,0.083,11.8
293,public_sector,EMEA,low,5,1,0.222,8.64
294,retail,EMEA,low,0,0,0.076,10.78
295,public_sector,EMEA,low,22,0,0.141,9.1
296,education,EMEA,medium,0,0,0.212,6.51
297,healthcare,APAC,high,16,0,0.333,11.89
298,finance,EMEA,high,20,0,0.093,12.75
299,retail,APAC,medium,8,1,0.253,6.3
300,finance,APAC,medium,7,1,0.267,6.75
301,retail,APAC,low,6,0,0.15,11.4
302,retail,APAC,low,2,0,0.17,5.72
303,public_sector,APAC,low,1,1,0.21,2.37
304,finance,EMEA,high,6,0,0.241,3.59
305,finance,APAC,low,16,1,0.178,4.77
306,finance,APAC,low,1,0,0.074,7.88
307,education,EMEA,low,6,0,0.304,8.75
308,healthcare,APAC,medium,10,0,0.164,15.39
309,finance,APAC,high,7,0,0.221,17.61
310,education,EMEA,low,16,0,0.347,15.79
311,education,APAC,high,21,0,0.07,17.9
312,finance,APAC,medium,13,0,0.111,13.42
313,finance,NA,medium,13,1,0.272,1.75
314,healthcare,EMEA,low,19,0,0.266,5.36
315,finance,NA,low,23,0,0.103,2.04
316,education,EMEA,low,4,0,0.194,7.79
317,public_sector,APAC,medium,15,0,0.053,4.96
318,finance,NA,high,9,0,0.295,2.85
319,public_sector,EMEA,low,6,0,0.129,12.34
320,public_sector,EMEA,low,19,1,0.199,10.14
321,retail,EMEA,low,10,0,0.118,1.66
322,finance,NA,low,0,0,0.074,4.37
323,retail,APAC,medium,2,0,0.287,13.44
324,retail,NA,high,12,0,0.273,12.91
325,retail,APAC,medium,4,0,0.245,4.5
326,public_sector,NA,low,3,0,0.108,9.49
327,finance,NA,high,22,1,0.157,4.26
328,retail,EMEA,medium,16,0,0.182,10.58
329,education,EMEA,medium,5,0,0.153,10.86
330,healthcare,EMEA,low,0,0,0.312,9.1
331,public_sector,APAC,low,12,0,0.157,16.53
332,public_sector,APAC,medium,3,1,0.19,5.53
333,finance,APAC,low,23,0,0.24,8.42
334,finance,APAC,high,16,0,0.175,2.19
335,retail,APAC,low,4,0,0.312,11.84
336,finance,EMEA,low,22,0,0.073,3.69
337,finance,EMEA,low,21,0,0.181,12.17
338,education,NA,high,13,0,0.076,3.34
339,finance,NA,low,22,0,0.252,8.32
340,finance,APAC,high,21,1,0.16,12.0
341,public_sector,APAC,low,8,0,0.131,17.91
342,healthcare,APAC,low,21,0,0.062,7.78
343,finance,NA,low,4,1,0.159,12.44
344,education,APAC,medium,10,0,0.258,13.7
345,public_sector,NA,low,13,0,0.156,7.38
346,public_sector,EMEA,low,23,0,0.083,2.22
347,retail,EMEA,medium,3,0,0.236,10.48
348,retail,NA,low,1,0,0.189,7.19
349,healthcare,NA,low,0,0,0.301,16.95
350,public_sector,EMEA,medium,11,0,0.105,5.93
351,finance,EMEA,low,15,0,0.091,11.97
352,education,EMEA,low,5,1,0.134,14.06
353,public_sector,EMEA,low,5,0,0.321,6.28
354,public_sector,NA,medium,7,0,0.084,13.35
355,education,NA,medium,14,0,0.273,12.78
356,education,NA,low,20,0,0.285,17.83
357,education,APAC,low,7,0,0.157,16.61
358,finance,APAC,low,13,0,0.272,16.18
359,finance,NA,low,0,0,0.071,5.34
360,retail,NA,high,2,0,0.35,9.98
361,healthcare,EMEA,low,11,0,0.197,10.37
362,public_sector,EMEA,high,17,0,0.209,5.63
363,public_sector,APAC,medium,1,0,0.167,9.34
364,retail,EMEA,high,16,0,0.289,12.53
365,education,APAC,low,14,0,0.14,1.54
366,public_sector,EMEA,low,3,0,0.111,2.9
367,retail,EMEA,low,1,0,0.057,3.26
368,healthcare,NA,medium,7,0,0.184,4.7
369,healthcare,EMEA,medium,10,0,0.179,1.81
370,finance,APAC,low,21,0,0.109,8.31
371,public_sector,APAC,low,22,1,0.167,8.94
372,finance,APAC,medium,18,0,0.215,1.73
373,healthcare,APAC,low,7,0,0.237,6.55
374,public_sector,APAC,high,23,0,0.117,9.06
375,public_sector,NA,medium,10,1,0.204,6.88
376,public_sector,EMEA,high,7,0,0.3,15.94
377,education,EMEA,low,22,1,0.146,16.03
378,retail,EMEA,low,4,0,0.097,7.23
379,finance,EMEA,medium,10,0,0.105,7.44
380,education,NA,high,23,0,0.238,10.42
381,public_sector,EMEA,medium,1,0,0.255,16.77
382,retail,NA,low,9,1,0.099,3.97
383,education,EMEA,medium,14,0,0.082,6.89
384,public_sector,EMEA,medium,9,0,0.059,9.47
385,healthcare,EMEA,medium,21,0,0.303,9.12
386,education,APAC,medium,4,1,0.324,13.98
387,healthcare,EMEA,medium,23,1,0.347,16.03
388,finance,APAC,low,17,1,0.156,2.55
389,healthcare,APAC,low,15,0,0.246,15.71
390,education,EMEA,medium,12,1,0.291,10.82
391,finance,EMEA,medium,23,0,0.264,2.47
392,retail,NA,medium,19,0,0.215,10.6
393,healthcare,APAC,medium,21,1,0.307,7.81
394,public_sector,NA,medium,4,0,0.28,15.01
395,finance,APAC,low,21,0,0.317,16.43
396,retail,APAC,low,5,0,0.334,8.32
397,retail,NA,medium,13,0,0.088,10.03
398,retail,EMEA,low,19,0,0.08,15.63
399,finance,APAC,low,3,0,0.313,6.49
400,retail,NA,medium,21,0,0.191,10.22
401,healthcare,EMEA,medium,9,0,0.253,16.32
402,public_sector,APAC,low,18,0,0.254,14.84
403,public_sector,APAC,low,23,0,0.083,14.9
404,healthcare,APAC,low,2,0,0.242,7.65
405,retail,APAC,low,5,0,0.1,4.59
406,healthcare,EMEA,medium,23,0,0.286,15.01
407,finance,APAC,low,8,0,0.251,7.05
408,healthcare,NA,medium,4,0,0.263,11.34
409,healthcare,EMEA,medium,6,0,0.192,7.86
410,education,NA,medium,2,0,0.273,9.58
411,education,APAC,low,12,0,0.279,4.12
412,education,EMEA,medium,1,0,0.258,2.67
413,retail,NA,medium,2,0,0.264,17.37
414,education,NA,low,9,1,0.184,2.46
415,finance,APAC,high,18,0,0.284,5.48
416,finance,EMEA,low,4,0,0.195,2.44
417,education,NA,low,17,0,0.333,12.66
418,retail,EMEA,medium,5,1,0.185,10.95
419,education,EMEA,low,21,0,0.13,6.98
420,healthcare,NA,medium,23,0,0.092,13.19
421,healthcare,NA,low,13,0,0.097,6.17
422,healthcare,APAC,high,11,0,0.319,13.7
423,retail,NA,low,7,0,0.293,13.35
424,public_sector,EMEA,low,15,0,0.271,2.53
425,healthcare,APAC,medium,7,0,0.055,14.82
426,retail,EMEA,low,11,0,0.338,11.51
427,finance,NA,low,0,0,0.075,1.91
428,public_sector,APAC,high,6,0,0.108,11.16
429,retail,NA,low,8,0,0.313,15.1
430,public_sector,APAC,low,17,0,0.337,4.67
431,healthcare,EMEA,low,20,0,0.189,4.31
432,finance,NA,low,8,0,0.142,6.81
433,finance,APAC,medium,9,0,0.089,3.81
434,education,NA,low,18,0,0.064,15.92
435,education,EMEA,low,9,0,0.329,13.04
436,healthcare,EMEA,low,12,0,0.173,16.34
437,finance,NA,low,17,1,0.326,15.77
438,healthcare,EMEA,low,7,1,0.257,5.45
439,public_sector,EMEA,medium,12,0,0.063,5.11
440,finance,EMEA,medium,9,0,0.225,17.5
441,public_sector,EMEA,high,1,0,0.078,13.82
442,public_sector,EMEA,low,13,0,0.234,5.99
443,finance,NA,medium,13,0,0.107,13.11
444,education,APAC,medium,16,0,0.164,7.6
445,healthcare,EMEA,low,9,0,0.123,4.29
446,public_sector,APAC,medium,1,1,0.05,15.35
447,finance,APAC,low,23,0,0.312,6.86
448,healthcare,NA,low,20,0,0.274,9.03
449,public_sector,EMEA,medium,9,0,0.235,4.42
450,finance,APAC,low,6,0,0.085,15.32
451,public_sector,APAC,low,20,0,0.23,6.32
452,public_sector,EMEA,medium,15,0,0.245,13.57
453,healthcare,NA,low,17,0,0.116,15.12
454,healthcare,NA,low,15,0,0.344,5.03
455,finance,NA,low,20,0,0.204,12.13
456,finance,APAC,medium,23,0,0.121,11.88
457,public_sector,EMEA,medium,1,0,0.273,4.43
458,education,EMEA,low,14,0,0.151,10.23
459,healthcare,APAC,high,14,0,0.232,4.08
460,healthcare,EMEA,low,15,1,0.193,14.7
461,finance,APAC,low,6,0,0.317,4.43
462,healthcare,EMEA,medium,13,0,0.287,9.38
463,public_sector,APAC,medium,2,0,0.124,5.0
464,finance,EMEA,low,6,1,0.298,11.0
465,healthcare,NA,low,15,0,0.151,6.36
466,retail,EMEA,high,22,0,0.307,16.27
467,healthcare,EMEA,medium,4,1,0.183,7.98
468,retail,EMEA,low,12,0,0.091,11.92
469,healthcare,NA,low,21,0,0.177,5.68
470,finance,APAC,low,2,0,0.177,16.28
471,public_sector,NA,low,8,0,0.294,2.17
472,healthcare,NA,low,19,0,0.181,4.46
473,education,EMEA,high,6,0,0.199,5.67
474,retail,APAC,low,20,0,0.292,9.91
475,public_sector,EMEA,medium,11,0,0.332,14.22
476,finance,EMEA,medium,1,0,0.248,14.94
477,education,APAC,medium,2,0,0.078,15.36
478,healthcare,NA,low,3,1,0.054,7.88
479,public_sector,EMEA,medium,13,1,0.156,2.35
480,finance,APAC,low,0,0,0.344,17.5
481,public_sector,EMEA,medium,17,1,0.095,9.67
482,retail,APAC,high,2,0,0.218,5.73
483,public_sector,NA,low,5,0,0.142,13.54
484,education,EMEA,low,3,0,0.322,12.06
485,retail,APAC,low,21,0,0.165,16.62
486,finance,NA,high,4,0,0.12,8.96
487,finance,EMEA,low,0,0,0.055,6.43
488,education,APAC,medium,5,0,0.069,8.97
489,retail,APAC,low,14,0,0.261,2.97
490,healthcare,NA,low,12,0,0.296,14.69
491,public_sector,APAC,medium,13,0,0.086,5.19
492,education,EMEA,low,17,1,0.086,9.48
493,finance,EMEA,high,18,0,0.266,14.52
494,finance,EMEA,high,5,0,0.251,3.0
495,finance,NA,low,7,0,0.345,9.43
496,finance,EMEA,high,21,0,0.14,12.78
497,education,EMEA,medium,9,0,0.053,13.35
498,healthcare,EMEA,low,7,1,0.115,3.99
499,retail,NA,low,15,0,0.276,14.77
500,healthcare,EMEA,low,1,0,0.078,2.77
501,retail,EMEA,low,9,0,0.166,6.51
502,public_sector,EMEA,high,23,0,0.253,15.6
503,retail,NA,high,9,0,0.341,7.77
504,healthcare,APAC,low,9,0,0.196,8.18
505,healthcare,APAC,high,5,0,0.247,11.92
506,public_sector,NA,low,3,0,0.29,17.06
507,education,APAC,medium,23,0,0.273,9.43
508,public_sector,NA,low,21,0,0.302,1.98
509,retail,APAC,low,19,0,0.232,12.35
510,healthcare,APAC,medium,5,0,0.065,8.57
511,finance,EMEA,low,13,0,0.108,10.0
512,retail,NA,low,7,0,0.067,12.05
513,public_sector,APAC,low,21,1,0.276,10.02
514,healthcare,APAC,medium,16,0,0.343,5.58
515,public_sector,NA,high,12,1,0.172,6.37
516,retail,APAC,medium,0,1,0.097,14.78
517,education,EMEA,medium,5,1,0.319,3.5
518,finance,APAC,low,1,0,0.065,12.22
519,finance,NA,medium,12,0,0.308,4.09
520,finance,APAC,medium,0,0,0.077,7.71
521,retail,APAC,low,7,1,0.085,12.94
522,retail,EMEA,low,10,0,0.12,13.9
523,education,EMEA,medium,10,0,0.241,6.85
524,education,NA,medium,5,0,0.285,17.1
525,education,EMEA,low,7,0,0.288,7.51
526,retail,EMEA,low,21,0,0.102,8.39
527,finance,NA,low,10,0,0.099,11.83
528,healthcare,NA,medium,13,0,0.117,16.01
529,retail,EMEA,high,17,0,0.31,14.27
530,public_sector,APAC,high,13,0,0.093,10.42
531,public_sector,EMEA,low,3,1,0.136,2.63
532,retail,APAC,medium,2,0,0.203,12.56
533,retail,EMEA,high,20,0,0.201,16.44
534,education,NA,high,14,0,0.085,8.17
535,education,NA,low,16,1,0.061,2.38
536,healthcare,EMEA,low,18,0,0.104,2.17
537,education,NA,low,0,0,0.213,7.98
538,finance,NA,medium,2,0,0.324,11.0
539,public_sector,NA,high,5,0,0.186,2.43
540,healthcare,EMEA,medium,18,0,0.154,5.79
541,education,APAC,medium,7,0,0.139,17.24
542,public_sector,EMEA,high,20,0,0.15,14.45
543,education,EMEA,medium,11,1,0.332,5.24
544,healthcare,EMEA,low,15,0,0.067,13.38
545,public_sector,EMEA,low,2,0,0.208,11.26
546,healthcare,NA,low,21,0,0.196,5.47
547,retail,NA,low,15,0,0.301,15.17
548,retail,NA,low,11,0,0.138,2.39
549,education,EMEA,low,14,0,0.335,5.41
550,healthcare,NA,medium,10,0,0.052,1.59
551,retail,NA,low,7,0,0.068,7.08
552,public_sector,APAC,low,8,0,0.1,12.29
553,retail,NA,low,1,0,0.263,2.79
554,finance,EMEA,medium,5,0,0.346,14.75
555,education,EMEA,medium,18,1,0.341,9.36
556,finance,NA,low,8,0,0.188,5.39
557,retail,EMEA,low,22,0,0.257,17.81
558,finance,NA,low,13,1,0.101,10.32
559,finance,APAC,low,22,0,0.066,3.03
560,finance,APAC,medium,21,0,0.242,9.69
561,public_sector,APAC,low,10,0,0.116,16.6
562,education,EMEA,low,0,0,0.231,12.1
563,education,EMEA,high,0,0,0.134,3.62
564,education,APAC,medium,13,0,0.199,16.2
565,finance,NA,medium,2,0,0.236,8.37
566,finance,EMEA,low,14,0,0.249,5.78
567,public_sector,APAC,medium,21,0,0.297,17.91
568,healthcare,APAC,medium,6,1,0.284,10.06
569,finance,APAC,low,15,0,0.338,7.3
570,finance,EMEA,high,22,0,0.314,15.98
571,education,APAC,medium,7,0,0.26,4.56
572,public_sector,APAC,high,10,0,0.153,7.97
573,retail,APAC,low,9,0,0.107,2.37
574,healthcare,EMEA,low,22,0,0.156,15.23
575,education,APAC,high,14,0,0.33,8.91
576,retail,NA,medium,22,0,0.247,9.07
577,healthcare,NA,low,3,0,0.09,9.06
578,healthcare,NA,low,2,1,0.127,6.49
579,healthcare,NA,low,6,0,0.144,9.27
580,healthcare,EMEA,low,6,1,0.061,14.72
581,retail,NA,low,2,0,0.271,10.77
