assignment_id,completed,quality_score,safety_violation,latency_ms,cost_usd
58,1,4.77,0,1986,0.0321
59,1,2.33,0,1950,0.1014
60,1,3.07,0,1249,0.0208
61,0,3.73,0,1245,0.1061
62,0,2.4,0,1258,0.0534
63,1,4.15,0,1271,0.0273
64,1,3.43,0,1379,0.0168
65,0,5.0,0,1253,0.0819
66,0,2.37,0,1829,0.0255
67,1,2.65,0,1439,0.0299
68,1,4.17,0,1164,0.119
69,1,2.73,0,1896,0.0782
70,1,3.78,0,1397,0.0619
71,1,3.61,0,1124,0.105
72,0,3.46,0,2278,0.0583
73,1,3.44,0,1448,0.0337
74,1,4.99,0,1274,0.0838
75,1,2.84,0,1182,0.1054
76,1,4.2,0,1639,0.0846
77,1,3.29,0,1189,0.0302
78,0,4.72,0,1093,0.0607
79,1,3.75,0,1979,0.027
80,0,3.67,0,1302,0.0913
81,1,4.66,0,1050,0.1118
82,1,3.06,0,1180,0.1152
83,0,3.93,0,2054,0.0497
84,1,3.87,0,1254,0.0241
85,1,3.76,0,1249,0.0235
86,0,4.5,0,1478,0.0274
87,1,4.29,0,1632,0.1172
88,1,3.83,0,1430,0.0704
89,1,3.88,0,1552,0.0775
90,0,4.24,0,1364,0.1048
91,1,3.52,0,981,0.0872
92,1,4.88,0,1612,0.0145
93,1,2.64,0,1439,0.0233
94,0,5.0,1,1145,0.0194
95,1,3.36,0,1148,0.0129
96,1,3.91,0,1275,0.1151
97,0,4.8,0,994,0.0967
98,1,3.47,0,625,0.0556
99,1,4.68,0,924,0.0405
100,1,4.1,0,1847,0.0218
101,1,2.38,0,1778,0.0175
102,1,2.87,0,984,0.0668
103,1,3.74,0,1505,0.1168
104,1,3.43,0,1482,0.0513
105,1,5.0,0,318,0.0662
106,0,3.72,0,1219,0.0681
107,0,3.12,0,1612,0.0385
108,1,3.16,0,1060,0.0206
109,1,4.11,0,1470,0.1057
110,0,3.42,0,824,0.0128
111,1,3.67,0,1552,0.0281
112,1,3.69,0,1054,0.1182
113,1,2.99,0,1209,0.0186
114,1,4.54,0,1364,0.0559
115,0,4.08,0,1641,0.0505
116,0,3.74,0,1709,0.0456
117,0,4.68,0,969,0.0236
118,1,4.75,0,1123,0.0517
119,1,3.96,0,1172,0.0588
120,1,4.73,0,1419,0.0787
121,1,5.0,0,840,0.049
122,1,2.15,0,1500,0.0134
123,0,2.19,0,1072,0.07
124,1,4.27,0,1221,0.0643
125,1,3.5,0,1319,0.0454
126,0,3.58,0,1563,0.0126
127,1,3.93,0,1366,0.067
128,0,4.0,0,1369,0.1145
129,0,3.11,0,1294,0.0802
130,1,3.87,0,1200,0.1191
131,1,4.42,0,1216,0.1094
132,1,4.48,0,1677,0.1044
133,1,4.12,0,1906,0.1069
134,1,3.79,0,1689,0.0241
135,1,3.92,0,1288,0.0758
136,1,4.86,0,1395,0.0271
137,1,3.67,0,1675,0.0742
138,1,3.72,0,1913,0.0752
139,1,4.16,0,1659,0.1018
140,0,3.37,0,688,0.0351
141,1,3.96,0,1480,0.1
142,1,3.36,0,1166,0.0902
143,1,4.7,0,849,0.1198
144,0,4.4,0,1463,0.0696
145,1,4.83,0,698,0.1132
146,0,4.03,0,1845,0.1118
147,1,2.74,0,1330,0.0515
148,1,2.72,0,1279,0.04
149,1,3.83,0,951,0.0312
150,1,4.5,0,1142,0.0696
151,1,4.04,0,1819,0.0577
152,1,3.06,0,1170,0.0852
153,0,3.66,0,1166,0.0812
154,0,3.19,0,1172,0.1022
155,1,4.96,0,1114,0.105
156,0,4.1,0,2519,0.0236
157,1,4.65,0,1475,0.0129
158,1,5.0,0,1925,0.1123
159,1,4.23,0,1360,0.0176
160,1,3.81,0,1236,0.1091
161,0,2.79,0,1200,0.0312
162,1,4.34,0,1663,0.1177
163,1,3.72,0,1747,0.061
164,0,3.84,0,1380,0.053
165,0,2.69,0,750,0.015
166,1,3.69,0,901,0.0632
167,1,5.0,0,1509,0.0215
168,0,3.19,0,1467,0.0902
169,0,4.58,0,1456,0.118
170,1,2.75,0,1426,0.0447
171,1,3.73,0,1898,0.0572
172,1,3.89,0,1340,0.0913
173,1,4.59,0,1381,0.0158
174,0,2.23,0,1606,0.0259
175,0,2.92,0,1742,0.0234
176,1,2.36,0,875,0.118
177,1,2.36,0,1984,0.0385
178,1,3.71,0,737,0.0398
179,1,4.44,0,1092,0.1018
180,1,3.68,0,2840,0.063
181,1,3.51,0,1539,0.0689
182,1,4.04,0,1388,0.0866
183,0,3.18,0,1753,0.0718
184,1,4.29,0,2258,0.0958
185,1,4.57,0,1781,0.0848
186,1,2.3,0,1671,0.0619
187,1,3.58,0,1760,0.0342
188,1,2.81,0,1655,0.0404
189,1,3.28,0,1861,0.0128
190,1,3.78,0,1085,0.0305
191,1,3.41,0,715,0.0951
192,1,3.83,0,1763,0.1128
193,0,4.47,0,1472,0.055
194,0,4.11,0,1474,0.0937
195,1,1.78,0,1194,0.0963
196,0,3.62,0,847,0.0558
197,0,3.7,0,1654,0.0135
198,0,5.0,0,1467,0.1107
199,0,4.28,1,1555,0.0196
200,0,4.75,0,945,0.0646
201,0,4.45,0,1443,0.0551
202,0,2.52,0,1541,0.1007
203,1,3.09,0,1752,0.0455
204,1,2.65,0,1713,0.0388
205,1,4.29,0,1208,0.0777
206,0,3.8,0,1479,0.0879
207,1,3.39,0,1442,0.012
208,1,5.0,0,1204,0.0605
209,1,4.34,0,1857,0.0156
210,0,4.18,0,691,0.0616
211,1,4.79,0,1708,0.0516
212,0,3.81,0,1312,0.0912
213,1,5.0,0,1914,0.044
214,1,4.25,0,1072,0.0886
215,1,3.31,0,1738,0.0862
216,0,2.59,0,903,0.0282
217,0,3.98,0,1715,0.053
218,1,4.51,0,2189,0.0955
219,1,3.87,0,1777,0.1022
220,1,3.1,0,980,0.0171
221,1,3.4,1,1643,0.0958
222,1,3.93,0,1422,0.073
223,1,3.05,0,1215,0.0967
224,0,2.42,0,1295,0.1147
225,1,3.76,0,1546,0.0104
226,1,3.93,0,1583,0.1064
227,0,4.46,0,1005,0.0465
228,1,2.66,0,514,0.033
229,1,2.51,0,1179,0.0692
230,0,3.4,0,1721,0.1198
231,1,4.14,0,1438,0.0533
232,1,3.92,0,1513,0.0628
233,1,3.23,0,1096,0.0362
234,1,3.38,1,1267,0.0554
235,0,2.71,0,1153,0.109
236,1,2.88,0,2413,0.0525
237,0,5.0,0,1579,0.0815
238,1,3.49,0,1073,0.0799
239,1,2.13,0,1402,0.0876
240,1,2.83,0,1587,0.054
241,0,2.85,0,1759,0.1198
242,0,4.28,0,1350,0.0288
243,1,3.97,0,1618,0.0129
244,1,4.45,0,1767,0.0476
245,0,5.0,0,929,0.0308
246,0,3.94,0,802,0.0897
247,1,3.38,0,1371,0.1138
248,1,4.43,0,1851,0.0887
249,1,4.04,0,1722,0.0768
250,0,3.28,0,1281,0.0576
251,1,4.24,0,1242,0.0792
252,1,2.03,0,1560,0.114
253,1,4.05,0,1551,0.0788
254,1,4.38,0,1534,0.0938
255,0,3.0,0,1306,0.1165
256,1,3.36,0,1613,0.0186
257,1,2.15,0,885,0.0524
258,1,3.76,0,2033,0.1109
259,1,2.92,0,1601,0.0337
260,0,2.4,0,1030,0.0139
261,0,4.48,0,1497,0.0741
262,1,2.32,0,1169,0.0464
263,1,2.86,0,1366,0.0443
264,0,3.71,0,1729,0.0208
265,1,4.98,0,1460,0.1168
266,1,3.09,0,692,0.0839
267,0,3.22,0,1372,0.1031
268,0,2.49,0,1827,0.0454
269,1,4.36,0,1241,0.0706
270,1,3.89,0,1934,0.0709
271,1,4.24,0,912,0.0851
272,1,2.96,0,1046,0.0503
273,0,3.31,0,928,0.061
274,1,4.4,0,1403,0.0271
275,1,4.12,0,1170,0.0622
276,1,2.43,0,1897,0.0881
277,1,1.97,0,776,0.1026
278,1,3.74,0,1388,0.06
279,1,5.0,0,1666,0.0513
280,0,3.28,0,897,0.1063
281,1,3.34,0,1338,0.1108
282,1,4.79,0,1587,0.1081
283,0,3.81,0,1573,0.1164
284,1,2.92,0,1726,0.0989
285,1,4.61,0,1158,0.0968
286,1,4.27,0,1480,0.0924
287,1,3.91,0,863,0.0604
288,1,3.89,0,471,0.1135
289,1,3.46,0,1419,0.0388
290,0,3.65,0,914,0.1043
291,1,2.74,0,885,0.0953
292,0,3.25,0,1144,0.1105
293,1,3.28,0,1338,0.0904
294,1,2.16,0,1490,0.1188
295,1,3.15,0,1075,0.1068
296,1,4.23,0,1414,0.0617
297,1,4.36,0,1193,0.0147
298,0,3.95,0,1172,0.0404
299,0,4.9,0,1209,0.1152
300,1,4.06,0,1470,0.0535
301,0,2.45,1,1052,0.1046
302,0,4.09,0,836,0.0852
303,1,5.0,0,1433,0.0143
304,1,4.35,0,1255,0.0792
305,1,3.79,0,1916,0.0999
306,1,4.43,0,822,0.0657
307,1,3.22,0,1753,0.0206
308,1,4.77,0,1952,0.0828
309,0,3.47,0,1216,0.088
310,0,4.19,1,1257,0.0745
311,1,3.19,0,282,0.1053
312,0,3.15,1,2078,0.0483
313,1,5.0,0,586,0.0903
314,0,3.07,0,1104,0.1103
315,0,3.95,0,1497,0.0932
316,1,3.86,0,1266,0.1121
317,0,4.86,0,1335,0.0715
318,1,3.58,0,1379,0.084
319,0,3.87,0,1528,0.0274
320,1,3.65,0,1210,0.0156
321,1,3.5,0,1347,0.0212
322,0,3.87,0,748,0.0242
323,0,2.76,0,1457,0.0911
324,1,2.97,0,778,0.0722
325,0,4.1,0,1809,0.0936
326,1,4.66,0,1555,0.1141
327,1,5.0,0,1323,0.1044
328,0,2.79,0,1699,0.0198
329,1,5.0,0,1394,0.0605
330,1,3.99,0,1003,0.0949
331,0,4.23,0,1262,0.0994
332,1,3.86,0,1954,0.0965
333,1,4.36,0,886,0.0711
334,1,2.35,0,1534,0.0309
335,0,3.06,0,1679,0.077
336,1,3.65,0,1176,0.0673
337,1,1.62,0,1014,0.02
338,1,4.29,0,1470,0.0859
339,1,3.65,1,1424,0.0154
340,0,2.97,0,1306,0.0868
341,1,4.01,0,1548,0.0629
342,0,4.46,0,793,0.0343
343,1,3.31,0,1158,0.051
344,1,4.81,0,1377,0.0914
345,1,3.32,0,1573,0.0201
346,0,3.17,0,2027,0.0813
347,0,3.88,0,1694,0.0236
348,1,5.0,0,1187,0.0657
349,0,5.0,0,1738,0.0588
350,1,2.94,0,1196,0.1032
351,0,2.71,0,1194,0.109
352,1,3.35,0,1045,0.1003
353,1,3.41,0,2026,0.0217
354,0,4.24,0,1824,0.1172
355,0,5.0,0,1389,0.0683
356,0,3.4,0,1152,0.0118
357,1,5.0,0,1931,0.0621
358,1,3.62,0,1533,0.1093
359,1,3.46,0,958,0.0972
360,1,3.56,0,764,0.037
361,0,3.38,0,689,0.0281
362,1,3.6,0,1885,0.0289
363,0,2.57,0,1401,0.1047
364,1,4.48,0,987,0.0541
365,1,2.65,0,928,0.0286
366,1,5.0,0,1270,0.0939
367,1,3.49,0,1323,0.0794
368,1,4.28,0,1200,0.0212
369,0,3.54,0,1332,0.07
370,0,2.76,0,1717,0.0923
371,1,4.67,0,1875,0.0932
372,0,3.21,0,1764,0.0913
373,0,4.57,0,1683,0.0782
374,1,3.58,0,1396,0.0949
375,1,2.98,0,918,0.0824
376,1,4.9,0,1595,0.0453
377,0,4.31,0,1174,0.0591
378,0,3.27,0,1388,0.0702
379,1,3.59,0,1198,0.0975
380,1,4.13,0,1661,0.0809
381,0,2.99,0,1386,0.013
382,0,4.96,0,1144,0.0375
383,0,3.47,0,1383,0.1122
384,1,3.58,0,1457,0.0515
385,1,2.61,0,1594,0.0995
386,1,4.49,0,1930,0.0678
387,1,3.49,0,1397,0.1004
388,0,3.52,0,1964,0.1027
389,1,4.16,0,1197,0.0874
390,1,4.43,0,1491,0.0352
391,1,4.93,0,1318,0.0103
392,0,4.05,0,1306,0.0757
393,1,2.38,0,1391,0.0951
394,0,3.44,0,2463,0.0564
395,1,3.19,0,511,0.1012
396,1,5.0,0,1270,0.1082
397,1,3.91,1,794,0.0439
398,1,4.24,0,1673,0.0734
399,1,4.19,0,1308,0.0846
400,0,4.01,0,1367,0.0681
401,0,3.7,0,1407,0.0285
402,1,3.46,0,1471,0.0633
403,1,3.55,0,962,0.0275
404,0,4.69,0,1148,0.0362
405,1,3.97,0,1759,0.078
406,0,5.0,0,693,0.0521
407,0,4.01,0,1962,0.0281
408,1,3.05,0,929,0.0539
409,1,3.28,1,1306,0.0527
410,0,3.55,1,1632,0.0483
411,1,2.8,0,1423,0.0374
412,1,3.46,0,1370,0.0156
413,0,3.85,0,1784,0.0966
414,1,2.78,0,1604,0.086
415,0,3.18,0,1134,0.0483
416,0,4.46,0,982,0.0229
417,1,2.95,0,1441,0.0457
418,1,3.63,0,1202,0.0152
419,1,2.61,0,1750,0.0666
420,1,5.0,0,1690,0.0913
421,1,3.33,0,777,0.0655
422,1,4.05,0,2235,0.083
423,1,3.14,0,1940,0.0414
424,1,3.57,0,1489,0.0371
425,1,5.0,0,1521,0.0147
426,1,3.78,0,1201,0.1046
427,1,4.17,0,1388,0.0814
428,0,3.84,0,1748,0.0335
429,1,2.94,0,1420,0.0582
430,1,3.0,0,1609,0.04
431,0,4.3,0,1775,0.0225
432,1,2.78,0,916,0.0857
433,1,2.62,0,1082,0.0469
434,1,3.23,0,1674,0.0896
435,1,4.36,0,2392,0.0391
436,1,3.17,0,1295,0.0905
437,0,3.43,0,1504,0.0258
438,1,3.85,0,1915,0.0882
439,1,4.02,0,1837,0.0557
440,1,4.1,0,1210,0.0865
441,0,4.62,0,1809,0.0318
442,1,4.83,0,1617,0.0885
443,0,3.76,0,1282,0.1177
444,1,3.41,0,1490,0.0588
445,1,2.81,0,1603,0.1161
446,1,4.19,0,1491,0.0998
447,0,2.89,0,1652,0.061
448,1,5.0,0,1494,0.0865
449,0,5.0,0,1321,0.0578
450,1,3.12,0,1423,0.0121
451,1,5.0,0,2142,0.0278
452,1,5.0,0,928,0.0295
453,0,2.85,1,1229,0.0366
454,1,3.24,0,1287,0.0806
455,1,5.0,0,1132,0.0714
456,1,3.52,0,1323,0.0246
457,1,2.88,0,1628,0.046
458,1,3.8,0,1563,0.1122
459,0,2.71,0,1764,0.0502
460,1,4.2,0,1337,0.1035
461,1,3.4,0,1835,0.0496
462,1,4.08,0,1844,0.032
463,1,4.94,0,1052,0.0451
464,0,3.24,0,1431,0.0789
465,1,4.73,0,1178,0.0638
466,1,3.45,0,762,0.0393
467,0,4.42,0,1304,0.0524
468,1,3.62,0,1590,0.0984
469,1,4.02,0,1606,0.0971
470,1,3.24,0,1501,0.0856
471,0,5.0,0,1618,0.0462
472,0,3.65,0,1480,0.0399
473,0,4.38,0,1292,0.0276
474,1,3.07,0,1040,0.0844
475,1,4.74,0,988,0.0929
476,1,3.89,1,1219,0.1089
477,1,3.26,0,2197,0.0614
478,0,4.09,0,1358,0.0381
479,1,1.31,0,927,0.0585
480,0,2.65,0,1020,0.0289
481,1,4.24,0,1600,0.1069
482,1,2.74,0,1351,0.0964
483,0,2.89,0,1286,0.109
484,1,4.04,1,1464,0.0139
485,0,2.92,0,1493,0.0706
486,0,4.03,0,1267,0.0639
487,0,4.01,0,1752,0.0862
488,1,3.08,0,327,0.0834
489,1,3.93,0,872,0.114
490,0,4.15,0,1257,0.0523
491,1,3.91,0,1537,0.0727
492,1,4.46,0,1754,0.0436
493,1,4.35,0,2005,0.0373
494,1,4.21,0,1401,0.0781
495,0,3.35,0,1147,0.0657
496,1,5.0,0,1213,0.1197
497,1,3.62,0,1331,0.0149
498,1,4.12,0,1324,0.0635
499,1,3.27,0,1678,0.0822
500,0,4.17,0,1375,0.0881
501,1,3.13,0,1473,0.0635
502,1,3.16,0,1245,0.0963
503,1,3.11,0,779,0.109
504,0,3.93,0,2201,0.0149
505,1,3.07,0,1302,0.0411
506,0,3.58,0,743,0.0974
507,1,4.32,0,2343,0.0532
508,1,4.02,0,1209,0.0859
509,1,3.26,0,1690,0.0604
510,0,3.44,0,2012,0.048
511,1,5.0,0,2095,0.0411
512,0,4.5,0,924,0.0697
513,1,3.55,0,1222,0.0895
514,1,3.08,0,1175,0.0622
515,0,2.88,0,2011,0.0662
516,1,4.28,0,1340,0.0845
517,1,3.79,0,1044,0.0801
518,1,3.51,0,1961,0.077
519,0,2.41,0,1098,0.0549
520,1,3.82,0,1875,0.0281
521,1,3.1,0,1272,0.0704
522,1,4.31,0,2109,0.0527
523,0,2.87,0,1094,0.0446
524,1,4.15,0,1791,0.0307
525,1,2.9,0,1566,0.0247
526,1,3.25,0,1406,0.1138
527,1,1.07,0,1762,0.1044
528,1,2.55,0,1523,0.1029
529,1,3.63,0,1873,0.0181
530,0,4.12,0,1203,0.0714
531,1,5.0,0,1730,0.0508
532,1,3.57,0,630,0.1131
533,0,4.43,0,1180,0.1118
534,0,1.83,0,1586,0.0938
535,1,3.36,0,1467,0.0948
536,1,3.54,0,1584,0.1061
537,1,2.86,0,1693,0.0639
538,0,2.89,0,1392,0.0606
539,0,4.24,0,2116,0.0781
540,1,2.91,0,1194,0.0627
541,0,5.0,0,1833,0.0322
542,1,4.83,0,1052,0.0762
543,1,4.43,0,773,0.0358
544,1,2.8,0,1418,0.0713
545,1,4.93,0,1016,0.0645
546,1,3.4,0,1315,0.0192
547,0,2.94,0,1404,0.0665
548,1,3.42,0,1133,0.114
549,0,3.62,0,1796,0.1044
550,1,3.14,0,1358,0.0321
551,1,3.35,0,1458,0.034
552,1,4.67,0,1399,0.0257
553,0,3.98,0,1645,0.091
554,1,2.89,0,1245,0.0195
555,0,4.12,0,902,0.0178
556,0,4.69,0,1484,0.0448
557,1,5.0,0,1152,0.0516
558,0,3.16,0,2056,0.0326
559,1,2.91,0,1684,0.0355
560,1,3.55,0,880,0.0629
561,1,3.16,0,1529,0.1142
562,0,4.04,0,1768,0.1078
563,1,4.19,0,2002,0.0984
564,0,4.37,0,1192,0.0445
565,1,3.92,0,1498,0.0809
566,1,4.86,0,1351,0.0825
567,1,2.78,0,1037,0.0869
568,1,4.09,0,1833,0.0905
569,0,4.15,0,1620,0.0602
570,0,3.9,0,1613,0.1161
571,1,2.39,0,754,0.0424
572,1,3.45,0,1748,0.026
573,0,3.4,0,1207,0.0621
574,1,4.39,0,2195,0.033
575,1,3.23,0,794,0.0999
576,0,3.55,0,2177,0.0489
577,1,3.55,0,1121,0.0807
578,1,5.0,0,1173,0.0658
579,0,3.48,0,1501,0.0812
580,0,2.09,0,559,0.0333
581,0,4.21,0,1056,0.026
582,1,3.02,0,1785,0.0722
583,1,1.3,0,2615,0.0918
584,0,3.55,0,1482,0.0759
585,0,3.66,0,1790,0.0852
586,1,2.66,0,907,0.1005
587,0,4.12,0,1320,0.1112
588,0,2.05,0,867,0.0127
589,1,4.65,0,1012,0.1151
590,1,3.53,0,1707,0.0729
591,0,3.37,0,1213,0.048
592,1,3.87,0,1348,0.0749
593,1,3.93,0,937,0.0833
594,1,4.21,0,1853,0.0457
595,1,3.47,0,1489,0.1102
596,1,4.48,0,1147,0.0933
597,0,5.0,0,1526,0.0562
598,1,3.84,0,1795,0.0778
599,0,4.05,0,1144,0.0841
600,0,2.71,0,1511,0.0643
601,1,3.08,0,1705,0.0171
602,1,2.81,0,1219,0.111
603,1,4.14,0,1827,0.1184
604,1,3.59,0,1357,0.0297
605,0,4.33,0,984,0.1173
606,1,2.52,0,848,0.034
607,1,4.84,0,1961,0.0802
608,0,4.87,0,1870,0.1043
609,1,3.57,0,1220,0.0923
610,0,4.33,0,1647,0.1158
611,0,2.68,0,1330,0.1146
612,1,3.0,0,1296,0.1001
613,0,3.41,0,1545,0.056
614,1,4.04,0,742,0.031
615,1,4.07,0,1742,0.1166
616,0,4.75,0,1606,0.033
617,0,4.86,0,1414,0.0339
618,1,4.93,0,1622,0.0168
619,1,3.92,0,1010,0.0371
620,0,3.88,0,857,0.0979
621,1,3.94,0,1110,0.1182
622,1,3.39,0,1301,0.0985
623,1,3.58,0,862,0.1115
624,1,3.68,0,1528,0.0909
625,1,3.95,0,1776,0.0874
626,0,2.35,0,2021,0.0549
627,1,3.38,0,1312,0.09
628,1,2.86,0,1044,0.0582
629,1,4.33,0,690,0.0183
630,1,4.54,0,1250,0.0687
631,1,3.91,0,1550,0.0188
632,1,3.59,0,2079,0.019
633,0,3.7,0,1622,0.1003
634,0,4.42,1,1824,0.019
635,0,3.69,0,1664,0.0842
636,0,5.0,0,2198,0.1168
637,1,2.62,0,2138,0.0359
638,1,3.72,0,1242,0.1019
639,1,4.08,0,1791,0.0904
640,0,2.78,0,1135,0.0833
641,0,3.49,0,1703,0.1138
642,1,3.33,0,430,0.0157
643,1,5.0,0,711,0.0517
644,1,2.63,0,1640,0.0252
645,1,3.1,0,1295,0.0566
646,1,2.87,0,848,0.0924
647,1,3.73,0,1588,0.0754
648,1,3.33,0,786,0.0741
649,0,3.6,0,766,0.0746
650,1,5.0,0,1532,0.0493
651,1,4.21,0,1080,0.0407
652,1,3.12,0,1816,0.0614
653,0,2.5,0,1640,0.1167
654,1,2.99,0,1227,0.1197
655,1,5.0,0,1965,0.0534
656,1,3.26,0,1894,0.0951
657,1,4.38,0,1344,0.0128
658,0,4.62,0,1344,0.0265
659,0,3.85,0,1987,0.0542
660,0,1.94,0,1380,0.0425
661,0,3.67,0,717,0.0849
662,0,5.0,0,1754,0.0543
663,1,3.83,0,1511,0.0687
664,1,2.44,0,1358,0.0701
665,1,3.91,0,1484,0.032
666,0,3.99,0,1597,0.0283
667,0,3.73,0,1103,0.0675
668,1,3.01,0,1341,0.0562
669,0,4.05,0,1395,0.0535
670,0,3.56,0,1797,0.0563
671,1,3.61,0,1831,0.0132
672,1,4.55,0,1960,0.0806
673,1,2.25,0,1669,0.0398
674,1,2.05,0,1528,0.0944
675,1,3.8,0,1945,0.0631
676,1,3.56,0,1253,0.1014
677,1,3.31,0,2153,0.0393
678,0,3.77,0,906,0.109
679,1,5.0,0,1396,0.0972
680,1,3.84,0,1998,0.0157
681,1,4.4,0,1363,0.0835
682,1,3.09,0,1616,0.0578
683,1,3.47,0,1264,0.0485
684,1,4.07,0,1020,0.0864
685,1,3.56,0,1043,0.0972
686,1,5.0,0,1142,0.0355
687,0,4.56,0,1494,0.0879
688,1,3.63,0,805,0.1037
689,1,4.66,0,1025,0.0599
690,1,4.69,0,1761,0.0645
691,1,5.0,0,1830,0.0771
692,1,3.6,0,1334,0.0135
693,1,2.83,0,1141,0.062
694,1,4.7,0,1852,0.0571
695,1,3.7,0,1063,0.019
696,1,3.18,0,1243,0.0247
697,0,4.12,0,1114,0.0596
698,1,3.48,1,1805,0.0411
699,1,4.23,0,1405,0.0209
700,0,2.51,0,1679,0.0478
701,0,3.47,0,1653,0.1149
702,1,3.67,0,1918,0.0718
703,0,4.61,0,1343,0.0506
704,0,3.84,0,1232,0.0416
705,1,4.07,0,1334,0.1138
706,1,3.61,0,1031,0.0198
707,0,4.25,0,1930,0.0156
708,1,4.04,0,1244,0.0926
709,1,3.53,0,1473,0.1177
710,0,3.87,0,1225,0.0212
711,1,3.87,0,1280,0.1131
712,0,3.36,0,1497,0.0313
713,1,3.68,0,2286,0.115
714,1,3.04,0,1427,0.0538
715,1,4.19,0,1465,0.1093
716,1,3.29,0,1837,0.1119
717,0,4.44,0,1461,0.1084
718,1,3.74,0,1242,0.0553
719,1,4.07,0,1377,0.1116
720,1,2.47,0,1142,0.0349
721,1,2.62,0,1582,0.0801
722,1,4.87,0,1608,0.1019
723,1,2.69,0,2202,0.0807
724,1,2.56,0,1266,0.035
725,1,4.44,0,2256,0.0309
726,1,4.66,0,1377,0.0597
727,0,2.22,0,1751,0.0931
728,1,3.26,0,1857,0.103
729,0,4.09,0,1417,0.0219
730,1,5.0,0,1621,0.0215
731,1,3.85,0,895,0.0149
732,1,3.31,0,961,0.1038
733,1,3.6,0,1184,0.018
734,1,3.22,0,2029,0.0847
735,1,3.87,0,1115,0.0858
736,1,4.4,0,1203,0.099
737,1,4.67,1,1042,0.0891
738,1,4.11,0,2356,0.0765
739,0,3.64,0,1853,0.117
740,1,3.54,0,1646,0.0192
741,1,3.62,0,1091,0.0452
742,1,2.88,0,819,0.0636
743,1,2.55,0,1689,0.1114
744,1,4.23,0,1083,0.117
745,0,4.77,0,1325,0.102
746,1,3.59,0,1518,0.0364
747,0,3.88,0,1090,0.0493
748,0,5.0,0,1015,0.0956
749,0,2.77,0,1612,0.1098
750,1,4.07,0,1247,0.0954
751,1,3.24,0,1420,0.1065
752,1,3.31,0,1112,0.0308
753,1,3.39,0,1250,0.1122
754,1,2.51,0,1114,0.0511
755,0,2.71,0,1237,0.0104
756,1,3.68,0,1246,0.0199
757,1,3.96,0,1838,0.0335
758,1,3.28,0,1096,0.0395
759,1,3.44,0,1149,0.0637
760,0,3.23,0,1081,0.0528
761,0,5.0,0,1335,0.0812
762,1,2.63,0,1351,0.1064
763,0,2.82,0,935,0.1116
764,1,5.0,0,1409,0.0367
765,1,4.62,0,814,0.0434
766,1,3.87,0,1163,0.0268
767,1,4.4,0,1461,0.0859
768,0,3.91,0,1395,0.1195
769,0,5.0,0,1595,0.0565
770,1,4.84,0,1265,0.0777
771,1,3.31,0,1308,0.1191
772,0,3.8,0,1115,0.0908
773,0,4.73,0,971,0.0526
774,1,4.62,0,1307,0.0659
775,0,4.66,0,1545,0.0766
776,1,3.88,0,1507,0.0776
777,1,1.83,0,1805,0.0331
778,1,4.62,0,1003,0.1097
779,1,3.49,0,1264,0.0742
780,1,3.55,0,1200,0.0748
781,1,3.88,0,501,0.1047
782,0,2.51,0,1336,0.0638
783,1,4.71,0,1215,0.1043
784,0,2.7,1,1516,0.0498
785,0,3.44,0,1487,0.036
