ticket_id,experiment_name,variant
315,agent_assist_aug26,control
316,agent_assist_aug26,treatment
317,agent_assist_aug26,control
318,agent_assist_aug26,treatment
319,agent_assist_aug26,control
320,agent_assist_aug26,treatment
321,agent_assist_aug26,control
322,agent_assist_aug26,treatment
323,agent_assist_aug26,control
324,agent_assist_aug26,treatment
325,agent_assist_aug26,control
326,agent_assist_aug26,treatment
327,agent_assist_aug26,control
328,agent_assist_aug26,treatment
329,agent_assist_aug26,control
330,agent_assist_aug26,treatment
331,agent_assist_aug26,control
332,agent_assist_aug26,treatment
333,agent_assist_aug26,control
334,agent_assist_aug26,treatment
335,agent_assist_aug26,control
336,agent_assist_aug26,treatment
337,agent_assist_aug26,control
338,agent_assist_aug26,treatment
339,agent_assist_aug26,control
340,agent_assist_aug26,treatment
341,agent_assist_aug26,control
342,agent_assist_aug26,treatment
343,agent_assist_aug26,control
344,agent_assist_aug26,treatment
345,agent_assist_aug26,control
346,agent_assist_aug26,treatment
347,agent_assist_aug26,control
348,agent_assist_aug26,treatment
349,agent_assist_aug26,control
350,agent_assist_aug26,treatment
351,agent_assist_aug26,control
352,agent_assist_aug26,treatment
353,agent_assist_aug26,control
354,agent_assist_aug26,treatment
355,agent_assist_aug26,control
356,agent_assist_aug26,treatment
357,agent_assist_aug26,control
358,agent_assist_aug26,treatment
359,agent_assist_aug26,control
360,agent_assist_aug26,treatment
361,agent_assist_aug26,control
362,agent_assist_aug26,treatment
363,agent_assist_aug26,control
364,agent_assist_aug26,treatment
365,agent_assist_aug26,control
366,agent_assist_aug26,treatment
367,agent_assist_aug26,control
368,agent_assist_aug26,treatment
369,agent_assist_aug26,control
370,agent_assist_aug26,treatment
371,agent_assist_aug26,control
372,agent_assist_aug26,treatment
373,agent_assist_aug26,control
374,agent_assist_aug26,treatment
375,agent_assist_aug26,control
376,agent_assist_aug26,treatment
377,agent_assist_aug26,control
378,agent_assist_aug26,treatment
379,agent_assist_aug26,control
380,agent_assist_aug26,treatment
381,agent_assist_aug26,control
382,agent_assist_aug26,treatment
383,agent_assist_aug26,control
384,agent_assist_aug26,treatment
385,agent_assist_aug26,control
386,agent_assist_aug26,treatment
387,agent_assist_aug26,control
388,agent_assist_aug26,treatment
389,agent_assist_aug26,control
390,agent_assist_aug26,treatment
391,agent_assist_aug26,control
392,agent_assist_aug26,treatment
393,agent_assist_aug26,control
394,agent_assist_aug26,treatment
395,agent_assist_aug26,control
396,agent_assist_aug26,treatment
397,agent_assist_aug26,control
398,agent_assist_aug26,treatment
399,agent_assist_aug26,control
400,agent_assist_aug26,treatment
401,agent_assist_aug26,control
402,agent_assist_aug26,treatment
403,agent_assist_aug26,control
404,agent_assist_aug26,treatment
405,agent_assist_aug26,control
406,agent_assist_aug26,treatment
407,agent_assist_aug26,control
408,agent_assist_aug26,treatment
409,agent_assist_aug26,control
410,agent_assist_aug26,treatment
411,agent_assist_aug26,control
412,agent_assist_aug26,treatment
413,agent_assist_aug26,control
414,agent_assist_aug26,treatment
415,agent_assist_aug26,control
416,agent_assist_aug26,treatment
417,agent_assist_aug26,control
418,agent_assist_aug26,treatment
419,agent_assist_aug26,control
420,agent_assist_aug26,treatment
421,agent_assist_aug26,control
422,agent_assist_aug26,treatment
423,agent_assist_aug26,control
424,agent_assist_aug26,treatment
425,agent_assist_aug26,control
426,agent_assist_aug26,treatment
427,agent_assist_aug26,control
428,agent_assist_aug26,treatment
429,agent_assist_aug26,control
430,agent_assist_aug26,treatment
431,agent_assist_aug26,control
432,agent_assist_aug26,treatment
433,agent_assist_aug26,control
434,agent_assist_aug26,treatment
435,agent_assist_aug26,control
436,agent_assist_aug26,treatment
437,agent_assist_aug26,control
438,agent_assist_aug26,treatment
439,agent_assist_aug26,control
440,agent_assist_aug26,treatment
441,agent_assist_aug26,control
442,agent_assist_aug26,treatment
443,agent_assist_aug26,control
444,agent_assist_aug26,treatment
445,agent_assist_aug26,control
446,agent_assist_aug26,treatment
447,agent_assist_aug26,control
448,agent_assist_aug26,treatment
449,agent_assist_aug26,control
450,agent_assist_aug26,treatment
451,agent_assist_aug26,control
452,agent_assist_aug26,treatment
453,agent_assist_aug26,control
454,agent_assist_aug26,treatment
455,agent_assist_aug26,control
456,agent_assist_aug26,treatment
457,agent_assist_aug26,control
458,agent_assist_aug26,treatment
459,agent_assist_aug26,control
460,agent_assist_aug26,treatment
461,agent_assist_aug26,control
462,agent_assist_aug26,treatment
463,agent_assist_aug26,control
464,agent_assist_aug26,treatment
465,agent_assist_aug26,control
466,agent_assist_aug26,treatment
467,agent_assist_aug26,control
468,agent_assist_aug26,treatment
469,agent_assist_aug26,control
470,agent_assist_aug26,treatment
471,agent_assist_aug26,control
472,agent_assist_aug26,treatment
473,agent_assist_aug26,control
474,agent_assist_aug26,treatment
475,agent_assist_aug26,control
476,agent_assist_aug26,treatment
477,agent_assist_aug26,control
478,agent_assist_aug26,treatment
479,agent_assist_aug26,control
480,agent_assist_aug26,treatment
481,agent_assist_aug26,control
482,agent_assist_aug26,treatment
483,agent_assist_aug26,control
484,agent_assist_aug26,treatment
485,agent_assist_aug26,control
486,agent_assist_aug26,treatment
487,agent_assist_aug26,control
488,agent_assist_aug26,treatment
489,agent_assist_aug26,control
490,agent_assist_aug26,treatment
491,agent_assist_aug26,control
492,agent_assist_aug26,treatment
493,agent_assist_aug26,control
494,agent_assist_aug26,treatment
495,agent_assist_aug26,control
496,agent_assist_aug26,treatment
497,agent_assist_aug26,control
498,agent_assist_aug26,treatment
499,agent_assist_aug26,control
500,agent_assist_aug26,treatment
501,agent_assist_aug26,control
502,agent_assist_aug26,treatment
503,agent_assist_aug26,control
504,agent_assist_aug26,treatment
505,agent_assist_aug26,control
506,agent_assist_aug26,treatment
507,agent_assist_aug26,control
508,agent_assist_aug26,treatment
509,agent_assist_aug26,control
510,agent_assist_aug26,treatment
511,agent_assist_aug26,control
512,agent_assist_aug26,treatment
513,agent_assist_aug26,control
514,agent_assist_aug26,treatment
515,agent_assist_aug26,control
516,agent_assist_aug26,treatment
517,agent_assist_aug26,control
518,agent_assist_aug26,treatment
519,agent_assist_aug26,control
520,agent_assist_aug26,treatment
521,agent_assist_aug26,control
522,agent_assist_aug26,treatment
523,agent_assist_aug26,control
524,agent_assist_aug26,treatment
525,agent_assist_aug26,control
526,agent_assist_aug26,treatment
527,agent_assist_aug26,control
528,agent_assist_aug26,treatment
529,agent_assist_aug26,control
530,agent_assist_aug26,treatment
531,agent_assist_aug26,control
532,agent_assist_aug26,treatment
533,agent_assist_aug26,control
534,agent_assist_aug26,treatment
535,agent_assist_aug26,control
536,agent_assist_aug26,treatment
537,agent_assist_aug26,control
538,agent_assist_aug26,treatment
539,agent_assist_aug26,control
540,agent_assist_aug26,treatment
541,agent_assist_aug26,control
542,agent_assist_aug26,treatment
543,agent_assist_aug26,control
544,agent_assist_aug26,treatment
545,agent_assist_aug26,control
546,agent_assist_aug26,treatment
547,agent_assist_aug26,control
548,agent_assist_aug26,treatment
549,agent_assist_aug26,control
550,agent_assist_aug26,treatment
551,agent_assist_aug26,control
552,agent_assist_aug26,treatment
553,agent_assist_aug26,control
554,agent_assist_aug26,treatment
555,agent_assist_aug26,control
556,agent_assist_aug26,treatment
557,agent_assist_aug26,control
558,agent_assist_aug26,treatment
559,agent_assist_aug26,control
560,agent_assist_aug26,treatment
561,agent_assist_aug26,control
562,agent_assist_aug26,treatment
563,agent_assist_aug26,control
564,agent_assist_aug26,treatment
565,agent_assist_aug26,control
566,agent_assist_aug26,treatment
567,agent_assist_aug26,control
568,agent_assist_aug26,treatment
569,agent_assist_aug26,control
570,agent_assist_aug26,treatment
571,agent_assist_aug26,control
572,agent_assist_aug26,treatment
573,agent_assist_aug26,control
574,agent_assist_aug26,treatment
575,agent_assist_aug26,control
576,agent_assist_aug26,treatment
577,agent_assist_aug26,control
578,agent_assist_aug26,treatment
579,agent_assist_aug26,control
580,agent_assist_aug26,treatment
581,agent_assist_aug26,control
582,agent_assist_aug26,treatment
583,agent_assist_aug26,control
584,agent_assist_aug26,treatment
585,agent_assist_aug26,control
586,agent_assist_aug26,treatment
587,agent_assist_aug26,control
588,agent_assist_aug26,treatment
589,agent_assist_aug26,control
590,agent_assist_aug26,treatment
591,agent_assist_aug26,control
592,agent_assist_aug26,treatment
593,agent_assist_aug26,control
594,agent_assist_aug26,treatment
595,agent_assist_aug26,control
596,agent_assist_aug26,treatment
597,agent_assist_aug26,control
598,agent_assist_aug26,treatment
599,agent_assist_aug26,control
600,agent_assist_aug26,treatment
601,agent_assist_aug26,control
602,agent_assist_aug26,treatment
603,agent_assist_aug26,control
604,agent_assist_aug26,treatment
605,agent_assist_aug26,control
606,agent_assist_aug26,treatment
607,agent_assist_aug26,control
608,agent_assist_aug26,treatment
609,agent_assist_aug26,control
610,agent_assist_aug26,treatment
611,agent_assist_aug26,control
612,agent_assist_aug26,treatment
613,agent_assist_aug26,control
614,agent_assist_aug26,treatment
615,agent_assist_aug26,control
616,agent_assist_aug26,treatment
617,agent_assist_aug26,control
618,agent_assist_aug26,treatment
619,agent_assist_aug26,control
620,agent_assist_aug26,treatment
621,agent_assist_aug26,control
622,agent_assist_aug26,treatment
623,agent_assist_aug26,control
624,agent_assist_aug26,treatment
625,agent_assist_aug26,control
626,agent_assist_aug26,treatment
627,agent_assist_aug26,control
628,agent_assist_aug26,treatment
629,agent_assist_aug26,control
630,agent_assist_aug26,treatment
631,agent_assist_aug26,control
632,agent_assist_aug26,treatment
633,agent_assist_aug26,control
634,agent_assist_aug26,treatment
635,agent_assist_aug26,control
636,agent_assist_aug26,treatment
637,agent_assist_aug26,control
638,agent_assist_aug26,treatment
639,agent_assist_aug26,control
640,agent_assist_aug26,treatment
641,agent_assist_aug26,control
642,agent_assist_aug26,treatment
643,agent_assist_aug26,control
644,agent_assist_aug26,treatment
645,agent_assist_aug26,control
646,agent_assist_aug26,treatment
647,agent_assist_aug26,control
648,agent_assist_aug26,treatment
649,agent_assist_aug26,control
650,agent_assist_aug26,treatment
651,agent_assist_aug26,control
652,agent_assist_aug26,treatment
653,agent_assist_aug26,control
654,agent_assist_aug26,treatment
655,agent_assist_aug26,control
656,agent_assist_aug26,treatment
657,agent_assist_aug26,control
658,agent_assist_aug26,treatment
659,agent_assist_aug26,control
660,agent_assist_aug26,treatment
661,agent_assist_aug26,control
662,agent_assist_aug26,treatment
663,agent_assist_aug26,control
664,agent_assist_aug26,treatment
665,agent_assist_aug26,control
666,agent_assist_aug26,treatment
667,agent_assist_aug26,control
668,agent_assist_aug26,treatment
669,agent_assist_aug26,control
670,agent_assist_aug26,treatment
671,agent_assist_aug26,control
672,agent_assist_aug26,treatment
673,agent_assist_aug26,control
674,agent_assist_aug26,treatment
675,agent_assist_aug26,control
676,agent_assist_aug26,treatment
677,agent_assist_aug26,control
678,agent_assist_aug26,treatment
679,agent_assist_aug26,control
680,agent_assist_aug26,treatment
681,agent_assist_aug26,control
682,agent_assist_aug26,treatment
683,agent_assist_aug26,control
684,agent_assist_aug26,treatment
685,agent_assist_aug26,control
686,agent_assist_aug26,treatment
687,agent_assist_aug26,control
688,agent_assist_aug26,treatment
689,agent_assist_aug26,control
690,agent_assist_aug26,treatment
691,agent_assist_aug26,control
692,agent_assist_aug26,treatment
693,agent_assist_aug26,control
694,agent_assist_aug26,treatment
695,agent_assist_aug26,control
696,agent_assist_aug26,treatment
697,agent_assist_aug26,control
698,agent_assist_aug26,treatment
699,agent_assist_aug26,control
700,agent_assist_aug26,treatment
701,agent_assist_aug26,control
702,agent_assist_aug26,treatment
703,agent_assist_aug26,control
704,agent_assist_aug26,treatment
705,agent_assist_aug26,control
706,agent_assist_aug26,treatment
707,agent_assist_aug26,control
708,agent_assist_aug26,treatment
709,agent_assist_aug26,control
710,agent_assist_aug26,treatment
711,agent_assist_aug26,control
712,agent_assist_aug26,treatment
713,agent_assist_aug26,control
714,agent_assist_aug26,treatment
715,agent_assist_aug26,control
716,agent_assist_aug26,treatment
717,agent_assist_aug26,control
718,agent_assist_aug26,treatment
719,agent_assist_aug26,control
720,agent_assist_aug26,treatment
721,agent_assist_aug26,control
722,agent_assist_aug26,treatment
723,agent_assist_aug26,control
724,agent_assist_aug26,treatment
725,agent_assist_aug26,control
726,agent_assist_aug26,treatment
727,agent_assist_aug26,control
728,agent_assist_aug26,treatment
729,agent_assist_aug26,control
730,agent_assist_aug26,treatment
731,agent_assist_aug26,control
732,agent_assist_aug26,treatment
733,agent_assist_aug26,control
734,agent_assist_aug26,treatment
735,agent_assist_aug26,control
736,agent_assist_aug26,treatment
737,agent_assist_aug26,control
738,agent_assist_aug26,treatment
739,agent_assist_aug26,control
740,agent_assist_aug26,treatment
741,agent_assist_aug26,control
742,agent_assist_aug26,treatment
743,agent_assist_aug26,control
744,agent_assist_aug26,treatment
745,agent_assist_aug26,control
746,agent_assist_aug26,treatment
747,agent_assist_aug26,control
748,agent_assist_aug26,treatment
749,agent_assist_aug26,control
750,agent_assist_aug26,treatment
751,agent_assist_aug26,control
752,agent_assist_aug26,treatment
753,agent_assist_aug26,control
754,agent_assist_aug26,treatment
755,agent_assist_aug26,control
756,agent_assist_aug26,treatment
757,agent_assist_aug26,control
758,agent_assist_aug26,treatment
759,agent_assist_aug26,control
760,agent_assist_aug26,treatment
761,agent_assist_aug26,control
762,agent_assist_aug26,treatment
763,agent_assist_aug26,control
764,agent_assist_aug26,treatment
765,agent_assist_aug26,control
766,agent_assist_aug26,treatment
767,agent_assist_aug26,control
768,agent_assist_aug26,treatment
769,agent_assist_aug26,control
770,agent_assist_aug26,treatment
771,agent_assist_aug26,control
772,agent_assist_aug26,treatment
773,agent_assist_aug26,control
774,agent_assist_aug26,treatment
775,agent_assist_aug26,control
776,agent_assist_aug26,treatment
777,agent_assist_aug26,control
778,agent_assist_aug26,treatment
779,agent_assist_aug26,control
780,agent_assist_aug26,treatment
781,agent_assist_aug26,control
782,agent_assist_aug26,treatment
783,agent_assist_aug26,control
784,agent_assist_aug26,treatment
785,agent_assist_aug26,control
786,agent_assist_aug26,treatment
787,agent_assist_aug26,control
788,agent_assist_aug26,treatment
789,agent_assist_aug26,control
790,agent_assist_aug26,treatment
791,agent_assist_aug26,control
792,agent_assist_aug26,treatment
793,agent_assist_aug26,control
794,agent_assist_aug26,treatment
795,agent_assist_aug26,control
796,agent_assist_aug26,treatment
797,agent_assist_aug26,control
798,agent_assist_aug26,treatment
799,agent_assist_aug26,control
800,agent_assist_aug26,treatment
801,agent_assist_aug26,control
802,agent_assist_aug26,treatment
803,agent_assist_aug26,control
804,agent_assist_aug26,treatment
805,agent_assist_aug26,control
806,agent_assist_aug26,treatment
807,agent_assist_aug26,control
808,agent_assist_aug26,treatment
809,agent_assist_aug26,control
810,agent_assist_aug26,treatment
811,agent_assist_aug26,control
812,agent_assist_aug26,treatment
813,agent_assist_aug26,control
814,agent_assist_aug26,treatment
815,agent_assist_aug26,control
816,agent_assist_aug26,treatment
817,agent_assist_aug26,control
818,agent_assist_aug26,treatment
819,agent_assist_aug26,control
820,agent_assist_aug26,treatment
821,agent_assist_aug26,control
822,agent_assist_aug26,treatment
823,agent_assist_aug26,control
824,agent_assist_aug26,treatment
825,agent_assist_aug26,control
826,agent_assist_aug26,treatment
827,agent_assist_aug26,control
828,agent_assist_aug26,treatment
829,agent_assist_aug26,control
830,agent_assist_aug26,treatment
831,agent_assist_aug26,control
832,agent_assist_aug26,treatment
833,agent_assist_aug26,control
834,agent_assist_aug26,treatment
835,agent_assist_aug26,control
836,agent_assist_aug26,treatment
837,agent_assist_aug26,control
838,agent_assist_aug26,treatment
839,agent_assist_aug26,control
840,agent_assist_aug26,treatment
841,agent_assist_aug26,control
842,agent_assist_aug26,treatment
843,agent_assist_aug26,control
844,agent_assist_aug26,treatment
845,agent_assist_aug26,control
846,agent_assist_aug26,treatment
847,agent_assist_aug26,control
848,agent_assist_aug26,treatment
849,agent_assist_aug26,control
850,agent_assist_aug26,treatment
851,agent_assist_aug26,control
852,agent_assist_aug26,treatment
853,agent_assist_aug26,control
854,agent_assist_aug26,treatment
855,agent_assist_aug26,control
856,agent_assist_aug26,treatment
857,agent_assist_aug26,control
858,agent_assist_aug26,treatment
859,agent_assist_aug26,control
860,agent_assist_aug26,treatment
861,agent_assist_aug26,control
862,agent_assist_aug26,treatment
863,agent_assist_aug26,control
864,agent_assist_aug26,treatment
865,agent_assist_aug26,control
866,agent_assist_aug26,treatment
867,agent_assist_aug26,control
868,agent_assist_aug26,treatment
869,agent_assist_aug26,control
870,agent_assist_aug26,treatment
871,agent_assist_aug26,control
872,agent_assist_aug26,treatment
873,agent_assist_aug26,control
874,agent_assist_aug26,treatment
875,agent_assist_aug26,control
876,agent_assist_aug26,treatment
877,agent_assist_aug26,control
878,agent_assist_aug26,treatment
879,agent_assist_aug26,control
880,agent_assist_aug26,treatment
881,agent_assist_aug26,control
882,agent_assist_aug26,treatment
883,agent_assist_aug26,control
884,agent_assist_aug26,treatment
885,agent_assist_aug26,control
886,agent_assist_aug26,treatment
887,agent_assist_aug26,control
888,agent_assist_aug26,treatment
889,agent_assist_aug26,control
890,agent_assist_aug26,treatment
891,agent_assist_aug26,control
892,agent_assist_aug26,treatment
893,agent_assist_aug26,control
894,agent_assist_aug26,treatment
895,agent_assist_aug26,control
896,agent_assist_aug26,treatment
897,agent_assist_aug26,control
898,agent_assist_aug26,treatment
899,agent_assist_aug26,control
900,agent_assist_aug26,treatment
901,agent_assist_aug26,control
902,agent_assist_aug26,treatment
903,agent_assist_aug26,control
904,agent_assist_aug26,treatment
905,agent_assist_aug26,control
906,agent_assist_aug26,treatment
907,agent_assist_aug26,control
908,agent_assist_aug26,treatment
909,agent_assist_aug26,control
910,agent_assist_aug26,treatment
911,agent_assist_aug26,control
912,agent_assist_aug26,treatment
913,agent_assist_aug26,control
914,agent_assist_aug26,treatment
915,agent_assist_aug26,control
916,agent_assist_aug26,treatment
917,agent_assist_aug26,control
918,agent_assist_aug26,treatment
919,agent_assist_aug26,control
920,agent_assist_aug26,treatment
921,agent_assist_aug26,control
922,agent_assist_aug26,treatment
923,agent_assist_aug26,control
924,agent_assist_aug26,treatment
925,agent_assist_aug26,control
926,agent_assist_aug26,treatment
927,agent_assist_aug26,control
928,agent_assist_aug26,treatment
929,agent_assist_aug26,control
930,agent_assist_aug26,treatment
931,agent_assist_aug26,control
