user_id,country,plan_type,signup_date,age_group,is_active
87,US,"Channel Bundle",2025-02-21,55+,1
88,US,Standard,2025-10-04,55+,1
89,DE,Standard,2025-09-28,25-34,1
90,US,Student,2025-11-28,35-44,1
91,IN,Standard,2025-09-23,35-44,1
92,DE,Standard,2025-09-17,25-34,1
93,CA,Standard,2025-12-07,35-44,1
94,IN,Standard,2024-12-30,25-34,1
95,US,Standard,2026-02-15,45-54,1
96,US,Standard,2025-04-03,55+,1
97,US,Standard,2025-05-10,25-34,1
98,IN,"Channel Bundle",2026-04-29,18-24,1
99,US,"Channel Bundle",2026-01-09,55+,1
100,US,Student,2025-07-20,45-54,1
101,DE,"Channel Bundle",2025-09-06,55+,1
102,IN,Standard,2025-04-10,55+,1
103,GB,"Channel Bundle",2025-01-22,45-54,1
104,US,Standard,2025-04-12,55+,1
105,US,Standard,2025-12-30,35-44,1
106,US,Standard,2025-11-11,25-34,1
107,DE,Standard,2025-10-17,18-24,1
108,GB,Standard,2025-11-13,25-34,1
109,IN,Standard,2025-10-14,18-24,1
110,GB,Standard,2025-04-05,35-44,1
111,IN,"Channel Bundle",2025-10-14,45-54,1
112,GB,Standard,2025-04-20,25-34,1
113,US,Standard,2025-12-13,35-44,1
114,US,Standard,2025-03-19,45-54,1
115,GB,"Channel Bundle",2025-06-17,55+,1
116,US,Standard,2026-04-18,45-54,1
117,US,Standard,2025-12-19,35-44,1
118,US,Student,2025-02-05,45-54,1
119,CA,Standard,2026-03-21,18-24,1
120,US,Standard,2025-11-03,18-24,1
121,US,Student,2024-12-31,55+,1
122,CA,Standard,2026-02-26,25-34,1
123,IN,Standard,2025-12-21,55+,1
124,US,Student,2025-04-29,35-44,1
125,IN,Standard,2026-04-18,45-54,1
126,US,Standard,2025-04-30,25-34,1
127,US,Standard,2025-04-01,18-24,1
128,IN,Standard,2025-07-16,45-54,1
129,CA,Standard,2026-03-27,45-54,1
130,US,Standard,2026-03-08,45-54,1
131,US,Standard,2025-09-21,35-44,1
132,GB,Standard,2025-01-16,45-54,1
133,US,"Channel Bundle",2025-07-02,18-24,1
134,US,Standard,2025-09-13,55+,1
135,US,"Channel Bundle",2025-11-10,25-34,1
136,IN,Standard,2025-11-01,55+,1
137,GB,Standard,2025-12-11,25-34,1
138,US,Standard,2025-04-28,25-34,1
139,DE,Standard,2025-06-05,18-24,1
140,US,Standard,2026-01-08,55+,1
141,GB,Standard,2025-07-22,55+,1
142,CA,Standard,2025-05-07,25-34,1
143,US,Standard,2026-01-23,25-34,1
144,CA,Standard,2025-04-18,55+,1
145,IN,Standard,2026-03-11,35-44,1
146,DE,Standard,2026-04-24,18-24,1
147,US,"Channel Bundle",2025-07-22,45-54,1
148,GB,Standard,2026-04-25,45-54,1
149,US,"Channel Bundle",2024-12-23,45-54,1
150,US,Standard,2026-03-29,18-24,1
151,GB,Standard,2025-03-12,25-34,1
152,US,Standard,2025-04-05,55+,1
153,US,"Channel Bundle",2025-08-07,35-44,1
154,US,Standard,2025-09-24,55+,1
155,IN,Standard,2026-03-12,25-34,1
156,US,Standard,2026-03-21,18-24,1
157,CA,Standard,2025-10-04,35-44,0
158,DE,Standard,2025-12-05,45-54,0
159,IN,Student,2026-01-02,55+,1
160,US,Standard,2025-01-08,25-34,1
161,US,Standard,2025-01-21,18-24,1
162,GB,Student,2025-11-25,35-44,1
163,DE,Standard,2025-09-04,35-44,1
164,US,Standard,2025-08-22,45-54,1
165,US,Standard,2025-06-26,55+,1
166,IN,Standard,2026-04-21,35-44,1
167,IN,Standard,2025-04-06,45-54,1
168,IN,Standard,2026-01-29,45-54,1
169,US,Standard,2025-09-03,18-24,1
170,US,Standard,2025-11-14,45-54,1
171,US,Standard,2025-07-24,35-44,1
172,IN,"Channel Bundle",2024-12-21,18-24,1
173,CA,Standard,2025-07-28,55+,1
174,CA,Standard,2025-04-09,18-24,1
175,US,Standard,2025-07-24,45-54,1
176,GB,Student,2024-12-19,25-34,1
177,GB,Standard,2026-04-24,18-24,1
178,GB,Standard,2026-03-02,35-44,1
179,US,Standard,2025-12-13,45-54,1
180,US,Standard,2025-07-23,55+,1
181,US,Standard,2025-02-05,45-54,1
182,CA,Student,2025-03-24,35-44,1
183,GB,"Channel Bundle",2025-02-27,45-54,1
184,GB,Standard,2025-09-15,55+,1
185,CA,Standard,2025-10-20,25-34,1
186,GB,Standard,2025-12-30,45-54,0
187,CA,"Channel Bundle",2025-04-15,45-54,1
188,IN,Standard,2025-05-27,25-34,1
189,US,"Channel Bundle",2026-04-13,35-44,1
190,IN,Standard,2025-02-08,45-54,0
191,US,Standard,2026-02-17,25-34,0
192,IN,Standard,2025-03-27,45-54,1
193,US,Standard,2025-02-19,55+,1
194,GB,"Channel Bundle",2025-11-20,45-54,1
195,GB,Standard,2026-04-13,35-44,1
196,US,"Channel Bundle",2025-04-14,18-24,1
197,US,Standard,2025-05-11,35-44,1
198,US,Standard,2025-12-02,25-34,1
199,DE,Standard,2025-07-16,25-34,0
200,US,Standard,2025-02-10,45-54,1
201,US,Standard,2026-02-17,45-54,1
202,IN,Standard,2026-04-27,35-44,1
203,US,"Channel Bundle",2026-02-10,55+,1
204,US,Standard,2024-12-25,35-44,1
205,IN,Standard,2025-10-17,45-54,1
206,US,Standard,2025-07-11,18-24,1
207,US,Standard,2025-05-29,18-24,1
208,CA,"Channel Bundle",2025-04-15,35-44,1
209,GB,Standard,2026-01-04,25-34,1
210,IN,Student,2025-05-19,25-34,1
211,GB,Standard,2025-01-24,45-54,0
212,DE,Standard,2025-10-27,35-44,1
213,US,Standard,2025-10-01,55+,1
214,GB,"Channel Bundle",2025-10-26,25-34,1
215,IN,"Channel Bundle",2025-03-05,35-44,1
216,IN,Standard,2025-11-09,18-24,1
217,US,Standard,2024-12-23,45-54,1
218,GB,Standard,2025-03-16,45-54,0
219,US,Standard,2025-07-31,35-44,1
220,GB,Standard,2025-03-06,25-34,1
221,IN,Standard,2025-06-18,55+,1
222,GB,Standard,2026-03-30,35-44,1
223,US,"Channel Bundle",2026-03-03,35-44,1
224,US,"Channel Bundle",2026-03-03,25-34,1
225,DE,Standard,2025-10-24,55+,1
226,DE,"Channel Bundle",2025-04-16,18-24,1
227,US,"Channel Bundle",2025-06-20,18-24,1
228,US,"Channel Bundle",2026-01-10,35-44,1
229,US,"Channel Bundle",2025-05-15,35-44,0
230,US,Standard,2025-12-11,45-54,1
231,GB,Standard,2026-01-13,18-24,0
232,US,Standard,2025-11-12,55+,1
233,IN,Standard,2025-03-03,25-34,1
234,US,Standard,2026-01-02,55+,0
235,IN,"Channel Bundle",2025-02-16,55+,1
236,US,"Channel Bundle",2026-02-01,25-34,0
237,IN,Standard,2025-03-23,18-24,1
238,US,Standard,2026-04-05,18-24,1
239,US,Standard,2025-08-31,55+,1
240,US,Standard,2025-08-17,55+,1
241,IN,Standard,2025-06-06,45-54,1
242,DE,Standard,2025-09-25,45-54,0
243,US,Standard,2026-03-21,25-34,1
244,GB,Standard,2025-06-11,45-54,1
245,US,Standard,2025-08-03,45-54,1
246,US,Standard,2025-05-07,55+,1
247,US,"Channel Bundle",2026-01-11,45-54,1
248,US,Standard,2025-09-11,35-44,1
249,US,"Channel Bundle",2025-05-26,45-54,0
250,US,Standard,2025-03-02,35-44,1
251,US,"Channel Bundle",2025-07-21,55+,1
252,US,"Channel Bundle",2026-02-28,45-54,1
253,US,Standard,2025-04-27,35-44,1
254,CA,Standard,2025-07-10,45-54,1
255,US,Standard,2026-03-07,18-24,1
256,US,Standard,2025-07-12,55+,1
257,GB,Standard,2025-03-08,55+,0
258,DE,Standard,2025-01-11,18-24,1
259,IN,"Channel Bundle",2025-05-07,35-44,0
260,US,Standard,2025-02-10,18-24,1
261,IN,Standard,2025-06-11,55+,1
262,CA,Standard,2025-09-29,35-44,1
263,IN,Standard,2025-03-30,18-24,1
264,GB,Standard,2025-04-10,35-44,1
265,CA,Standard,2025-09-26,35-44,1
266,US,Standard,2025-08-12,35-44,1
267,CA,Standard,2025-07-02,18-24,1
268,US,Standard,2025-06-29,25-34,1
269,US,Standard,2025-04-05,18-24,1
270,US,Standard,2025-09-23,25-34,1
271,DE,Standard,2025-03-01,45-54,1
272,US,Standard,2026-04-10,18-24,1
273,US,Standard,2025-07-11,45-54,1
274,US,Standard,2025-10-06,55+,1
275,IN,Standard,2025-05-13,18-24,1
276,US,Standard,2025-07-04,35-44,1
277,US,Standard,2026-01-08,55+,1
278,CA,"Channel Bundle",2025-08-03,35-44,1
279,IN,Student,2024-12-27,25-34,1
280,US,Standard,2025-12-21,18-24,1
281,GB,Standard,2025-04-01,55+,1
282,DE,"Channel Bundle",2025-09-14,55+,1
283,GB,Standard,2024-12-20,18-24,1
284,US,Standard,2025-06-12,18-24,1
285,US,Standard,2026-03-25,18-24,1
286,US,"Channel Bundle",2025-12-06,18-24,1
287,US,Standard,2025-08-15,18-24,1
288,GB,Standard,2025-03-13,55+,1
289,IN,Standard,2026-02-13,35-44,1
290,CA,Standard,2026-03-19,25-34,1
291,CA,Standard,2025-09-19,35-44,1
292,US,Student,2025-12-08,55+,0
293,GB,Standard,2025-06-12,18-24,1
294,US,Standard,2025-10-16,55+,1
295,US,Standard,2025-11-12,35-44,1
296,DE,Standard,2025-05-31,55+,1
297,US,Standard,2026-03-19,35-44,1
298,DE,"Channel Bundle",2025-05-23,55+,1
299,US,Standard,2025-05-23,35-44,1
300,US,"Channel Bundle",2024-12-31,45-54,1
301,US,Standard,2026-02-20,18-24,1
302,IN,"Channel Bundle",2025-07-29,18-24,1
303,IN,Standard,2025-02-07,45-54,1
304,IN,Student,2026-01-29,25-34,1
305,US,Standard,2026-04-09,25-34,1
306,US,Standard,2025-06-23,45-54,1
307,US,Student,2025-12-30,45-54,1
308,US,"Channel Bundle",2026-01-22,45-54,1
309,IN,Standard,2025-12-08,45-54,1
310,US,Standard,2025-03-09,35-44,0
311,IN,Standard,2025-08-28,18-24,1
312,IN,Standard,2025-08-10,25-34,1
313,CA,Student,2025-01-23,18-24,1
314,IN,"Channel Bundle",2026-01-08,18-24,1
315,CA,Standard,2025-10-11,18-24,1
316,US,Standard,2026-04-17,35-44,1
317,US,"Channel Bundle",2026-02-20,45-54,1
318,IN,Standard,2026-02-19,55+,0
319,US,Standard,2026-03-22,25-34,1
320,GB,Standard,2025-04-24,35-44,1
321,US,Standard,2026-02-28,55+,1
322,IN,Standard,2026-03-06,55+,0
323,GB,Standard,2025-08-11,35-44,1
324,US,Standard,2025-06-21,25-34,1
325,CA,Standard,2026-03-19,55+,1
326,IN,Standard,2025-03-25,45-54,1
327,GB,"Channel Bundle",2026-04-09,35-44,1
328,IN,Standard,2025-10-31,18-24,1
329,IN,Standard,2025-04-20,35-44,1
330,GB,Student,2025-03-11,45-54,1
331,GB,Student,2025-08-29,18-24,1
332,CA,Standard,2025-01-03,18-24,1
333,US,"Channel Bundle",2025-02-02,55+,1
334,GB,Standard,2025-03-10,25-34,1
335,IN,"Channel Bundle",2025-02-14,35-44,1
336,US,"Channel Bundle",2025-03-18,45-54,1
337,US,Standard,2025-10-16,45-54,1
338,CA,Student,2025-03-19,45-54,0
339,IN,Standard,2025-06-27,35-44,1
340,US,Standard,2026-03-22,45-54,1
341,US,Standard,2025-09-25,45-54,0
342,IN,Standard,2025-02-10,45-54,1
343,IN,Standard,2025-03-22,45-54,1
344,DE,Standard,2025-03-17,18-24,1
345,DE,Standard,2025-06-24,25-34,0
346,GB,Standard,2025-03-29,55+,0
347,DE,"Channel Bundle",2026-02-12,35-44,1
348,GB,Standard,2026-03-23,45-54,1
349,US,Standard,2025-12-10,25-34,1
350,IN,Standard,2025-10-15,35-44,1
351,IN,Standard,2026-01-12,45-54,1
352,IN,Standard,2026-02-21,45-54,1
353,DE,Student,2025-03-13,35-44,1
354,US,Standard,2025-05-03,35-44,1
355,DE,Standard,2025-05-02,25-34,1
356,US,"Channel Bundle",2025-08-14,25-34,1
357,US,Standard,2025-08-22,35-44,1
358,US,"Channel Bundle",2025-07-23,18-24,1
359,DE,Standard,2025-04-29,45-54,1
360,US,Standard,2026-03-25,18-24,1
361,CA,Standard,2025-05-18,55+,1
362,IN,Standard,2026-01-28,55+,1
363,IN,Standard,2026-04-03,35-44,1
364,IN,Standard,2025-11-17,55+,1
365,US,Standard,2025-02-22,55+,1
366,US,Standard,2025-06-15,55+,1
367,IN,Standard,2025-07-02,55+,1
368,US,"Channel Bundle",2025-06-26,18-24,1
369,US,"Channel Bundle",2026-04-17,55+,1
370,IN,Standard,2026-01-14,18-24,1
371,GB,Standard,2025-06-14,35-44,1
372,IN,Standard,2025-03-15,45-54,0
373,US,Standard,2026-04-01,45-54,1
374,US,"Channel Bundle",2025-06-25,35-44,1
375,US,Standard,2025-02-15,35-44,1
376,US,Standard,2026-03-08,35-44,1
377,US,Standard,2026-02-18,45-54,1
378,US,"Channel Bundle",2025-09-29,25-34,1
379,GB,Standard,2025-01-08,25-34,1
380,CA,"Channel Bundle",2025-08-11,45-54,0
381,US,Standard,2025-01-03,25-34,1
382,US,Standard,2025-11-02,55+,1
383,DE,Standard,2025-06-01,18-24,1
384,US,Standard,2025-09-23,35-44,1
385,US,Standard,2025-10-26,55+,1
386,US,Standard,2025-07-22,45-54,1
387,IN,Standard,2025-12-09,55+,1
388,US,Standard,2024-12-18,35-44,1
389,IN,Standard,2025-10-26,55+,1
390,US,Standard,2026-04-11,35-44,1
391,CA,Standard,2025-08-09,55+,1
392,GB,Standard,2025-01-10,55+,1
393,GB,Standard,2025-11-29,55+,1
394,GB,Standard,2025-05-04,18-24,1
395,US,Standard,2025-05-22,35-44,1
396,IN,Standard,2025-04-25,55+,1
397,DE,"Channel Bundle",2024-12-22,55+,1
398,US,Standard,2025-04-27,55+,1
399,IN,Standard,2025-06-18,25-34,0
400,DE,Standard,2025-01-01,45-54,1
401,US,Standard,2026-02-13,55+,1
402,CA,Student,2025-01-15,18-24,1
403,US,Standard,2025-08-09,45-54,1
404,IN,Standard,2025-11-22,55+,1
405,DE,"Channel Bundle",2025-11-01,35-44,1
406,IN,Standard,2026-01-23,35-44,1
407,IN,Student,2024-12-19,25-34,1
408,US,Standard,2025-08-24,35-44,1
409,DE,Standard,2025-07-12,45-54,1
410,IN,Standard,2024-12-29,18-24,1
411,US,"Channel Bundle",2025-05-01,35-44,1
412,US,Standard,2026-01-12,55+,1
413,US,Standard,2026-02-20,25-34,1
414,IN,Standard,2025-05-24,25-34,0
415,US,Standard,2025-10-02,25-34,0
416,IN,Standard,2025-07-24,45-54,1
417,IN,Standard,2026-01-19,35-44,1
418,IN,Standard,2025-01-22,25-34,1
419,IN,Standard,2025-04-26,25-34,1
420,US,"Channel Bundle",2025-02-27,45-54,1
421,IN,"Channel Bundle",2026-01-26,35-44,1
422,US,Standard,2026-04-27,35-44,1
423,GB,Standard,2025-06-07,25-34,1
424,US,Student,2025-09-04,35-44,1
425,GB,Standard,2025-09-09,18-24,1
426,US,Standard,2025-03-23,25-34,1
427,GB,Standard,2025-02-17,45-54,1
428,US,Standard,2026-03-18,25-34,1
429,US,Standard,2025-01-07,25-34,1
430,IN,Standard,2025-12-16,55+,0
431,US,Standard,2025-06-01,18-24,1
432,US,Standard,2026-02-09,35-44,1
433,IN,Standard,2025-06-08,55+,1
434,US,Standard,2024-12-27,55+,1
435,GB,Standard,2025-05-07,55+,1
436,US,Standard,2025-03-05,55+,1
437,CA,Standard,2026-03-21,35-44,0
438,US,Student,2025-07-17,55+,1
439,US,Standard,2025-07-31,55+,1
440,US,Standard,2025-05-18,18-24,1
441,IN,Standard,2025-09-15,55+,1
442,US,Standard,2025-07-17,35-44,1
443,US,Standard,2025-10-11,25-34,1
444,US,Standard,2026-04-08,55+,1
445,IN,"Channel Bundle",2025-01-08,45-54,0
446,US,Standard,2025-10-04,45-54,1
447,US,"Channel Bundle",2025-01-30,45-54,1
448,IN,"Channel Bundle",2025-05-17,25-34,1
449,US,"Channel Bundle",2025-11-04,45-54,1
450,IN,Student,2025-04-24,18-24,1
451,DE,Standard,2025-09-06,55+,1
452,US,Standard,2026-01-04,35-44,1
453,DE,Standard,2025-02-07,45-54,1
454,IN,Standard,2025-01-07,25-34,0
455,US,Standard,2025-07-01,18-24,1
456,US,Standard,2026-04-09,25-34,1
457,US,Standard,2025-03-30,35-44,1
458,DE,Standard,2025-01-17,55+,1
459,US,Standard,2025-03-08,25-34,1
460,US,Standard,2025-08-08,18-24,1
461,IN,"Channel Bundle",2025-07-03,45-54,1
462,IN,"Channel Bundle",2026-04-07,45-54,1
463,DE,Standard,2025-11-19,35-44,1
464,GB,Standard,2025-04-10,25-34,1
465,US,Standard,2025-05-04,18-24,1
466,US,Standard,2024-12-22,45-54,1
467,US,Standard,2026-01-17,45-54,1
468,GB,Student,2026-03-15,18-24,1
469,GB,Standard,2025-05-22,18-24,1
470,GB,Standard,2025-04-07,25-34,1
471,IN,Standard,2025-02-10,18-24,1
472,IN,Standard,2026-01-24,45-54,1
473,GB,Standard,2025-05-10,25-34,1
474,US,Standard,2025-03-30,35-44,1
475,CA,Standard,2025-10-29,18-24,1
476,CA,Student,2025-04-27,25-34,1
477,US,"Channel Bundle",2025-10-02,25-34,0
478,IN,Standard,2025-07-22,45-54,1
479,US,Standard,2026-01-21,25-34,1
480,IN,Standard,2025-05-31,45-54,1
481,DE,Standard,2025-06-07,35-44,1
482,GB,Standard,2025-04-28,55+,1
483,US,Standard,2024-12-27,18-24,1
484,US,Standard,2025-05-24,25-34,1
485,US,Standard,2026-01-03,25-34,1
486,US,Standard,2025-10-22,55+,1
487,CA,Standard,2025-05-29,55+,1
488,CA,Standard,2026-04-23,35-44,0
489,DE,Standard,2025-03-11,25-34,1
490,CA,Standard,2026-03-13,55+,1
491,US,Student,2025-03-10,18-24,1
492,CA,Standard,2025-10-06,25-34,1
493,IN,Standard,2025-03-04,18-24,1
494,US,Standard,2025-10-19,18-24,1
495,CA,Standard,2026-03-20,35-44,1
496,IN,"Channel Bundle",2025-02-16,18-24,1
497,IN,"Channel Bundle",2025-01-25,45-54,1
498,US,"Channel Bundle",2025-01-13,55+,1
499,US,"Channel Bundle",2026-04-15,18-24,1
500,US,Student,2025-07-05,45-54,1
501,US,Standard,2025-11-29,45-54,1
502,US,Student,2025-07-29,25-34,1
503,DE,Standard,2025-05-14,35-44,0
504,US,Standard,2025-09-20,55+,1
505,GB,"Channel Bundle",2024-12-29,35-44,0
506,IN,Standard,2025-12-13,25-34,1
507,US,Standard,2025-01-05,55+,1
508,IN,Standard,2026-03-19,25-34,1
509,US,Standard,2026-03-20,25-34,1
510,US,Standard,2025-11-20,35-44,1
511,US,Standard,2025-04-07,25-34,1
512,GB,Standard,2025-07-20,18-24,1
513,US,Standard,2025-07-22,35-44,1
514,US,Standard,2026-04-25,18-24,1
515,IN,"Channel Bundle",2025-07-19,55+,1
516,US,Standard,2025-05-16,35-44,1
517,US,Standard,2026-02-16,45-54,1
518,US,Standard,2025-03-27,25-34,1
519,GB,Standard,2025-08-21,18-24,1
520,IN,Standard,2026-04-28,55+,1
521,US,Standard,2025-02-14,55+,1
522,GB,Standard,2025-11-18,45-54,1
523,US,Standard,2024-12-24,45-54,1
524,US,Standard,2025-03-27,45-54,1
525,GB,Standard,2025-01-09,55+,1
526,GB,"Channel Bundle",2025-04-03,45-54,1
527,US,Standard,2026-01-14,18-24,1
528,IN,Standard,2025-03-20,25-34,1
529,US,Standard,2025-12-29,45-54,1
530,US,Standard,2026-03-25,55+,1
531,IN,"Channel Bundle",2025-08-15,45-54,1
532,IN,Standard,2025-03-23,55+,1
533,US,Student,2025-01-18,35-44,1
534,US,"Channel Bundle",2025-06-22,45-54,1
535,IN,Standard,2025-11-13,18-24,1
536,CA,Standard,2026-01-08,55+,1
537,US,Standard,2026-01-08,55+,1
538,US,Standard,2026-02-13,18-24,1
539,IN,Standard,2025-01-15,25-34,1
540,CA,Standard,2025-11-07,45-54,1
541,US,Standard,2026-03-13,35-44,0
542,IN,Standard,2026-04-09,35-44,1
543,IN,"Channel Bundle",2025-05-20,25-34,1
544,US,Standard,2025-07-23,45-54,1
545,GB,Standard,2025-10-06,45-54,1
546,GB,Standard,2025-04-19,55+,1
547,DE,Standard,2026-04-29,18-24,1
548,IN,Standard,2025-03-18,35-44,1
549,US,"Channel Bundle",2026-03-04,55+,1
550,GB,Standard,2025-11-22,55+,1
551,IN,Standard,2025-11-02,35-44,1
552,US,Standard,2025-07-03,18-24,1
553,US,Standard,2026-03-03,55+,1
554,US,Standard,2025-06-30,25-34,1
555,DE,Standard,2025-07-30,25-34,1
556,US,Standard,2025-08-24,45-54,1
557,US,Standard,2025-02-12,25-34,1
558,IN,Standard,2025-10-17,45-54,1
559,US,Student,2025-08-23,45-54,1
560,US,Student,2025-07-16,35-44,0
561,GB,Standard,2026-01-06,45-54,1
562,IN,Standard,2025-04-01,18-24,1
563,IN,Student,2025-12-15,35-44,1
564,US,Standard,2025-04-09,55+,1
565,US,Student,2025-09-26,25-34,1
566,US,Standard,2026-04-15,18-24,1
567,IN,Standard,2026-03-02,55+,1
568,DE,Standard,2025-02-15,25-34,1
569,US,Standard,2025-03-26,18-24,1
570,US,Standard,2025-08-02,35-44,1
571,US,Standard,2025-12-03,55+,1
572,IN,Standard,2025-05-19,45-54,1
573,IN,Standard,2025-12-11,25-34,1
574,US,Standard,2025-05-02,45-54,1
575,GB,Standard,2025-07-10,45-54,1
576,IN,Student,2025-06-11,45-54,1
577,DE,"Channel Bundle",2025-12-10,45-54,1
578,GB,"Channel Bundle",2025-11-15,18-24,1
579,GB,Standard,2025-09-09,18-24,1
580,US,Standard,2025-10-10,25-34,1
581,IN,Standard,2025-11-17,55+,1
582,CA,Standard,2025-02-19,18-24,0
583,IN,Standard,2025-06-15,18-24,1
584,US,Standard,2026-02-10,45-54,1
585,IN,"Channel Bundle",2025-05-14,35-44,1
586,IN,Standard,2025-01-09,35-44,1
587,DE,Standard,2025-10-23,18-24,1
588,DE,Student,2025-11-26,45-54,1
589,US,Standard,2025-05-06,18-24,1
590,CA,Standard,2026-01-06,18-24,1
591,US,"Channel Bundle",2025-03-09,25-34,1
592,US,Standard,2026-01-04,18-24,1
593,IN,Standard,2025-10-25,25-34,1
594,US,Standard,2025-05-20,18-24,1
595,US,Standard,2026-02-06,25-34,1
596,DE,"Channel Bundle",2025-06-20,18-24,1
597,IN,Standard,2026-02-19,45-54,1
598,US,Standard,2025-09-24,35-44,1
599,GB,Standard,2025-12-25,55+,1
600,DE,Student,2025-01-05,35-44,1
601,CA,Standard,2025-06-25,35-44,1
602,IN,"Channel Bundle",2025-03-26,45-54,1
603,CA,Standard,2025-12-29,55+,1
604,IN,"Channel Bundle",2026-04-25,25-34,1
605,GB,Standard,2025-02-26,25-34,1
606,IN,Standard,2024-12-29,55+,0
607,US,"Channel Bundle",2025-12-18,45-54,1
608,DE,Student,2025-06-14,45-54,1
609,GB,Standard,2026-03-20,25-34,1
610,US,"Channel Bundle",2025-11-24,25-34,1
611,GB,Student,2025-10-13,18-24,1
612,DE,Student,2025-09-20,18-24,1
613,US,Standard,2025-01-13,55+,0
614,DE,Standard,2025-05-25,18-24,0
615,DE,Standard,2026-02-20,35-44,1
616,IN,Standard,2025-03-27,35-44,1
617,IN,Standard,2025-03-28,18-24,1
618,US,Standard,2026-04-16,55+,0
619,IN,Standard,2025-05-02,45-54,1
620,US,"Channel Bundle",2025-10-29,25-34,1
621,IN,"Channel Bundle",2025-12-22,18-24,1
622,US,"Channel Bundle",2025-08-14,18-24,1
623,US,"Channel Bundle",2025-09-02,25-34,1
624,US,Student,2025-02-16,45-54,1
625,US,Standard,2025-12-25,35-44,1
626,US,Standard,2025-07-13,18-24,1
627,CA,Standard,2025-03-16,45-54,0
628,IN,Student,2025-09-05,35-44,1
629,CA,Standard,2025-07-22,35-44,1
630,DE,Standard,2025-11-27,35-44,1
