response_id,session_id,turn_number,model_version,created_at,latency_ms,is_safe,predicted_helpfulness,language,cost_usd
78,1461,4,v1,2026-07-28T04:26,2058,1,0.687,es,0.0674
79,886,8,v2,2026-05-04T07:44,388,1,0.772,es,0.0239
80,1593,1,v3,2026-04-04T05:53,1060,1,0.622,en,0.0576
81,1168,4,v3,2026-02-19T22:49,805,1,0.798,de,0.0051
82,479,3,v2,2026-05-17T11:52,1608,1,0.636,ja,0.0503
83,680,1,v2,2026-03-24T23:13,1203,1,0.504,en,0.0561
84,642,4,v3,2026-07-01T23:05,390,1,0.831,es,0.0604
85,559,11,v1,2026-06-04T03:37,1161,1,0.766,es,0.0194
86,343,3,v3,2026-02-26T14:42,1378,1,0.849,fr,0.0185
87,1567,8,v1,2026-06-23T09:39,1892,1,0.972,es,0.0055
88,53,1,v3,2026-02-20T23:16,1983,1,0.611,he,0.022
89,1781,10,v3,2026-05-17T16:25,938,0,0.488,en,0.07
90,883,11,v1,2026-04-25T18:01,1468,1,0.709,en,0.0205
91,841,5,v1,2026-05-16T21:53,1324,1,0.634,en,0.0721
92,958,9,v3,2026-07-09T20:43,888,1,1.0,fr,0.0069
93,1752,10,v3,2026-03-03T14:22,970,1,0.754,en,0.0403
94,1494,11,v1,2026-02-06T07:05,1585,1,0.843,es,0.0172
95,321,2,v2,2026-05-07T18:38,1199,1,0.478,de,0.043
96,597,11,v2,2026-07-25T15:40,703,1,0.783,en,0.0577
97,608,1,v1,2026-07-14T15:03,1622,1,0.711,fr,0.0617
98,1331,8,v2,2026-06-14T03:54,992,0,0.769,ja,0.0038
99,1405,4,v2,2026-03-25T07:26,983,1,0.87,es,0.0264
100,10,9,v2,2026-06-05T12:22,1250,1,0.499,de,0.0192
101,236,7,v3,2026-07-09T07:03,1188,1,0.876,en,0.0495
102,1446,9,v3,2026-05-20T15:34,324,1,0.771,he,0.0748
103,1357,8,v1,2026-04-03T12:23,1189,1,0.493,en,0.0419
104,571,1,v2,2026-03-15T13:21,1121,1,0.457,en,0.0627
105,348,11,v2,2026-04-28T17:22,987,1,0.597,en,0.0549
106,1168,6,v1,2026-02-19T22:49,791,1,0.74,de,0.0073
107,1119,1,v3,2026-07-18T15:27,1239,1,0.763,en,0.0537
108,1134,11,v3,2026-02-24T01:54,1281,1,0.862,ja,0.0445
109,1209,7,v3,2026-06-08T23:59,827,1,0.881,en,0.0203
110,1202,5,v2,2026-03-25T07:48,958,1,0.642,en,0.0311
111,1172,12,v3,2026-01-21T02:52,2342,1,0.758,es,0.0584
112,1390,11,v1,2026-01-30T22:13,1055,0,0.482,es,0.0324
113,926,3,v3,2026-01-11T08:56,928,1,0.798,es,0.0346
114,36,8,v3,2026-07-08T10:51,990,1,0.899,de,0.0738
115,1248,2,v3,2026-03-18T19:32,1110,1,0.611,ja,0.0381
116,1494,3,v2,2026-02-06T07:05,180,1,0.657,es,0.0175
117,408,1,v3,2026-07-06T05:40,1757,1,0.676,en,0.0566
118,71,8,v3,2026-05-10T03:42,1291,1,0.939,en,0.0355
119,886,6,v1,2026-05-04T07:44,1345,1,0.686,es,0.0041
120,77,7,v2,2026-05-17T20:39,1467,1,0.712,es,0.0581
121,1588,1,v3,2026-05-12T01:56,1719,1,0.77,ja,0.0599
122,624,10,v2,2026-02-28T09:45,1492,1,0.766,en,0.0184
123,1347,6,v3,2026-03-25T20:20,902,1,0.386,fr,0.0643
124,520,4,v2,2026-04-01T08:08,1153,1,0.975,fr,0.0779
125,843,11,v1,2026-05-22T15:26,1572,1,0.89,fr,0.0206
126,704,10,v2,2026-04-11T10:41,928,1,0.923,en,0.0296
127,1326,8,v3,2026-03-30T17:49,1286,1,0.83,es,0.0557
128,1474,3,v1,2026-04-17T15:43,1214,1,0.663,de,0.0118
129,1651,7,v1,2026-03-14T15:50,1372,1,0.89,en,0.0594
130,790,4,v3,2026-04-26T01:12,1021,1,0.515,ja,0.0779
131,4,3,v2,2026-05-07T02:46,1362,1,0.536,es,0.0425
132,505,10,v1,2026-01-21T11:01,1483,1,0.577,en,0.0496
133,1216,10,v2,2026-07-20T01:01,1051,1,0.63,de,0.0187
134,1552,6,v1,2026-07-21T05:50,804,1,0.53,de,0.0792
135,314,1,v2,2026-01-06T18:50,2112,1,0.615,de,0.0622
136,487,9,v1,2026-03-14T08:05,1776,1,0.726,ja,0.0708
137,191,10,v2,2026-07-17T20:13,936,1,0.674,ja,0.0594
138,200,12,v1,2026-01-16T04:55,1521,1,0.596,he,0.0599
139,449,5,v3,2026-02-06T00:58,1196,1,0.841,he,0.0744
140,484,7,v3,2026-03-22T05:32,1211,1,1.0,ja,0.071
141,770,3,v3,2026-06-12T14:29,1404,1,0.764,en,0.0502
142,826,1,v2,2026-01-01T18:15,1260,1,0.637,fr,0.0096
143,1482,4,v1,2026-02-18T07:17,1284,1,0.692,de,0.0706
144,1353,9,v2,2026-07-01T18:36,1139,1,0.684,fr,0.0081
145,195,10,v3,2026-01-24T23:56,487,1,0.924,ja,0.0428
146,1509,10,v2,2026-04-21T20:29,770,1,0.469,es,0.0689
147,358,2,v1,2026-06-22T23:57,843,1,0.772,de,0.0112
148,594,6,v3,2026-01-06T17:25,1970,1,0.483,en,0.0202
149,553,5,v1,2026-07-12T14:50,1173,1,0.62,en,0.0541
150,144,2,v1,2026-04-06T01:40,1137,1,0.598,he,0.0498
151,493,2,v2,2026-01-27T19:39,1480,1,0.816,he,0.007
152,245,3,v2,2026-03-17T09:52,687,0,0.241,es,0.0186
153,1174,5,v2,2026-06-20T00:50,1711,1,0.801,es,0.0433
154,211,3,v1,2026-01-14T06:42,1711,1,0.554,he,0.0119
155,387,8,v3,2026-01-26T13:27,1113,1,0.548,en,0.0652
156,1581,3,v1,2026-07-19T18:09,1266,1,0.798,fr,0.053
157,1384,9,v2,2026-03-26T11:51,1494,1,0.408,en,0.0309
158,1000,7,v3,2026-05-10T03:49,1522,1,0.844,en,0.0053
159,557,8,v1,2026-06-04T11:43,1142,1,0.711,he,0.0624
160,389,9,v3,2026-04-09T10:10,1172,1,1.0,en,0.0312
161,224,11,v2,2026-01-27T11:38,1595,1,0.677,ja,0.0742
162,891,6,v1,2026-06-10T01:56,1604,1,0.816,ja,0.0679
163,451,5,v2,2026-03-19T06:53,1346,1,0.843,en,0.0294
164,1325,7,v3,2026-03-05T19:18,953,1,0.365,en,0.0726
165,1030,5,v3,2026-04-10T18:14,1380,1,0.906,de,0.0228
166,1254,3,v2,2026-07-15T00:49,1209,0,0.775,es,0.0061
167,1303,6,v2,2026-03-24T18:25,1838,1,0.646,en,0.0737
168,725,1,v1,2026-06-24T08:12,1427,1,0.798,ja,0.0709
169,685,9,v3,2026-03-21T21:00,1443,1,1.0,he,0.007
170,1436,3,v2,2026-06-03T03:55,1127,1,0.643,en,0.0529
171,1143,9,v2,2026-04-07T07:49,1088,1,1.0,de,0.014
172,1668,11,v2,2026-04-24T05:42,1214,1,0.851,fr,0.0498
173,1721,2,v1,2026-03-12T20:21,1524,1,0.785,es,0.0432
174,369,8,v1,2026-04-12T13:54,699,1,0.254,en,0.0078
175,532,12,v2,2026-01-23T15:24,1496,1,0.798,en,0.0066
176,1614,1,v2,2026-01-01T16:49,963,1,1.0,en,0.0425
177,1400,8,v1,2026-07-16T01:11,1800,1,0.803,en,0.0384
178,826,9,v3,2026-01-01T18:15,2340,1,0.827,fr,0.0334
179,1080,2,v3,2026-04-29T18:18,1595,1,0.924,en,0.0712
180,1108,11,v2,2026-03-25T01:10,1126,1,0.326,ja,0.0166
181,259,12,v1,2026-05-06T21:33,1630,1,0.652,es,0.0368
182,1016,9,v1,2026-07-22T15:00,1017,1,0.598,en,0.041
183,1319,6,v1,2026-05-06T02:10,2089,1,0.635,ja,0.0341
184,524,3,v1,2026-03-19T03:15,1199,1,0.751,es,0.0204
185,433,3,v3,2026-01-31T04:18,1180,1,0.672,en,0.0316
186,1551,5,v3,2026-02-12T05:54,1100,1,0.517,en,0.0218
187,750,3,v3,2026-02-12T21:12,452,1,0.813,fr,0.0407
188,478,5,v1,2026-02-28T08:58,1471,1,1.0,en,0.0469
189,1468,3,v1,2026-03-29T08:13,1543,1,0.814,en,0.0456
190,146,1,v3,2026-07-05T03:48,1783,1,0.7,es,0.0668
191,851,12,v3,2026-06-18T19:38,1307,1,1.0,en,0.0539
192,468,3,v2,2026-03-12T22:00,895,1,0.627,en,0.0796
193,1570,8,v3,2026-05-31T09:28,1751,1,0.922,en,0.0629
194,1579,11,v1,2026-02-01T20:33,1635,1,0.871,ja,0.0677
195,1681,4,v1,2026-02-23T14:54,1525,1,0.597,es,0.0651
196,1299,11,v3,2026-04-26T18:48,1255,1,0.641,es,0.0155
197,1655,12,v2,2026-07-04T11:17,969,1,0.82,en,0.0034
198,386,8,v3,2026-05-05T23:42,572,0,0.464,ja,0.0285
199,404,4,v2,2026-03-22T10:06,1236,1,1.0,en,0.0297
200,1171,10,v1,2026-02-04T05:22,1431,1,0.502,de,0.0378
201,1126,1,v1,2026-03-05T00:26,1238,1,0.589,en,0.055
202,460,11,v1,2026-01-23T18:20,1952,1,0.631,fr,0.0511
203,49,3,v2,2026-01-26T03:50,1649,1,0.613,he,0.0315
204,446,2,v2,2026-05-16T15:52,1368,1,0.646,en,0.0674
205,911,1,v2,2026-06-14T16:12,1569,1,0.836,de,0.0243
206,722,11,v2,2026-02-10T17:49,977,1,0.744,he,0.0108
207,1639,9,v3,2026-02-12T22:17,1357,0,0.693,fr,0.0144
208,168,8,v3,2026-04-17T09:07,657,1,0.919,es,0.0684
209,512,8,v2,2026-02-14T15:33,784,1,0.786,en,0.0039
210,855,1,v2,2026-01-25T06:58,1332,1,0.791,ja,0.0354
211,1775,1,v1,2026-06-04T18:18,1827,1,0.253,fr,0.0419
212,342,8,v2,2026-01-03T01:42,423,0,0.512,es,0.0342
213,1776,7,v2,2026-07-20T22:20,1269,1,0.713,en,0.003
214,1242,9,v2,2026-02-03T04:33,1984,1,0.529,fr,0.061
215,481,9,v1,2026-03-28T18:16,1710,1,0.815,en,0.0448
216,657,10,v1,2026-05-10T11:52,1397,1,0.824,en,0.0245
217,962,9,v1,2026-03-23T13:52,1945,1,1.0,de,0.0248
218,1284,6,v3,2026-02-14T11:53,1274,1,0.587,es,0.0669
219,370,1,v1,2026-04-24T15:41,1474,1,0.712,de,0.0694
220,418,7,v2,2026-07-21T05:01,806,1,0.706,en,0.0484
221,66,2,v3,2026-07-16T19:23,1762,1,0.8,en,0.0667
222,1690,7,v2,2026-06-04T05:06,1307,1,0.662,en,0.0606
223,1029,6,v3,2026-03-15T15:17,1476,1,0.947,fr,0.0786
224,836,4,v3,2026-03-29T14:27,1096,1,0.625,de,0.0497
225,629,2,v2,2026-05-03T03:16,1395,1,0.659,de,0.0452
226,1086,10,v1,2026-01-09T09:48,1571,0,0.288,ja,0.078
227,336,3,v3,2026-07-24T17:19,886,1,0.686,fr,0.0045
228,433,4,v2,2026-01-31T04:18,941,1,0.661,en,0.0766
229,1775,7,v1,2026-06-04T18:18,1175,1,0.815,fr,0.0555
230,823,7,v1,2026-05-13T22:39,1672,1,0.899,en,0.0147
231,1588,12,v1,2026-05-12T01:56,1467,1,0.756,ja,0.049
232,425,10,v3,2026-07-06T10:18,1049,1,0.55,es,0.0199
233,225,3,v3,2026-07-07T19:30,885,1,1.0,de,0.0638
234,1689,5,v3,2026-01-14T14:45,1123,1,0.611,en,0.0456
235,375,10,v2,2026-07-22T17:52,1185,1,0.456,he,0.0211
236,1020,3,v3,2026-07-27T05:59,1348,1,0.96,en,0.036
237,884,6,v1,2026-03-05T20:05,1731,1,0.84,en,0.0436
238,625,7,v2,2026-07-02T17:02,1158,1,0.884,en,0.051
239,1600,9,v3,2026-05-22T19:35,1634,1,1.0,en,0.0126
240,1123,2,v3,2026-04-24T02:46,1218,0,0.555,es,0.0166
241,692,5,v3,2026-04-20T07:15,741,1,0.907,en,0.0614
242,40,8,v1,2026-07-23T05:38,1098,1,0.781,en,0.0538
243,724,12,v2,2026-01-13T03:47,1301,1,0.601,fr,0.0489
244,20,5,v3,2026-05-07T04:42,600,1,0.906,en,0.074
245,947,5,v3,2026-06-05T20:37,1999,1,0.873,en,0.0546
246,1053,10,v2,2026-04-17T07:38,529,0,0.603,de,0.0636
247,1661,10,v3,2026-05-28T13:44,1009,1,0.925,en,0.0373
248,1128,5,v3,2026-07-10T19:15,1704,1,0.693,ja,0.0461
249,1525,4,v2,2026-04-02T16:34,919,1,0.66,de,0.0626
250,554,5,v1,2026-04-08T18:29,1189,1,0.823,en,0.073
251,1447,4,v1,2026-03-24T21:50,1705,1,0.761,en,0.0105
252,89,11,v3,2026-06-08T12:57,733,1,1.0,en,0.0577
253,1656,1,v2,2026-04-14T15:12,918,1,0.574,es,0.055
254,334,9,v2,2026-05-18T16:30,1131,1,0.738,en,0.056
255,569,1,v2,2026-03-07T20:29,2036,1,0.656,es,0.0777
256,408,10,v1,2026-07-06T05:40,1631,0,0.982,en,0.0353
257,1288,2,v2,2026-06-29T22:11,659,1,0.629,en,0.0148
258,637,5,v2,2026-04-18T21:00,678,1,0.837,en,0.0771
259,57,11,v1,2026-07-15T00:20,1950,1,0.745,es,0.0573
260,687,9,v1,2026-05-27T05:49,1369,0,0.647,en,0.0225
261,563,12,v3,2026-01-30T03:26,2002,1,0.482,es,0.0551
262,136,12,v2,2026-06-14T15:50,180,1,0.688,en,0.0578
263,1168,7,v2,2026-02-19T22:49,1181,0,1.0,de,0.022
264,1266,8,v2,2026-07-03T19:59,1811,1,0.589,ja,0.0087
265,1688,11,v3,2026-03-24T04:55,1544,1,0.51,ja,0.072
266,88,5,v2,2026-06-26T11:54,1635,1,0.71,es,0.0337
267,284,8,v1,2026-04-30T04:55,1853,1,0.158,es,0.074
268,376,5,v2,2026-01-01T17:31,2094,1,0.778,ja,0.0435
269,1257,6,v2,2026-03-20T13:54,1625,1,0.772,de,0.042
270,1176,8,v1,2026-07-08T18:05,1601,1,0.623,es,0.0674
271,837,8,v2,2026-02-15T13:53,1570,1,0.694,es,0.0343
272,856,2,v2,2026-06-08T00:05,1830,1,0.47,en,0.0036
273,1285,2,v3,2026-04-15T05:45,1032,1,0.798,ja,0.0683
274,1212,11,v3,2026-05-02T19:54,733,1,0.948,de,0.0388
275,245,11,v1,2026-03-17T09:52,1210,1,0.598,es,0.0648
276,1303,2,v1,2026-03-24T18:25,855,0,0.577,en,0.0595
277,1750,11,v3,2026-06-20T22:26,538,1,0.696,fr,0.0047
278,1614,10,v1,2026-01-01T16:49,1058,1,0.712,en,0.052
279,275,5,v3,2026-03-27T16:30,1462,1,0.775,en,0.0047
280,1454,11,v2,2026-01-30T07:32,1312,1,0.703,en,0.0303
281,1715,4,v1,2026-03-18T10:12,1116,1,0.537,ja,0.0301
282,107,6,v1,2026-03-30T20:09,1468,1,0.726,en,0.0673
283,61,11,v3,2026-06-27T21:12,1720,0,0.673,fr,0.0289
284,42,9,v2,2026-02-03T10:09,1027,1,0.822,he,0.0256
285,1522,2,v3,2026-01-17T07:11,1303,1,0.648,en,0.0084
286,990,12,v2,2026-07-02T02:17,1584,1,0.695,es,0.0661
287,14,7,v3,2026-07-27T12:53,1020,1,0.624,en,0.0187
288,1206,8,v3,2026-07-16T00:50,1090,1,1.0,en,0.0169
289,491,9,v3,2026-06-29T15:31,225,1,0.628,en,0.0791
290,215,6,v2,2026-07-03T23:47,823,0,0.488,fr,0.0441
291,495,3,v3,2026-06-24T13:32,1603,1,0.902,es,0.0486
292,1769,9,v1,2026-06-04T13:40,1991,1,0.698,en,0.0447
293,991,8,v1,2026-01-09T06:18,1518,1,0.43,de,0.035
294,324,10,v1,2026-05-13T12:41,1321,1,0.792,en,0.0292
295,207,1,v3,2026-04-08T03:17,1050,0,0.807,en,0.0671
296,111,6,v3,2026-04-06T18:09,573,1,0.754,ja,0.0477
297,1525,11,v3,2026-04-02T16:34,1037,1,0.671,de,0.0269
298,1242,6,v1,2026-02-03T04:33,1887,1,0.952,fr,0.0157
299,648,4,v1,2026-06-30T10:24,1559,1,0.812,ja,0.0471
300,1086,6,v2,2026-01-09T09:48,1136,1,0.601,ja,0.0497
301,336,5,v2,2026-07-24T17:19,639,1,0.58,fr,0.0363
302,648,3,v2,2026-06-30T10:24,1455,1,1.0,ja,0.0788
303,811,7,v2,2026-03-13T20:11,1171,1,0.796,en,0.0244
304,85,1,v2,2026-07-22T09:37,1232,1,0.766,fr,0.065
305,661,12,v3,2026-07-15T23:18,1352,1,1.0,en,0.0224
306,160,5,v2,2026-04-30T12:19,180,0,0.537,he,0.0047
307,1,6,v2,2026-03-08T21:39,934,1,0.824,en,0.06
308,1208,8,v3,2026-07-18T06:14,602,1,0.741,es,0.0264
309,1260,1,v3,2026-05-20T06:16,1483,1,0.603,es,0.0217
310,42,10,v3,2026-02-03T10:09,1143,1,0.447,he,0.0663
311,474,12,v3,2026-06-07T08:36,980,1,0.837,es,0.0234
312,1064,7,v2,2026-05-09T17:05,1175,1,0.701,en,0.015
313,1749,9,v2,2026-03-13T15:41,1558,1,0.601,fr,0.0634
314,1555,3,v1,2026-06-05T23:21,999,1,0.62,ja,0.0616
315,691,6,v2,2026-06-25T01:25,1217,1,0.664,fr,0.016
316,189,6,v1,2026-04-26T14:34,1353,1,0.901,en,0.0569
317,20,1,v1,2026-05-07T04:42,1414,1,0.716,en,0.0595
318,355,9,v1,2026-01-22T16:09,964,1,0.687,en,0.0434
319,328,5,v3,2026-06-07T22:08,1368,1,0.541,fr,0.0714
320,666,10,v1,2026-07-04T04:14,1866,1,0.735,fr,0.0074
321,1458,5,v1,2026-06-03T09:50,1011,1,0.768,es,0.0126
322,743,3,v2,2026-03-06T23:36,759,1,0.715,en,0.0593
323,292,4,v1,2026-07-14T15:44,617,1,0.618,he,0.0664
324,766,1,v1,2026-07-02T14:27,1993,1,0.983,ja,0.0558
325,1334,4,v3,2026-07-27T08:54,1234,1,0.616,he,0.0757
326,287,2,v2,2026-07-08T16:36,1342,0,0.775,he,0.0743
327,878,6,v1,2026-07-08T16:42,1715,1,0.555,he,0.057
328,745,9,v1,2026-03-03T22:58,1731,1,0.789,en,0.0685
329,1258,8,v2,2026-06-01T08:23,1071,1,0.672,en,0.058
330,74,1,v3,2026-02-01T16:57,180,1,0.635,en,0.0025
331,1616,2,v1,2026-01-20T07:33,1613,1,0.816,de,0.0204
332,1667,5,v1,2026-04-18T03:33,2013,1,0.712,es,0.011
333,1734,9,v3,2026-07-02T07:41,1124,1,0.666,de,0.023
334,1769,4,v3,2026-06-04T13:40,1631,1,0.797,en,0.0302
335,1656,4,v2,2026-04-14T15:12,1271,1,0.904,es,0.0331
336,385,5,v3,2026-04-28T03:51,1010,1,0.754,en,0.0315
337,1149,9,v2,2026-04-25T05:33,1141,1,0.416,en,0.0214
338,1736,2,v3,2026-04-17T23:24,1061,0,1.0,en,0.0599
339,583,8,v3,2026-03-29T20:02,1473,1,0.918,en,0.0717
340,319,2,v1,2026-01-25T05:54,180,1,0.56,fr,0.057
341,742,7,v3,2026-03-15T01:14,625,1,0.876,es,0.0342
342,1454,2,v2,2026-01-30T07:32,986,1,0.979,en,0.0524
343,921,8,v2,2026-06-21T13:43,1254,1,0.73,ja,0.0266
344,1651,1,v1,2026-03-14T15:50,1921,1,0.645,en,0.0395
345,445,1,v2,2026-01-11T06:57,1548,1,0.609,fr,0.0041
346,1610,12,v1,2026-03-26T02:30,2076,1,0.748,fr,0.0118
347,1167,1,v3,2026-04-20T07:48,946,1,0.557,en,0.0151
348,848,11,v2,2026-03-18T05:57,1107,1,0.847,fr,0.0094
349,838,10,v3,2026-01-20T01:47,893,1,0.941,he,0.0673
350,1136,1,v2,2026-03-25T17:58,1581,1,0.818,en,0.0042
351,1077,1,v1,2026-06-05T19:20,1694,0,0.716,en,0.018
352,846,3,v1,2026-06-13T17:24,1486,1,0.757,en,0.0204
353,90,5,v3,2026-04-21T00:53,1648,1,0.722,es,0.0341
354,958,5,v3,2026-07-09T20:43,1717,1,0.772,fr,0.0689
355,205,12,v2,2026-03-21T09:27,1413,1,0.759,en,0.0234
356,843,8,v2,2026-05-22T15:26,969,1,0.677,fr,0.0303
357,120,9,v1,2026-05-20T14:08,1233,1,0.496,en,0.0769
358,377,2,v2,2026-07-03T13:42,1595,1,0.423,de,0.0291
359,705,8,v1,2026-02-07T00:19,795,1,0.98,ja,0.0598
360,537,1,v2,2026-03-05T21:11,921,1,0.783,he,0.0255
361,722,8,v1,2026-02-10T17:49,1909,1,0.76,he,0.0481
362,1534,12,v2,2026-02-23T05:26,1187,1,0.519,en,0.0176
363,1263,2,v2,2026-06-15T07:56,1186,1,0.807,en,0.0163
364,1776,8,v2,2026-07-20T22:20,704,1,0.761,en,0.0358
365,221,6,v2,2026-06-08T15:39,1090,1,0.955,en,0.0356
366,1171,11,v1,2026-02-04T05:22,1141,1,0.762,de,0.0359
367,277,7,v2,2026-06-24T22:26,1427,1,0.428,es,0.0219
368,1626,6,v1,2026-05-22T06:39,1672,1,0.581,en,0.0701
369,422,7,v3,2026-04-09T02:16,2076,1,0.64,ja,0.0532
370,1133,6,v3,2026-04-22T14:45,787,1,0.852,fr,0.0252
371,732,5,v3,2026-01-04T03:26,647,1,0.757,de,0.008
372,36,9,v1,2026-07-08T10:51,1699,1,0.947,de,0.0263
373,1711,11,v2,2026-05-22T18:41,815,1,0.758,ja,0.0078
374,1342,1,v2,2026-02-03T20:14,1934,1,0.949,en,0.0609
375,1468,5,v1,2026-03-29T08:13,1798,0,0.518,en,0.0624
376,409,9,v1,2026-05-31T04:24,1332,1,0.749,es,0.0468
377,1733,5,v3,2026-03-11T07:33,645,1,0.751,fr,0.0484
378,471,2,v1,2026-01-01T06:14,1577,1,0.608,es,0.01
379,1723,12,v2,2026-03-17T18:29,1186,1,0.754,en,0.0676
380,77,6,v1,2026-05-17T20:39,1632,1,0.534,es,0.0765
381,1648,3,v1,2026-04-26T19:22,1379,1,0.577,es,0.0382
382,1292,12,v3,2026-01-04T12:45,1085,1,0.78,en,0.0347
383,731,3,v2,2026-06-10T09:13,1281,1,1.0,ja,0.0573
