query_id,document_id,rank,retrieval_score,is_relevant,retriever_version
18,75,5,0.377,0,hybrid_v2
19,445,1,0.577,1,dense_v1
19,345,2,0.713,0,hybrid_v2
19,364,3,0.879,0,hybrid_v2
19,454,4,0.701,1,dense_v1
19,292,5,0.668,0,hybrid_v2
20,217,1,0.714,0,hybrid_v2
20,189,2,0.83,0,hybrid_v2
20,50,3,0.415,1,hybrid_v2
20,371,4,0.622,1,hybrid_v2
20,119,5,0.393,0,dense_v1
21,276,1,0.892,1,hybrid_v2
21,79,2,0.597,1,hybrid_v2
21,325,3,0.877,0,hybrid_v2
21,142,4,0.905,1,dense_v1
21,137,5,0.454,1,dense_v1
22,83,1,0.467,1,dense_v1
22,321,2,0.449,1,hybrid_v2
22,437,3,0.646,0,hybrid_v2
22,69,4,0.775,1,hybrid_v2
22,150,5,0.924,1,hybrid_v2
23,273,1,0.949,1,hybrid_v2
23,389,2,0.665,0,hybrid_v2
23,353,3,0.482,0,hybrid_v2
23,142,4,0.418,0,dense_v1
23,383,5,0.724,1,hybrid_v2
24,176,1,0.595,1,hybrid_v2
24,187,2,0.658,1,hybrid_v2
24,278,3,0.799,0,hybrid_v2
24,421,4,0.641,0,hybrid_v2
24,427,5,0.475,0,dense_v1
25,246,1,0.712,1,hybrid_v2
25,344,2,0.49,1,hybrid_v2
25,416,3,0.824,1,dense_v1
25,184,4,0.569,0,dense_v1
25,60,5,0.564,0,dense_v1
26,469,1,0.665,1,dense_v1
26,288,2,0.858,1,hybrid_v2
26,369,3,0.591,0,hybrid_v2
26,29,4,0.807,1,dense_v1
26,413,5,0.43,0,dense_v1
27,247,1,0.364,1,hybrid_v2
27,157,2,0.382,0,dense_v1
27,370,3,0.734,1,dense_v1
27,203,4,0.447,1,hybrid_v2
27,346,5,0.934,0,hybrid_v2
28,413,1,0.628,1,dense_v1
28,458,2,0.839,0,dense_v1
28,333,3,0.387,1,hybrid_v2
28,43,4,0.358,1,hybrid_v2
28,236,5,0.58,0,dense_v1
29,94,1,0.434,0,dense_v1
29,142,2,0.707,1,hybrid_v2
29,458,3,0.801,1,dense_v1
29,306,4,0.599,1,hybrid_v2
29,150,5,0.922,0,hybrid_v2
30,487,1,0.635,1,hybrid_v2
30,167,2,0.741,1,hybrid_v2
30,437,3,0.866,1,dense_v1
30,262,4,0.96,1,dense_v1
30,278,5,0.827,1,hybrid_v2
31,302,1,0.979,1,hybrid_v2
31,6,2,0.875,1,dense_v1
31,358,3,0.757,0,hybrid_v2
31,316,4,0.356,1,dense_v1
31,45,5,0.974,1,hybrid_v2
32,386,1,0.741,1,dense_v1
32,482,2,0.372,1,dense_v1
32,218,3,0.688,1,hybrid_v2
32,265,4,0.977,1,hybrid_v2
32,125,5,0.636,0,hybrid_v2
33,385,1,0.8,1,dense_v1
33,355,2,0.626,0,dense_v1
33,91,3,0.418,0,dense_v1
33,177,4,0.892,1,hybrid_v2
33,49,5,0.873,1,hybrid_v2
34,78,1,0.482,1,hybrid_v2
34,411,2,0.803,1,dense_v1
34,104,3,0.607,1,dense_v1
34,406,4,0.625,0,dense_v1
34,351,5,0.79,0,hybrid_v2
35,72,1,0.818,0,dense_v1
35,148,2,0.38,0,hybrid_v2
35,410,3,0.56,1,dense_v1
35,391,4,0.695,0,dense_v1
35,491,5,0.765,1,hybrid_v2
36,62,1,0.813,1,hybrid_v2
36,41,2,0.532,0,dense_v1
36,436,3,0.748,1,dense_v1
36,307,4,0.413,1,hybrid_v2
36,446,5,0.931,0,dense_v1
37,15,1,0.735,0,hybrid_v2
37,218,2,0.779,1,hybrid_v2
37,281,3,0.484,0,dense_v1
37,118,4,0.727,0,hybrid_v2
37,196,5,0.574,1,hybrid_v2
38,288,1,0.645,1,hybrid_v2
38,464,2,0.796,0,hybrid_v2
38,46,3,0.596,0,dense_v1
38,53,4,0.531,0,dense_v1
38,162,5,0.435,0,dense_v1
39,189,1,0.776,1,hybrid_v2
39,468,2,0.546,0,dense_v1
39,226,3,0.948,0,dense_v1
39,478,4,0.62,0,dense_v1
39,100,5,0.432,0,hybrid_v2
40,140,1,0.755,1,hybrid_v2
40,358,2,0.376,0,dense_v1
40,94,3,0.67,0,hybrid_v2
40,189,4,0.479,1,hybrid_v2
40,387,5,0.594,0,dense_v1
41,280,1,0.537,1,hybrid_v2
41,94,2,0.93,1,hybrid_v2
41,489,3,0.556,1,hybrid_v2
41,433,4,0.687,0,dense_v1
41,311,5,0.438,0,hybrid_v2
42,23,1,0.509,1,hybrid_v2
42,58,2,0.834,0,dense_v1
42,65,3,0.821,1,dense_v1
42,476,4,0.458,1,hybrid_v2
42,403,5,0.591,0,dense_v1
43,484,1,0.528,1,hybrid_v2
43,7,2,0.798,0,dense_v1
43,405,3,0.587,1,hybrid_v2
43,393,4,0.753,0,dense_v1
43,397,5,0.529,0,hybrid_v2
44,90,1,0.631,0,dense_v1
44,103,2,0.428,0,hybrid_v2
44,37,3,0.954,0,dense_v1
44,187,4,0.367,1,dense_v1
44,433,5,0.961,0,dense_v1
45,140,1,0.621,1,dense_v1
45,363,2,0.831,1,hybrid_v2
45,336,3,0.957,1,hybrid_v2
45,304,4,0.486,1,dense_v1
45,492,5,0.507,0,hybrid_v2
46,159,1,0.412,1,hybrid_v2
46,363,2,0.903,1,hybrid_v2
46,430,3,0.496,1,dense_v1
46,61,4,0.436,1,dense_v1
46,402,5,0.711,1,hybrid_v2
47,352,1,0.65,1,dense_v1
47,353,2,0.934,0,hybrid_v2
47,489,3,0.672,0,dense_v1
47,405,4,0.762,1,hybrid_v2
47,393,5,0.789,0,dense_v1
48,256,1,0.434,1,hybrid_v2
48,279,2,0.89,1,dense_v1
48,409,3,0.716,0,dense_v1
48,434,4,0.679,1,hybrid_v2
48,2,5,0.875,1,dense_v1
49,419,1,0.696,1,dense_v1
49,57,2,0.843,0,hybrid_v2
49,153,3,0.368,1,hybrid_v2
49,22,4,0.823,0,dense_v1
49,260,5,0.888,0,dense_v1
50,468,1,0.473,1,dense_v1
50,74,2,0.394,1,hybrid_v2
50,239,3,0.787,1,dense_v1
50,500,4,0.676,0,hybrid_v2
50,208,5,0.95,0,hybrid_v2
51,322,1,0.823,0,dense_v1
51,278,2,0.613,1,dense_v1
51,165,3,0.685,1,hybrid_v2
51,7,4,0.669,1,dense_v1
51,380,5,0.915,1,hybrid_v2
52,348,1,0.663,1,dense_v1
52,481,2,0.686,0,dense_v1
52,374,3,0.7,1,hybrid_v2
52,234,4,0.477,1,dense_v1
52,413,5,0.976,1,dense_v1
53,117,1,0.877,1,dense_v1
53,332,2,0.533,1,dense_v1
53,12,3,0.931,1,hybrid_v2
53,130,4,0.662,1,dense_v1
53,394,5,0.59,1,dense_v1
54,108,1,0.838,1,dense_v1
54,430,2,0.607,1,dense_v1
54,124,3,0.501,1,dense_v1
54,314,4,0.389,1,hybrid_v2
54,159,5,0.531,1,hybrid_v2
55,387,1,0.498,1,hybrid_v2
55,131,2,0.929,1,dense_v1
55,7,3,0.935,1,hybrid_v2
55,433,4,0.959,1,dense_v1
55,450,5,0.434,1,hybrid_v2
56,255,1,0.361,1,hybrid_v2
56,474,2,0.526,1,hybrid_v2
56,95,3,0.36,0,hybrid_v2
56,390,4,0.73,0,dense_v1
56,68,5,0.661,0,dense_v1
57,159,1,0.714,0,hybrid_v2
57,42,2,0.567,1,hybrid_v2
57,456,3,0.939,0,hybrid_v2
57,319,4,0.511,1,dense_v1
57,112,5,0.68,0,hybrid_v2
58,84,1,0.577,1,hybrid_v2
58,29,2,0.808,0,hybrid_v2
58,381,3,0.509,0,hybrid_v2
58,275,4,0.653,1,hybrid_v2
58,306,5,0.536,0,dense_v1
59,461,1,0.711,1,hybrid_v2
59,343,2,0.968,1,hybrid_v2
59,82,3,0.646,0,dense_v1
59,483,4,0.97,0,hybrid_v2
59,122,5,0.835,0,dense_v1
60,485,1,0.435,1,hybrid_v2
60,250,2,0.766,1,hybrid_v2
60,496,3,0.66,0,dense_v1
60,84,4,0.791,0,hybrid_v2
60,243,5,0.642,0,hybrid_v2
61,462,1,0.562,1,hybrid_v2
61,450,2,0.724,0,dense_v1
61,353,3,0.79,0,dense_v1
61,341,4,0.383,1,hybrid_v2
61,133,5,0.792,1,hybrid_v2
62,295,1,0.731,1,hybrid_v2
62,477,2,0.801,1,hybrid_v2
62,44,3,0.896,1,hybrid_v2
62,249,4,0.628,1,hybrid_v2
62,7,5,0.654,0,hybrid_v2
63,425,1,0.629,1,hybrid_v2
63,326,2,0.486,0,hybrid_v2
63,455,3,0.411,1,hybrid_v2
63,198,4,0.832,1,hybrid_v2
63,436,5,0.807,1,hybrid_v2
64,172,1,0.91,1,dense_v1
64,441,2,0.688,1,dense_v1
64,372,3,0.732,1,hybrid_v2
64,91,4,0.673,0,dense_v1
64,482,5,0.726,1,hybrid_v2
65,382,1,0.683,1,hybrid_v2
65,259,2,0.591,0,dense_v1
65,102,3,0.572,1,hybrid_v2
65,493,4,0.575,1,dense_v1
65,99,5,0.823,0,dense_v1
66,264,1,0.954,0,hybrid_v2
66,453,2,0.672,0,dense_v1
66,420,3,0.678,0,dense_v1
66,342,4,0.763,1,hybrid_v2
66,221,5,0.709,1,dense_v1
67,228,1,0.971,1,dense_v1
67,45,2,0.437,0,hybrid_v2
67,158,3,0.607,0,hybrid_v2
67,398,4,0.458,0,dense_v1
67,50,5,0.364,0,hybrid_v2
68,66,1,0.818,1,dense_v1
68,40,2,0.469,1,dense_v1
68,41,3,0.885,0,hybrid_v2
68,167,4,0.617,1,hybrid_v2
68,164,5,0.477,0,dense_v1
69,290,1,0.735,1,hybrid_v2
69,254,2,0.588,1,hybrid_v2
69,76,3,0.909,0,dense_v1
69,424,4,0.51,0,dense_v1
69,473,5,0.388,0,dense_v1
70,291,1,0.596,0,dense_v1
70,190,2,0.794,1,dense_v1
70,495,3,0.953,0,hybrid_v2
70,163,4,0.97,1,dense_v1
70,481,5,0.685,1,hybrid_v2
71,422,1,0.358,0,hybrid_v2
71,352,2,0.889,1,hybrid_v2
71,97,3,0.4,1,hybrid_v2
71,138,4,0.382,0,hybrid_v2
71,210,5,0.484,0,hybrid_v2
72,295,1,0.579,1,dense_v1
72,2,2,0.392,1,hybrid_v2
72,295,3,0.497,1,dense_v1
72,106,4,0.556,0,hybrid_v2
72,316,5,0.637,1,hybrid_v2
73,114,1,0.438,1,hybrid_v2
73,158,2,0.702,0,dense_v1
73,375,3,0.946,0,hybrid_v2
73,185,4,0.489,0,hybrid_v2
73,3,5,0.616,1,dense_v1
74,187,1,0.477,1,hybrid_v2
74,177,2,0.543,1,dense_v1
74,90,3,0.614,1,hybrid_v2
74,500,4,0.498,0,dense_v1
74,6,5,0.768,0,dense_v1
75,426,1,0.713,1,hybrid_v2
75,23,2,0.954,0,dense_v1
75,337,3,0.766,1,dense_v1
75,287,4,0.531,1,dense_v1
75,278,5,0.921,1,hybrid_v2
76,363,1,0.739,1,hybrid_v2
76,372,2,0.46,1,dense_v1
76,10,3,0.353,1,dense_v1
76,83,4,0.945,1,hybrid_v2
76,382,5,0.416,0,dense_v1
77,75,1,0.953,0,dense_v1
77,4,2,0.523,1,hybrid_v2
77,32,3,0.762,1,dense_v1
77,414,4,0.85,1,dense_v1
77,307,5,0.452,1,hybrid_v2
78,122,1,0.777,0,hybrid_v2
78,316,2,0.862,0,dense_v1
78,439,3,0.619,0,hybrid_v2
78,366,4,0.715,0,dense_v1
78,93,5,0.586,1,dense_v1
79,400,1,0.934,0,hybrid_v2
79,3,2,0.358,0,dense_v1
79,152,3,0.667,1,hybrid_v2
79,124,4,0.798,0,hybrid_v2
79,6,5,0.479,1,hybrid_v2
80,298,1,0.76,1,dense_v1
80,8,2,0.693,0,dense_v1
80,442,3,0.627,0,dense_v1
80,311,4,0.801,0,dense_v1
80,83,5,0.665,0,hybrid_v2
81,113,1,0.789,1,dense_v1
81,42,2,0.456,1,hybrid_v2
81,479,3,0.378,1,hybrid_v2
81,20,4,0.676,1,dense_v1
81,321,5,0.725,1,dense_v1
82,26,1,0.877,0,hybrid_v2
82,15,2,0.389,1,hybrid_v2
82,46,3,0.95,0,hybrid_v2
82,226,4,0.935,1,hybrid_v2
82,125,5,0.508,1,dense_v1
83,428,1,0.507,0,hybrid_v2
83,168,2,0.493,0,hybrid_v2
83,401,3,0.425,0,dense_v1
83,379,4,0.472,0,dense_v1
83,285,5,0.723,1,dense_v1
84,240,1,0.9,1,hybrid_v2
84,242,2,0.855,1,dense_v1
84,351,3,0.436,1,hybrid_v2
84,123,4,0.392,0,hybrid_v2
84,212,5,0.976,0,dense_v1
85,73,1,0.528,0,hybrid_v2
85,214,2,0.475,1,hybrid_v2
85,104,3,0.473,0,dense_v1
85,369,4,0.508,0,dense_v1
85,340,5,0.798,1,hybrid_v2
86,208,1,0.645,1,hybrid_v2
86,187,2,0.817,1,hybrid_v2
86,428,3,0.835,1,hybrid_v2
86,303,4,0.666,0,hybrid_v2
86,254,5,0.568,0,hybrid_v2
87,222,1,0.963,1,hybrid_v2
87,126,2,0.809,1,hybrid_v2
87,111,3,0.865,0,dense_v1
87,441,4,0.376,0,hybrid_v2
87,152,5,0.62,0,dense_v1
88,320,1,0.411,1,hybrid_v2
88,243,2,0.521,1,hybrid_v2
88,131,3,0.452,1,hybrid_v2
88,104,4,0.805,0,hybrid_v2
88,414,5,0.552,0,hybrid_v2
89,410,1,0.695,0,dense_v1
89,435,2,0.492,1,hybrid_v2
89,262,3,0.944,1,hybrid_v2
89,62,4,0.824,0,dense_v1
89,96,5,0.52,0,hybrid_v2
90,78,1,0.794,0,dense_v1
90,16,2,0.64,1,hybrid_v2
90,206,3,0.947,0,hybrid_v2
90,288,4,0.542,0,hybrid_v2
90,118,5,0.65,0,hybrid_v2
91,41,1,0.763,0,dense_v1
91,25,2,0.821,1,dense_v1
91,109,3,0.503,0,dense_v1
91,286,4,0.418,0,hybrid_v2
91,118,5,0.895,0,hybrid_v2
92,173,1,0.926,1,dense_v1
92,247,2,0.379,0,hybrid_v2
92,188,3,0.851,1,hybrid_v2
92,240,4,0.488,1,dense_v1
92,175,5,0.656,0,hybrid_v2
93,179,1,0.749,0,dense_v1
93,441,2,0.594,1,dense_v1
93,264,3,0.505,0,dense_v1
93,131,4,0.871,1,dense_v1
93,390,5,0.812,0,hybrid_v2
94,132,1,0.833,1,dense_v1
94,73,2,0.377,0,hybrid_v2
94,477,3,0.514,0,dense_v1
94,70,4,0.552,0,hybrid_v2
94,458,5,0.819,0,hybrid_v2
95,155,1,0.54,1,dense_v1
95,415,2,0.906,0,hybrid_v2
95,256,3,0.923,0,dense_v1
95,154,4,0.428,1,hybrid_v2
95,455,5,0.93,0,hybrid_v2
96,353,1,0.535,1,hybrid_v2
96,2,2,0.737,1,dense_v1
96,362,3,0.79,0,dense_v1
96,289,4,0.561,1,hybrid_v2
96,122,5,0.51,0,dense_v1
97,320,1,0.543,1,hybrid_v2
97,259,2,0.456,1,dense_v1
97,138,3,0.872,1,hybrid_v2
97,487,4,0.83,0,hybrid_v2
97,420,5,0.749,1,dense_v1
98,94,1,0.955,1,hybrid_v2
98,245,2,0.751,1,dense_v1
98,289,3,0.91,1,dense_v1
98,199,4,0.719,1,hybrid_v2
98,278,5,0.575,1,dense_v1
99,302,1,0.433,1,hybrid_v2
99,71,2,0.768,1,hybrid_v2
99,263,3,0.449,0,hybrid_v2
99,176,4,0.807,0,hybrid_v2
99,366,5,0.777,1,dense_v1
100,369,1,0.432,1,hybrid_v2
100,427,2,0.889,1,dense_v1
100,86,3,0.669,0,hybrid_v2
100,404,4,0.933,1,dense_v1
100,121,5,0.913,0,dense_v1
101,445,1,0.731,0,hybrid_v2
101,278,2,0.578,1,dense_v1
101,195,3,0.684,0,dense_v1
101,88,4,0.83,1,hybrid_v2
101,285,5,0.932,0,hybrid_v2
102,105,1,0.747,0,hybrid_v2
102,441,2,0.975,1,hybrid_v2
102,110,3,0.397,1,dense_v1
102,298,4,0.532,0,hybrid_v2
102,173,5,0.568,0,hybrid_v2
103,320,1,0.462,1,dense_v1
103,247,2,0.442,0,dense_v1
103,123,3,0.433,1,hybrid_v2
103,255,4,0.793,1,dense_v1
103,199,5,0.498,0,dense_v1
104,419,1,0.72,1,dense_v1
104,156,2,0.847,1,dense_v1
104,139,3,0.628,1,dense_v1
104,245,4,0.825,1,hybrid_v2
104,376,5,0.395,1,dense_v1
105,468,1,0.699,0,dense_v1
105,486,2,0.515,1,hybrid_v2
105,392,3,0.526,0,hybrid_v2
105,400,4,0.624,1,dense_v1
105,97,5,0.663,0,dense_v1
106,191,1,0.436,1,hybrid_v2
106,330,2,0.718,1,hybrid_v2
106,70,3,0.875,1,hybrid_v2
106,371,4,0.753,0,hybrid_v2
106,250,5,0.704,1,hybrid_v2
107,314,1,0.953,1,dense_v1
107,140,2,0.696,0,hybrid_v2
107,97,3,0.71,1,hybrid_v2
107,60,4,0.896,0,hybrid_v2
107,12,5,0.576,1,hybrid_v2
108,211,1,0.541,1,hybrid_v2
108,299,2,0.636,1,hybrid_v2
108,367,3,0.733,1,dense_v1
108,223,4,0.4,1,dense_v1
108,418,5,0.776,1,hybrid_v2
109,217,1,0.748,1,dense_v1
109,476,2,0.686,1,hybrid_v2
109,473,3,0.973,1,hybrid_v2
109,41,4,0.736,1,dense_v1
109,68,5,0.778,0,dense_v1
110,486,1,0.621,1,dense_v1
110,49,2,0.631,0,dense_v1
110,380,3,0.608,0,dense_v1
110,484,4,0.827,0,hybrid_v2
110,47,5,0.46,0,dense_v1
111,140,1,0.425,1,dense_v1
111,224,2,0.502,1,dense_v1
111,229,3,0.495,0,hybrid_v2
111,426,4,0.49,1,dense_v1
111,71,5,0.435,0,hybrid_v2
112,214,1,0.568,0,dense_v1
112,242,2,0.848,1,dense_v1
112,348,3,0.909,1,hybrid_v2
112,204,4,0.583,0,dense_v1
112,464,5,0.657,1,hybrid_v2
113,287,1,0.617,1,dense_v1
113,284,2,0.817,1,hybrid_v2
113,50,3,0.492,1,dense_v1
113,398,4,0.493,0,dense_v1
113,254,5,0.775,0,hybrid_v2
114,228,1,0.795,1,dense_v1
114,463,2,0.956,1,dense_v1
114,28,3,0.787,0,hybrid_v2
114,448,4,0.666,1,dense_v1
114,363,5,0.609,1,hybrid_v2
115,239,1,0.973,0,hybrid_v2
115,496,2,0.517,1,hybrid_v2
115,440,3,0.384,1,hybrid_v2
115,157,4,0.468,1,hybrid_v2
115,82,5,0.659,1,dense_v1
116,249,1,0.376,1,hybrid_v2
116,164,2,0.526,0,dense_v1
116,362,3,0.634,0,hybrid_v2
116,104,4,0.535,1,hybrid_v2
116,342,5,0.556,1,dense_v1
117,41,1,0.7,1,dense_v1
117,371,2,0.42,0,dense_v1
117,81,3,0.503,0,dense_v1
117,209,4,0.832,0,dense_v1
117,475,5,0.664,0,hybrid_v2
118,26,1,0.43,1,hybrid_v2
118,49,2,0.944,0,dense_v1
118,306,3,0.897,1,hybrid_v2
118,134,4,0.664,0,dense_v1
118,201,5,0.862,0,hybrid_v2
119,146,1,0.695,1,dense_v1
119,430,2,0.774,0,hybrid_v2
119,409,3,0.9,0,hybrid_v2
119,337,4,0.895,1,dense_v1
119,299,5,0.766,0,hybrid_v2
120,152,1,0.37,1,dense_v1
120,361,2,0.432,1,dense_v1
120,189,3,0.465,1,dense_v1
120,171,4,0.449,1,dense_v1
120,444,5,0.643,0,hybrid_v2
121,135,1,0.819,1,dense_v1
121,268,2,0.828,0,hybrid_v2
121,453,3,0.422,1,hybrid_v2
121,74,4,0.532,0,hybrid_v2
121,484,5,0.648,1,dense_v1
122,261,1,0.931,1,dense_v1
122,264,2,0.917,0,hybrid_v2
122,162,3,0.82,1,hybrid_v2
122,74,4,0.385,0,hybrid_v2
122,409,5,0.608,0,dense_v1
123,273,1,0.625,1,dense_v1
123,150,2,0.626,1,hybrid_v2
123,165,3,0.436,1,dense_v1
123,381,4,0.564,0,dense_v1
123,486,5,0.465,1,hybrid_v2
124,476,1,0.893,1,dense_v1
124,16,2,0.358,1,dense_v1
124,24,3,0.838,1,dense_v1
124,171,4,0.456,0,hybrid_v2
124,398,5,0.916,1,dense_v1
125,59,1,0.723,1,hybrid_v2
125,97,2,0.785,1,dense_v1
125,323,3,0.833,0,dense_v1
125,471,4,0.356,0,hybrid_v2
125,270,5,0.863,0,dense_v1
126,441,1,0.558,1,dense_v1
126,41,2,0.405,0,dense_v1
126,94,3,0.411,0,dense_v1
126,218,4,0.762,1,hybrid_v2
126,180,5,0.415,0,dense_v1
127,240,1,0.77,1,hybrid_v2
127,363,2,0.572,0,hybrid_v2
127,142,3,0.594,0,hybrid_v2
127,500,4,0.817,1,hybrid_v2
127,244,5,0.862,1,dense_v1
128,209,1,0.448,0,hybrid_v2
128,17,2,0.903,1,hybrid_v2
128,396,3,0.83,0,hybrid_v2
128,1,4,0.77,1,hybrid_v2
128,20,5,0.714,1,hybrid_v2
129,357,1,0.746,1,hybrid_v2
129,445,2,0.39,1,dense_v1
129,404,3,0.653,1,dense_v1
129,76,4,0.651,1,dense_v1
129,461,5,0.551,1,dense_v1
130,286,1,0.593,0,hybrid_v2
130,34,2,0.377,1,dense_v1
130,424,3,0.95,0,hybrid_v2
130,412,4,0.966,0,dense_v1
130,97,5,0.751,1,dense_v1
131,377,1,0.38,0,hybrid_v2
131,406,2,0.58,1,dense_v1
131,340,3,0.351,0,dense_v1
131,72,4,0.865,0,dense_v1
131,245,5,0.542,1,hybrid_v2
132,218,1,0.712,1,hybrid_v2
132,343,2,0.54,1,hybrid_v2
132,440,3,0.782,0,hybrid_v2
132,285,4,0.706,0,hybrid_v2
132,486,5,0.406,1,hybrid_v2
133,374,1,0.869,0,dense_v1
133,13,2,0.406,1,dense_v1
133,229,3,0.589,1,dense_v1
133,39,4,0.595,0,dense_v1
133,202,5,0.953,0,hybrid_v2
134,472,1,0.389,0,dense_v1
134,45,2,0.594,1,hybrid_v2
134,309,3,0.89,1,hybrid_v2
134,216,4,0.574,1,hybrid_v2
134,292,5,0.469,0,dense_v1
135,462,1,0.784,1,dense_v1
135,435,2,0.98,1,dense_v1
135,186,3,0.378,1,hybrid_v2
135,127,4,0.456,1,hybrid_v2
135,257,5,0.937,0,hybrid_v2
136,412,1,0.473,1,hybrid_v2
136,471,2,0.515,1,hybrid_v2
136,107,3,0.775,1,dense_v1
136,297,4,0.899,0,hybrid_v2
136,142,5,0.568,1,dense_v1
137,270,1,0.422,1,dense_v1
137,439,2,0.521,1,hybrid_v2
137,72,3,0.829,0,hybrid_v2
137,255,4,0.415,0,hybrid_v2
137,91,5,0.871,0,hybrid_v2
138,178,1,0.841,0,dense_v1
138,164,2,0.477,1,dense_v1
138,421,3,0.477,0,hybrid_v2
138,304,4,0.503,0,dense_v1
138,190,5,0.751,0,dense_v1
139,70,1,0.892,0,dense_v1
139,226,2,0.902,1,hybrid_v2
139,496,3,0.496,0,hybrid_v2
139,237,4,0.67,1,dense_v1
139,491,5,0.707,0,dense_v1
140,315,1,0.425,1,hybrid_v2
140,58,2,0.625,0,dense_v1
140,402,3,0.84,0,dense_v1
140,421,4,0.599,0,dense_v1
140,132,5,0.907,0,dense_v1
141,101,1,0.841,1,hybrid_v2
141,365,2,0.652,0,hybrid_v2
141,312,3,0.648,0,dense_v1
141,338,4,0.475,0,hybrid_v2
141,118,5,0.637,0,dense_v1
142,222,1,0.674,1,dense_v1
142,272,2,0.868,1,hybrid_v2
142,192,3,0.972,1,hybrid_v2
142,330,4,0.949,0,hybrid_v2
142,243,5,0.627,1,dense_v1
143,17,1,0.873,1,hybrid_v2
143,240,2,0.601,0,hybrid_v2
143,87,3,0.709,0,hybrid_v2
143,217,4,0.841,1,hybrid_v2
143,175,5,0.804,1,hybrid_v2
144,112,1,0.641,1,hybrid_v2
144,484,2,0.4,0,dense_v1
144,194,3,0.896,1,dense_v1
144,384,4,0.432,1,hybrid_v2
144,469,5,0.687,0,dense_v1
145,182,1,0.779,1,hybrid_v2
145,243,2,0.56,1,hybrid_v2
145,23,3,0.921,1,dense_v1
145,443,4,0.779,1,hybrid_v2
145,443,5,0.447,1,hybrid_v2
146,313,1,0.777,0,hybrid_v2
146,254,2,0.44,0,hybrid_v2
146,357,3,0.785,1,dense_v1
146,466,4,0.426,1,hybrid_v2
146,360,5,0.585,0,hybrid_v2
