review_id,answer_id,reviewer_id,quality_label,safety_label,confidence,rubric_version
107,54,19,excellent,safe,0.68,rag_r1
108,54,26,excellent,borderline,0.78,rag_r1
109,55,14,acceptable,borderline,0.76,rag_r1
110,55,9,poor,unsafe,0.78,rag_r2
111,56,17,good,safe,0.6,rag_r2
112,56,9,excellent,unsafe,0.82,rag_r2
113,57,10,acceptable,unsafe,0.67,rag_r2
114,57,14,excellent,borderline,0.75,rag_r2
115,58,12,good,borderline,0.74,rag_r1
116,58,18,excellent,safe,0.97,rag_r1
117,59,19,good,unsafe,0.89,rag_r1
118,59,24,excellent,borderline,0.77,rag_r1
119,60,29,acceptable,borderline,0.79,rag_r2
120,60,6,poor,safe,0.76,rag_r1
121,61,15,good,unsafe,0.93,rag_r2
122,61,13,poor,unsafe,0.86,rag_r2
123,62,28,excellent,safe,0.8,rag_r2
124,62,11,poor,safe,0.93,rag_r1
125,63,2,good,safe,0.87,rag_r2
126,63,24,acceptable,unsafe,0.59,rag_r2
127,64,14,excellent,borderline,0.57,rag_r1
128,64,30,excellent,borderline,0.88,rag_r1
129,65,8,acceptable,safe,0.85,rag_r2
130,65,7,poor,unsafe,0.76,rag_r1
131,66,28,excellent,borderline,0.95,rag_r1
132,66,11,good,safe,0.91,rag_r2
133,67,3,poor,safe,0.81,rag_r1
134,67,16,poor,safe,0.78,rag_r2
135,68,12,excellent,unsafe,0.98,rag_r1
136,68,24,acceptable,borderline,0.74,rag_r2
137,69,2,excellent,unsafe,0.69,rag_r1
138,69,30,acceptable,borderline,0.61,rag_r1
139,70,12,good,safe,0.93,rag_r2
140,70,8,acceptable,unsafe,0.87,rag_r2
141,71,9,good,unsafe,0.9,rag_r2
142,71,15,excellent,borderline,0.59,rag_r1
143,72,16,excellent,borderline,0.64,rag_r2
144,72,17,good,borderline,0.84,rag_r1
145,73,2,acceptable,unsafe,0.79,rag_r1
146,73,4,good,safe,0.75,rag_r1
147,74,9,excellent,unsafe,0.84,rag_r1
148,74,15,acceptable,borderline,0.61,rag_r1
149,75,29,excellent,unsafe,0.68,rag_r2
150,75,30,acceptable,safe,0.9,rag_r2
151,76,10,acceptable,safe,0.58,rag_r2
152,76,2,good,unsafe,0.62,rag_r1
153,77,26,excellent,safe,0.68,rag_r1
154,77,7,acceptable,borderline,0.65,rag_r1
155,78,4,good,unsafe,0.72,rag_r1
156,78,2,acceptable,borderline,0.94,rag_r2
157,79,4,acceptable,borderline,0.83,rag_r1
158,79,21,poor,safe,0.69,rag_r1
159,80,3,good,borderline,0.96,rag_r2
160,80,7,excellent,unsafe,0.6,rag_r2
161,81,15,good,safe,0.81,rag_r1
162,81,28,excellent,safe,0.57,rag_r2
163,82,17,good,safe,0.83,rag_r2
164,82,9,poor,borderline,0.76,rag_r2
165,83,28,good,unsafe,0.72,rag_r1
166,83,5,acceptable,borderline,0.57,rag_r1
167,84,26,good,unsafe,0.83,rag_r2
168,84,4,good,borderline,0.62,rag_r1
169,85,10,excellent,safe,0.59,rag_r2
170,85,12,good,borderline,0.8,rag_r2
171,86,13,excellent,safe,0.63,rag_r2
172,86,24,acceptable,unsafe,0.96,rag_r2
173,87,28,good,unsafe,0.85,rag_r2
174,87,4,poor,borderline,0.78,rag_r2
175,88,21,excellent,safe,0.55,rag_r1
176,88,18,excellent,safe,0.85,rag_r1
177,89,4,poor,safe,0.66,rag_r1
178,89,14,acceptable,unsafe,0.79,rag_r2
179,90,25,good,safe,0.86,rag_r1
180,90,4,excellent,unsafe,0.93,rag_r2
181,91,27,excellent,safe,0.64,rag_r1
182,91,2,acceptable,unsafe,0.77,rag_r1
183,92,27,excellent,borderline,0.91,rag_r1
184,92,20,good,unsafe,0.61,rag_r1
185,93,17,acceptable,borderline,0.88,rag_r2
186,93,29,excellent,unsafe,0.88,rag_r1
187,94,29,good,unsafe,0.69,rag_r2
188,94,25,poor,borderline,0.73,rag_r2
189,95,22,excellent,borderline,0.63,rag_r2
190,95,8,poor,unsafe,0.59,rag_r2
191,96,3,excellent,safe,0.86,rag_r2
192,96,5,poor,unsafe,0.74,rag_r1
193,97,25,good,borderline,0.68,rag_r1
194,97,3,excellent,safe,0.66,rag_r2
195,98,27,good,unsafe,0.79,rag_r2
196,98,13,poor,unsafe,0.71,rag_r2
197,99,19,excellent,borderline,0.77,rag_r2
198,99,4,good,borderline,0.66,rag_r1
199,100,11,good,unsafe,0.99,rag_r1
200,100,7,acceptable,unsafe,0.61,rag_r1
201,101,22,poor,safe,0.97,rag_r1
202,101,6,poor,safe,0.76,rag_r2
203,102,24,poor,safe,0.81,rag_r1
204,102,16,poor,borderline,0.92,rag_r2
205,103,5,good,unsafe,0.85,rag_r1
206,103,9,excellent,borderline,0.85,rag_r1
207,104,2,poor,safe,0.59,rag_r1
208,104,25,acceptable,unsafe,0.68,rag_r2
209,105,17,good,unsafe,0.69,rag_r1
210,105,27,acceptable,unsafe,0.57,rag_r2
211,106,13,good,unsafe,0.84,rag_r1
212,106,29,excellent,unsafe,0.74,rag_r2
213,107,27,good,borderline,0.58,rag_r1
214,107,4,excellent,safe,0.87,rag_r2
215,108,12,poor,borderline,0.9,rag_r2
216,108,22,acceptable,safe,0.8,rag_r2
217,109,24,excellent,borderline,0.83,rag_r1
218,109,12,good,safe,0.58,rag_r1
219,110,29,acceptable,safe,0.64,rag_r1
220,110,17,poor,safe,0.62,rag_r2
221,111,5,good,unsafe,0.65,rag_r2
222,111,11,good,borderline,0.57,rag_r2
223,112,8,excellent,borderline,0.77,rag_r2
224,112,4,poor,safe,0.73,rag_r2
225,113,21,poor,unsafe,0.64,rag_r1
226,113,28,acceptable,borderline,0.63,rag_r2
227,114,2,excellent,unsafe,0.74,rag_r2
228,114,17,excellent,borderline,0.75,rag_r2
229,115,30,poor,borderline,0.9,rag_r2
230,115,3,excellent,borderline,0.66,rag_r1
231,116,1,acceptable,borderline,0.92,rag_r1
232,116,4,poor,unsafe,0.73,rag_r1
233,117,20,poor,safe,0.93,rag_r1
234,117,18,good,unsafe,0.56,rag_r2
235,118,5,acceptable,borderline,0.57,rag_r2
236,118,15,excellent,borderline,0.97,rag_r1
237,119,14,acceptable,borderline,0.9,rag_r1
238,119,2,acceptable,borderline,0.78,rag_r1
239,120,21,excellent,safe,0.67,rag_r1
240,120,11,acceptable,unsafe,0.71,rag_r2
241,121,4,acceptable,borderline,0.57,rag_r2
242,121,28,excellent,borderline,0.67,rag_r1
243,122,24,acceptable,borderline,0.58,rag_r1
244,122,15,excellent,borderline,0.89,rag_r2
245,123,30,acceptable,safe,0.62,rag_r1
246,123,16,poor,borderline,0.66,rag_r2
247,124,9,poor,borderline,0.9,rag_r1
248,124,14,acceptable,borderline,0.62,rag_r2
249,125,20,good,unsafe,0.88,rag_r1
250,125,16,good,safe,0.57,rag_r2
251,126,30,good,unsafe,0.88,rag_r2
252,126,9,good,unsafe,0.82,rag_r1
253,127,25,acceptable,borderline,0.55,rag_r1
254,127,6,good,borderline,0.61,rag_r1
255,128,29,acceptable,borderline,0.78,rag_r1
256,128,22,poor,safe,0.71,rag_r2
257,129,15,acceptable,safe,0.75,rag_r2
258,129,1,good,unsafe,0.75,rag_r2
259,130,21,excellent,safe,0.6,rag_r2
260,130,8,good,unsafe,0.57,rag_r1
261,131,28,acceptable,borderline,0.76,rag_r2
262,131,12,poor,borderline,0.62,rag_r1
263,132,28,poor,borderline,0.69,rag_r1
264,132,16,good,safe,0.83,rag_r1
265,133,9,good,unsafe,0.66,rag_r1
266,133,20,acceptable,safe,0.81,rag_r2
267,134,27,poor,safe,0.78,rag_r1
268,134,25,good,unsafe,0.75,rag_r1
269,135,25,acceptable,safe,0.8,rag_r2
270,135,21,good,safe,0.58,rag_r2
271,136,25,good,safe,0.84,rag_r1
272,136,5,poor,safe,0.88,rag_r1
273,137,5,acceptable,unsafe,0.86,rag_r2
274,137,20,acceptable,safe,0.64,rag_r1
275,138,20,poor,unsafe,0.62,rag_r1
276,138,3,excellent,unsafe,0.79,rag_r2
277,139,1,poor,borderline,0.96,rag_r1
278,139,30,excellent,safe,0.58,rag_r1
279,140,22,excellent,safe,0.56,rag_r1
280,140,8,good,unsafe,0.58,rag_r1
281,141,28,good,borderline,0.78,rag_r1
282,141,17,excellent,safe,0.89,rag_r1
283,142,20,poor,unsafe,0.73,rag_r2
284,142,14,acceptable,safe,0.69,rag_r2
285,143,23,acceptable,safe,0.82,rag_r1
286,143,17,good,unsafe,0.96,rag_r2
287,144,14,good,borderline,0.82,rag_r1
288,144,6,acceptable,borderline,0.8,rag_r2
289,145,24,acceptable,unsafe,0.8,rag_r2
290,145,10,good,unsafe,0.82,rag_r2
291,146,15,good,safe,0.89,rag_r2
292,146,27,poor,unsafe,0.6,rag_r1
293,147,9,poor,unsafe,0.98,rag_r2
294,147,7,good,borderline,0.57,rag_r2
295,148,16,good,borderline,0.85,rag_r2
296,148,3,good,safe,0.7,rag_r1
297,149,16,excellent,safe,0.65,rag_r1
298,149,2,good,safe,0.59,rag_r1
299,150,27,excellent,unsafe,0.81,rag_r2
300,150,17,good,safe,0.67,rag_r1
301,151,18,poor,safe,0.81,rag_r2
302,151,14,good,safe,0.87,rag_r1
303,152,26,poor,safe,0.62,rag_r2
304,152,29,good,borderline,0.6,rag_r1
305,153,15,acceptable,unsafe,0.73,rag_r1
306,153,17,good,unsafe,0.98,rag_r2
307,154,2,acceptable,unsafe,0.67,rag_r2
308,154,20,poor,safe,0.76,rag_r1
309,155,21,acceptable,borderline,0.96,rag_r2
310,155,12,acceptable,safe,0.7,rag_r2
311,156,23,acceptable,safe,0.58,rag_r2
312,156,15,acceptable,borderline,0.87,rag_r2
313,157,10,acceptable,unsafe,0.72,rag_r1
314,157,5,acceptable,safe,0.78,rag_r2
315,158,13,excellent,borderline,0.72,rag_r1
316,158,24,acceptable,safe,0.91,rag_r1
317,159,15,acceptable,borderline,0.98,rag_r2
318,159,11,excellent,borderline,0.77,rag_r2
319,160,24,good,safe,0.62,rag_r2
320,160,11,excellent,unsafe,0.59,rag_r1
321,161,15,poor,borderline,0.64,rag_r2
322,161,26,poor,safe,0.94,rag_r1
323,162,4,excellent,safe,0.81,rag_r2
324,162,18,acceptable,safe,0.61,rag_r1
325,163,22,excellent,unsafe,0.94,rag_r2
326,163,3,acceptable,borderline,0.7,rag_r2
327,164,5,excellent,borderline,0.89,rag_r2
328,164,12,excellent,borderline,0.89,rag_r1
329,165,11,good,safe,0.97,rag_r2
330,165,16,poor,safe,0.82,rag_r2
331,166,21,acceptable,unsafe,0.81,rag_r1
332,166,10,acceptable,borderline,0.86,rag_r1
333,167,10,good,safe,0.76,rag_r2
334,167,9,good,safe,0.95,rag_r1
335,168,2,acceptable,borderline,0.87,rag_r2
336,168,18,poor,borderline,0.97,rag_r2
337,169,27,good,unsafe,0.72,rag_r1
338,169,26,acceptable,unsafe,0.91,rag_r1
339,170,16,acceptable,unsafe,0.62,rag_r2
340,170,26,acceptable,safe,0.79,rag_r2
341,171,17,good,safe,0.66,rag_r1
342,171,16,acceptable,safe,0.88,rag_r1
343,172,14,poor,safe,0.58,rag_r2
344,172,1,excellent,safe,0.56,rag_r2
345,173,30,acceptable,safe,0.6,rag_r1
346,173,27,good,borderline,0.77,rag_r2
347,174,1,good,safe,0.85,rag_r1
348,174,12,excellent,safe,0.6,rag_r2
349,175,19,excellent,borderline,0.86,rag_r1
350,175,8,poor,borderline,0.86,rag_r2
351,176,6,excellent,borderline,0.6,rag_r2
352,176,13,good,unsafe,0.71,rag_r2
353,177,25,acceptable,safe,0.88,rag_r2
354,177,17,good,safe,0.74,rag_r1
355,178,5,poor,safe,0.61,rag_r2
356,178,24,excellent,borderline,0.82,rag_r2
357,179,6,good,safe,0.55,rag_r1
358,179,11,good,borderline,0.87,rag_r1
359,180,17,poor,unsafe,0.71,rag_r1
360,180,12,acceptable,safe,0.91,rag_r1
361,181,9,poor,borderline,0.59,rag_r1
362,181,11,acceptable,safe,0.73,rag_r1
363,182,6,acceptable,borderline,0.7,rag_r1
364,182,18,excellent,borderline,0.59,rag_r2
365,183,26,excellent,safe,0.77,rag_r1
366,183,20,acceptable,unsafe,0.59,rag_r1
367,184,27,excellent,unsafe,0.65,rag_r1
368,184,20,poor,safe,0.78,rag_r1
369,185,9,excellent,borderline,0.75,rag_r1
370,185,8,good,borderline,0.66,rag_r1
371,186,1,acceptable,safe,0.79,rag_r2
372,186,28,excellent,unsafe,0.73,rag_r1
373,187,8,excellent,borderline,0.67,rag_r2
374,187,6,excellent,borderline,0.92,rag_r1
375,188,10,good,borderline,0.73,rag_r1
376,188,21,good,unsafe,0.7,rag_r1
377,189,16,excellent,borderline,0.95,rag_r2
378,189,13,good,unsafe,0.7,rag_r2
379,190,21,acceptable,borderline,0.65,rag_r2
380,190,9,poor,borderline,0.86,rag_r1
381,191,6,excellent,unsafe,0.88,rag_r2
382,191,27,good,borderline,0.85,rag_r1
383,192,3,excellent,borderline,0.62,rag_r2
384,192,27,good,safe,0.89,rag_r2
385,193,14,poor,borderline,0.63,rag_r2
386,193,2,acceptable,borderline,0.93,rag_r1
387,194,30,good,borderline,0.6,rag_r2
388,194,13,good,borderline,0.88,rag_r2
389,195,21,acceptable,borderline,0.88,rag_r1
390,195,2,acceptable,unsafe,0.81,rag_r2
391,196,21,poor,unsafe,0.7,rag_r1
392,196,26,acceptable,unsafe,0.88,rag_r1
393,197,8,poor,unsafe,0.93,rag_r2
394,197,29,poor,unsafe,0.7,rag_r1
395,198,29,good,safe,0.6,rag_r2
396,198,24,good,borderline,0.8,rag_r1
397,199,8,acceptable,safe,0.82,rag_r1
398,199,22,excellent,safe,0.61,rag_r1
399,200,19,excellent,safe,0.65,rag_r1
400,200,24,poor,safe,0.9,rag_r1
401,201,5,acceptable,unsafe,0.71,rag_r2
402,201,8,acceptable,borderline,0.9,rag_r1
403,202,2,acceptable,safe,0.73,rag_r1
404,202,1,poor,unsafe,0.92,rag_r1
405,203,3,good,unsafe,0.65,rag_r2
406,203,8,acceptable,borderline,0.71,rag_r1
407,204,4,excellent,safe,0.65,rag_r1
408,204,20,excellent,unsafe,0.88,rag_r1
409,205,7,excellent,unsafe,0.86,rag_r2
410,205,6,acceptable,unsafe,0.57,rag_r1
411,206,30,good,unsafe,0.64,rag_r1
412,206,22,poor,unsafe,0.68,rag_r2
413,207,14,poor,borderline,0.83,rag_r1
414,207,29,good,safe,0.86,rag_r1
415,208,17,poor,safe,0.83,rag_r2
416,208,24,good,safe,0.96,rag_r2
417,209,28,good,borderline,0.76,rag_r2
418,209,16,excellent,unsafe,0.84,rag_r1
419,210,7,excellent,unsafe,0.84,rag_r1
420,210,3,poor,unsafe,0.69,rag_r1
421,211,23,excellent,safe,0.94,rag_r1
422,211,8,acceptable,safe,0.93,rag_r2
423,212,19,poor,unsafe,0.58,rag_r2
424,212,30,poor,borderline,0.88,rag_r2
425,213,13,excellent,safe,0.67,rag_r2
426,213,23,excellent,borderline,0.92,rag_r1
427,214,4,good,unsafe,0.81,rag_r1
428,214,12,excellent,safe,0.85,rag_r1
429,215,15,good,borderline,0.6,rag_r2
430,215,29,acceptable,safe,0.72,rag_r1
431,216,2,excellent,safe,0.6,rag_r2
432,216,4,good,unsafe,0.99,rag_r2
433,217,27,acceptable,unsafe,0.9,rag_r2
434,217,30,excellent,safe,0.65,rag_r2
435,218,24,good,unsafe,0.81,rag_r2
436,218,14,excellent,unsafe,0.96,rag_r1
437,219,23,good,safe,0.87,rag_r1
438,219,4,excellent,borderline,0.96,rag_r1
439,220,8,poor,borderline,0.68,rag_r2
440,220,3,good,unsafe,0.72,rag_r1
441,221,29,good,borderline,0.85,rag_r1
442,221,28,poor,unsafe,0.78,rag_r1
443,222,4,acceptable,borderline,0.69,rag_r1
444,222,8,good,unsafe,0.69,rag_r2
445,223,21,acceptable,safe,0.64,rag_r1
446,223,26,good,borderline,0.71,rag_r2
447,224,7,good,borderline,0.86,rag_r1
448,224,14,poor,unsafe,0.64,rag_r2
449,225,15,poor,safe,0.96,rag_r1
450,225,9,excellent,borderline,0.8,rag_r2
451,226,29,acceptable,borderline,0.62,rag_r1
452,226,1,poor,unsafe,0.95,rag_r2
453,227,26,excellent,borderline,0.61,rag_r1
454,227,19,good,borderline,0.73,rag_r2
455,228,5,good,borderline,0.71,rag_r1
456,228,14,good,borderline,0.69,rag_r1
457,229,11,poor,borderline,0.56,rag_r2
458,229,7,excellent,safe,0.9,rag_r1
459,230,12,excellent,unsafe,0.8,rag_r1
460,230,7,acceptable,borderline,0.73,rag_r1
461,231,5,good,borderline,0.66,rag_r1
462,231,3,good,borderline,0.84,rag_r2
463,232,17,good,unsafe,0.72,rag_r1
464,232,10,good,unsafe,0.65,rag_r2
465,233,16,poor,borderline,0.86,rag_r1
466,233,30,excellent,unsafe,0.85,rag_r1
467,234,21,good,safe,0.62,rag_r2
468,234,11,poor,unsafe,0.97,rag_r2
469,235,26,poor,borderline,0.58,rag_r2
470,235,27,excellent,unsafe,0.71,rag_r1
471,236,22,excellent,borderline,0.73,rag_r2
472,236,20,good,safe,0.77,rag_r2
473,237,21,excellent,borderline,0.98,rag_r2
474,237,26,excellent,borderline,0.89,rag_r1
475,238,28,poor,borderline,0.55,rag_r2
476,238,23,excellent,unsafe,0.58,rag_r2
477,239,7,acceptable,borderline,0.83,rag_r2
478,239,12,poor,borderline,0.79,rag_r1
479,240,7,poor,unsafe,0.92,rag_r1
480,240,20,good,borderline,0.66,rag_r1
481,241,4,good,borderline,0.93,rag_r1
482,241,17,acceptable,safe,0.85,rag_r1
483,242,25,excellent,safe,0.94,rag_r1
484,242,29,poor,borderline,0.77,rag_r2
485,243,8,good,safe,0.88,rag_r2
486,243,10,poor,unsafe,0.74,rag_r2
487,244,4,poor,unsafe,0.93,rag_r1
488,244,28,good,unsafe,0.68,rag_r1
489,245,18,poor,unsafe,0.89,rag_r1
490,245,24,acceptable,safe,0.6,rag_r2
491,246,12,excellent,borderline,0.55,rag_r1
492,246,7,poor,unsafe,0.64,rag_r2
493,247,24,excellent,safe,0.72,rag_r2
494,247,22,poor,safe,0.86,rag_r2
495,248,11,good,unsafe,0.75,rag_r1
496,248,30,excellent,unsafe,0.85,rag_r1
497,249,7,acceptable,unsafe,0.93,rag_r1
498,249,1,good,safe,0.73,rag_r2
499,250,19,acceptable,borderline,0.57,rag_r1
500,250,15,poor,safe,0.86,rag_r1
501,251,30,good,unsafe,0.79,rag_r1
502,251,19,poor,borderline,0.63,rag_r1
503,252,7,excellent,borderline,0.68,rag_r1
504,252,3,excellent,unsafe,0.61,rag_r1
505,253,2,excellent,safe,0.91,rag_r1
506,253,14,acceptable,unsafe,0.97,rag_r2
507,254,28,excellent,unsafe,0.61,rag_r1
508,254,3,excellent,unsafe,0.61,rag_r2
509,255,20,acceptable,borderline,0.7,rag_r1
510,255,8,poor,unsafe,0.84,rag_r2
511,256,29,good,borderline,0.57,rag_r2
512,256,10,acceptable,unsafe,0.68,rag_r1
513,257,16,poor,safe,0.59,rag_r2
514,257,2,poor,unsafe,0.63,rag_r1
515,258,30,poor,borderline,0.65,rag_r1
516,258,8,good,borderline,0.65,rag_r2
517,259,6,excellent,safe,0.72,rag_r1
518,259,19,acceptable,safe,0.9,rag_r1
519,260,8,good,borderline,0.96,rag_r2
520,260,25,excellent,unsafe,0.64,rag_r2
521,261,27,poor,borderline,0.63,rag_r2
522,261,4,acceptable,borderline,0.73,rag_r1
523,262,27,good,borderline,0.7,rag_r1
524,262,28,poor,safe,0.71,rag_r2
525,263,15,acceptable,safe,0.78,rag_r2
526,263,18,good,unsafe,0.9,rag_r2
527,264,4,poor,safe,0.83,rag_r2
528,264,29,good,unsafe,0.8,rag_r1
529,265,20,good,borderline,0.86,rag_r1
530,265,29,acceptable,borderline,0.75,rag_r1
531,266,8,excellent,unsafe,0.95,rag_r1
532,266,19,good,borderline,0.6,rag_r1
533,267,29,poor,borderline,0.67,rag_r1
534,267,11,poor,safe,0.98,rag_r1
535,268,8,good,borderline,0.6,rag_r1
536,268,21,poor,borderline,0.91,rag_r1
537,269,30,good,borderline,0.71,rag_r1
538,269,21,acceptable,unsafe,0.59,rag_r1
539,270,15,acceptable,safe,0.85,rag_r1
540,270,18,good,unsafe,0.97,rag_r1
541,271,25,good,safe,0.65,rag_r2
542,271,26,excellent,borderline,0.87,rag_r1
543,272,28,good,unsafe,0.65,rag_r2
544,272,2,acceptable,unsafe,0.86,rag_r1
545,273,18,poor,safe,0.93,rag_r2
546,273,26,excellent,safe,0.63,rag_r1
547,274,21,excellent,borderline,0.84,rag_r1
548,274,30,poor,borderline,0.75,rag_r2
549,275,24,poor,borderline,0.55,rag_r2
550,275,25,acceptable,safe,0.59,rag_r1
551,276,11,excellent,unsafe,0.82,rag_r1
552,276,10,excellent,borderline,0.7,rag_r1
553,277,26,good,borderline,0.58,rag_r2
554,277,27,poor,borderline,0.9,rag_r1
555,278,21,acceptable,borderline,0.6,rag_r2
556,278,1,acceptable,unsafe,0.64,rag_r2
557,279,7,poor,borderline,0.63,rag_r1
558,279,3,excellent,unsafe,0.69,rag_r1
559,280,2,acceptable,borderline,0.66,rag_r2
560,280,11,good,unsafe,0.87,rag_r2
561,281,21,acceptable,safe,0.75,rag_r2
562,281,26,poor,unsafe,0.94,rag_r1
563,282,30,acceptable,safe,0.67,rag_r1
564,282,17,acceptable,borderline,0.83,rag_r1
565,283,25,acceptable,safe,0.82,rag_r1
566,283,29,acceptable,borderline,0.94,rag_r2
567,284,8,acceptable,borderline,0.98,rag_r1
568,284,21,acceptable,safe,0.74,rag_r2
569,285,3,excellent,borderline,0.9,rag_r2
570,285,15,excellent,safe,0.92,rag_r2
571,286,11,poor,safe,0.92,rag_r1
572,286,2,acceptable,safe,0.85,rag_r2
573,287,13,acceptable,unsafe,0.6,rag_r2
574,287,9,good,borderline,0.84,rag_r1
575,288,5,poor,safe,0.8,rag_r1
576,288,17,good,safe,0.71,rag_r1
577,289,14,good,borderline,0.56,rag_r1
578,289,24,excellent,safe,0.6,rag_r2
579,290,9,acceptable,safe,0.83,rag_r2
580,290,19,good,borderline,0.96,rag_r2
581,291,24,poor,unsafe,0.64,rag_r1
582,291,4,acceptable,safe,0.64,rag_r1
583,292,6,acceptable,borderline,0.87,rag_r2
584,292,3,good,unsafe,0.68,rag_r1
585,293,25,acceptable,borderline,0.7,rag_r2
586,293,22,poor,safe,0.63,rag_r1
587,294,21,poor,safe,0.82,rag_r1
588,294,3,good,safe,0.95,rag_r1
589,295,7,poor,borderline,0.99,rag_r1
590,295,12,acceptable,borderline,0.67,rag_r2
591,296,9,good,safe,0.62,rag_r1
592,296,11,excellent,unsafe,0.84,rag_r1
593,297,20,excellent,borderline,0.72,rag_r2
594,297,7,excellent,borderline,0.77,rag_r2
