query_id,language,query_type,gold_doc_id,difficulty,created_at
126,ja,comparison,343,hard,2026-05-03T20:19
127,en,fact,336,hard,2026-05-02T20:28
128,fr,fact,397,easy,2026-04-19T19:25
129,fr,procedure,205,hard,2026-04-01T22:07
130,ja,procedure,25,easy,2026-05-06T14:57
131,ja,safety,191,medium,2026-06-05T12:15
132,he,procedure,400,easy,2026-05-06T17:41
133,fr,long_tail,186,easy,2026-04-02T06:25
134,de,fact,111,medium,2026-05-13T13:13
135,en,long_tail,253,hard,2026-05-22T05:11
136,fr,comparison,457,easy,2026-04-07T10:59
137,fr,fact,66,medium,2026-05-08T00:27
138,he,procedure,344,easy,2026-05-05T23:09
139,he,procedure,104,medium,2026-05-19T05:55
140,de,comparison,365,easy,2026-05-18T06:02
141,he,long_tail,303,hard,2026-04-08T15:14
142,en,comparison,189,easy,2026-04-28T08:11
143,en,safety,218,medium,2026-05-02T17:11
144,fr,long_tail,84,easy,2026-04-13T10:57
145,en,procedure,3,easy,2026-06-07T09:24
146,he,comparison,192,easy,2026-05-21T07:21
147,de,fact,389,medium,2026-05-01T19:26
148,de,comparison,109,hard,2026-05-29T07:48
149,es,safety,87,medium,2026-04-18T02:17
150,fr,procedure,153,medium,2026-05-08T16:05
151,he,fact,30,medium,2026-04-21T15:23
152,ja,safety,331,hard,2026-05-26T17:30
153,es,long_tail,402,medium,2026-04-06T03:14
154,en,long_tail,136,hard,2026-05-08T03:17
155,es,comparison,138,easy,2026-06-04T17:22
156,he,fact,153,medium,2026-04-04T00:28
157,fr,long_tail,227,hard,2026-05-24T02:05
158,es,procedure,388,easy,2026-04-05T13:58
159,de,procedure,416,hard,2026-04-03T11:11
160,he,fact,188,easy,2026-04-22T06:35
161,ja,procedure,276,easy,2026-05-06T21:58
162,ja,fact,98,easy,2026-05-06T13:48
163,de,procedure,200,hard,2026-06-08T03:00
164,de,safety,244,medium,2026-04-02T12:15
165,he,procedure,239,medium,2026-05-19T19:11
166,fr,long_tail,220,medium,2026-05-08T13:01
167,es,comparison,59,medium,2026-04-12T13:55
168,en,comparison,136,hard,2026-05-30T23:08
169,de,fact,429,hard,2026-05-22T17:42
170,es,safety,241,medium,2026-04-18T00:57
171,en,fact,106,hard,2026-05-07T07:44
172,he,long_tail,156,easy,2026-04-13T02:56
173,en,long_tail,424,medium,2026-05-23T11:29
174,es,comparison,143,medium,2026-05-14T02:21
175,ja,fact,93,hard,2026-05-23T23:23
176,en,comparison,348,easy,2026-04-05T12:18
177,ja,fact,162,easy,2026-05-23T10:52
178,en,long_tail,162,medium,2026-04-16T22:36
179,de,safety,429,medium,2026-06-05T04:35
180,es,comparison,191,medium,2026-04-08T18:43
181,he,procedure,270,hard,2026-05-26T11:06
182,ja,safety,424,hard,2026-04-10T21:19
183,en,procedure,420,easy,2026-05-05T18:36
184,fr,procedure,354,hard,2026-04-05T19:28
185,he,long_tail,44,easy,2026-04-20T10:39
186,en,fact,274,easy,2026-04-11T00:24
187,es,fact,401,easy,2026-05-29T18:12
188,ja,comparison,115,medium,2026-04-21T20:00
189,he,comparison,96,hard,2026-05-22T03:46
190,en,procedure,177,medium,2026-04-23T18:34
191,en,long_tail,160,easy,2026-05-16T21:36
192,he,long_tail,131,easy,2026-05-05T11:27
193,fr,long_tail,485,medium,2026-06-07T02:31
194,en,long_tail,383,hard,2026-05-16T01:29
195,ja,fact,136,medium,2026-05-07T10:19
196,ja,fact,16,easy,2026-06-05T20:18
197,es,comparison,489,medium,2026-04-19T07:24
198,en,safety,156,hard,2026-04-27T06:03
199,en,comparison,259,medium,2026-06-09T08:26
200,ja,fact,491,hard,2026-05-27T20:11
201,ja,procedure,37,medium,2026-05-25T02:56
202,de,long_tail,386,hard,2026-04-11T16:33
203,en,safety,354,medium,2026-04-22T19:05
204,de,long_tail,358,medium,2026-05-15T22:24
205,de,comparison,426,hard,2026-05-06T18:40
206,ja,fact,214,easy,2026-05-09T07:32
207,ja,safety,389,hard,2026-05-16T06:47
208,ja,procedure,27,easy,2026-05-16T02:08
209,he,procedure,411,hard,2026-04-05T11:34
210,fr,fact,121,medium,2026-05-25T16:40
211,fr,safety,350,hard,2026-06-02T09:05
212,de,fact,121,easy,2026-06-08T23:43
213,es,fact,72,easy,2026-05-31T15:27
214,de,fact,386,hard,2026-06-03T22:59
215,de,procedure,278,hard,2026-05-26T00:05
216,es,safety,25,hard,2026-04-14T14:33
217,en,fact,79,easy,2026-04-27T08:39
218,en,procedure,278,medium,2026-05-20T22:33
219,fr,safety,184,easy,2026-05-19T02:39
220,de,fact,332,hard,2026-04-09T21:06
221,de,comparison,410,easy,2026-05-18T05:24
222,es,fact,337,easy,2026-04-09T12:33
223,es,safety,63,easy,2026-05-16T19:17
224,fr,fact,310,hard,2026-04-07T07:36
225,ja,procedure,472,medium,2026-04-17T06:19
226,de,long_tail,354,hard,2026-04-09T16:55
227,es,long_tail,356,medium,2026-05-23T19:47
228,he,procedure,487,easy,2026-06-02T04:07
229,es,procedure,73,easy,2026-06-06T14:01
230,he,safety,368,hard,2026-04-17T17:45
231,he,comparison,224,easy,2026-06-06T13:19
232,es,fact,83,hard,2026-06-04T06:03
233,fr,comparison,330,medium,2026-04-16T13:15
234,de,safety,124,hard,2026-05-01T21:13
235,ja,procedure,352,hard,2026-04-24T13:17
236,fr,safety,131,hard,2026-05-30T04:29
237,en,fact,390,easy,2026-05-09T06:34
238,he,procedure,387,medium,2026-04-20T23:24
239,he,fact,148,easy,2026-05-08T10:29
240,he,fact,319,easy,2026-05-14T09:32
241,he,safety,474,hard,2026-05-24T21:19
242,es,procedure,313,hard,2026-05-07T00:54
243,de,comparison,290,medium,2026-04-18T03:51
244,he,long_tail,491,hard,2026-04-09T09:55
245,fr,fact,167,hard,2026-05-19T04:35
246,en,procedure,247,easy,2026-04-02T13:46
247,de,safety,112,hard,2026-04-10T20:59
248,fr,fact,131,easy,2026-04-29T14:54
249,es,long_tail,206,easy,2026-04-19T15:41
250,en,procedure,408,medium,2026-04-23T18:28
251,fr,comparison,28,easy,2026-04-22T22:50
252,ja,long_tail,100,hard,2026-04-30T01:02
253,es,comparison,226,hard,2026-05-24T19:25
254,fr,fact,461,hard,2026-04-04T09:09
255,fr,procedure,239,medium,2026-06-06T04:07
256,de,safety,97,easy,2026-04-06T07:29
257,fr,long_tail,422,easy,2026-04-09T12:23
258,en,comparison,273,easy,2026-05-29T05:31
259,en,long_tail,100,easy,2026-05-29T18:34
260,ja,procedure,67,hard,2026-06-08T14:28
261,ja,comparison,390,medium,2026-04-27T19:10
262,de,safety,145,medium,2026-04-13T16:49
263,en,safety,352,hard,2026-05-13T08:34
264,de,procedure,169,medium,2026-04-19T01:50
265,ja,comparison,152,hard,2026-05-27T03:01
266,ja,safety,466,hard,2026-06-02T05:08
267,es,long_tail,443,easy,2026-06-03T04:50
268,en,long_tail,310,hard,2026-05-11T20:04
269,ja,safety,254,hard,2026-06-01T20:51
270,he,safety,363,easy,2026-04-19T06:54
271,fr,comparison,445,easy,2026-04-24T14:35
272,es,fact,221,easy,2026-05-20T22:38
273,es,procedure,453,medium,2026-04-21T22:01
274,fr,comparison,135,easy,2026-04-22T08:15
275,he,procedure,257,medium,2026-04-22T17:09
276,he,procedure,182,hard,2026-04-08T06:56
277,ja,procedure,313,easy,2026-06-06T10:34
278,he,long_tail,64,easy,2026-06-02T15:34
279,de,comparison,150,easy,2026-04-27T18:33
280,en,fact,420,medium,2026-05-22T12:33
281,he,procedure,325,hard,2026-04-15T12:13
282,de,long_tail,69,medium,2026-06-04T22:54
283,ja,fact,48,medium,2026-05-28T16:17
284,de,comparison,346,easy,2026-05-05T19:15
285,de,fact,411,easy,2026-04-16T17:03
286,fr,procedure,239,easy,2026-06-03T08:47
287,he,safety,12,hard,2026-06-09T06:26
288,es,long_tail,283,medium,2026-06-02T15:54
289,de,comparison,107,hard,2026-06-06T23:56
290,fr,safety,482,easy,2026-06-08T21:41
291,ja,procedure,340,hard,2026-04-05T22:35
292,ja,procedure,208,hard,2026-05-31T12:49
293,es,comparison,327,hard,2026-04-01T21:09
294,es,procedure,25,easy,2026-06-02T19:20
295,es,comparison,185,hard,2026-05-22T12:13
296,fr,fact,22,hard,2026-04-13T08:45
297,en,safety,177,medium,2026-06-01T13:11
298,en,comparison,482,hard,2026-06-09T08:57
299,fr,safety,196,hard,2026-05-31T13:25
300,he,safety,175,hard,2026-05-11T08:38
301,fr,fact,230,hard,2026-04-07T07:16
302,es,comparison,475,hard,2026-04-01T06:21
303,de,long_tail,230,easy,2026-04-11T11:36
304,en,long_tail,499,easy,2026-04-01T05:39
305,de,procedure,171,medium,2026-05-06T20:23
306,ja,fact,382,hard,2026-05-20T01:46
307,es,safety,257,medium,2026-05-11T07:11
308,ja,procedure,40,medium,2026-04-23T06:59
309,he,procedure,106,medium,2026-05-03T19:30
310,fr,comparison,354,hard,2026-05-04T09:52
311,es,procedure,251,medium,2026-04-12T13:44
312,de,safety,126,medium,2026-04-17T14:53
313,ja,safety,491,easy,2026-05-10T17:32
314,en,fact,38,easy,2026-06-05T12:26
315,ja,comparison,299,medium,2026-05-17T22:26
316,es,fact,410,easy,2026-05-25T10:41
317,es,procedure,223,medium,2026-06-04T01:58
318,es,procedure,166,medium,2026-06-06T10:24
319,ja,comparison,445,medium,2026-06-01T01:02
320,ja,procedure,385,medium,2026-05-02T21:43
321,fr,procedure,382,medium,2026-05-21T10:55
322,ja,procedure,241,medium,2026-05-05T16:09
323,de,fact,119,medium,2026-05-23T00:18
324,es,fact,108,medium,2026-04-25T03:35
325,ja,procedure,132,medium,2026-05-04T01:00
326,de,comparison,58,medium,2026-04-05T03:29
327,es,safety,183,easy,2026-05-19T22:14
328,ja,safety,2,medium,2026-05-02T12:23
329,he,long_tail,494,hard,2026-05-29T16:37
330,es,comparison,194,medium,2026-05-02T21:14
331,ja,long_tail,210,hard,2026-05-01T14:36
332,fr,procedure,192,hard,2026-05-26T20:07
333,de,safety,173,easy,2026-06-06T00:48
334,fr,safety,89,hard,2026-04-17T01:16
335,fr,comparison,187,medium,2026-05-24T11:45
336,en,safety,205,easy,2026-04-03T13:04
337,fr,procedure,331,easy,2026-04-16T16:06
338,es,procedure,52,medium,2026-04-02T23:58
339,fr,comparison,216,medium,2026-05-23T22:14
340,es,fact,439,medium,2026-05-07T23:51
341,he,procedure,292,easy,2026-04-12T06:29
342,he,long_tail,317,easy,2026-05-02T22:37
343,he,comparison,468,medium,2026-05-30T20:24
344,he,procedure,423,medium,2026-05-03T13:42
345,en,long_tail,73,easy,2026-05-05T18:23
346,fr,comparison,90,easy,2026-06-06T18:49
347,ja,safety,223,hard,2026-05-03T21:28
348,es,procedure,207,medium,2026-04-22T19:29
349,es,comparison,367,hard,2026-04-23T10:07
350,es,fact,351,hard,2026-04-20T14:32
351,he,comparison,442,hard,2026-04-25T15:19
352,he,fact,117,medium,2026-04-09T03:15
353,en,procedure,47,hard,2026-05-08T13:19
354,fr,long_tail,215,hard,2026-06-02T11:31
355,fr,fact,420,hard,2026-05-10T19:05
356,de,safety,356,hard,2026-04-22T18:09
357,he,safety,337,hard,2026-04-07T12:46
358,en,procedure,474,medium,2026-05-24T05:34
359,en,procedure,274,medium,2026-05-10T05:33
360,ja,fact,415,hard,2026-04-12T09:31
361,es,comparison,410,hard,2026-04-11T04:27
362,ja,procedure,218,hard,2026-04-25T23:48
363,fr,procedure,126,easy,2026-05-03T21:57
364,fr,long_tail,340,medium,2026-04-03T07:33
365,he,fact,465,hard,2026-04-23T13:59
366,de,safety,76,hard,2026-05-29T07:48
367,es,comparison,358,medium,2026-05-15T03:11
368,de,comparison,367,easy,2026-05-09T22:49
369,es,procedure,87,easy,2026-05-19T14:53
370,ja,fact,96,medium,2026-04-24T19:21
371,es,comparison,306,medium,2026-05-18T18:05
372,de,procedure,303,medium,2026-05-14T16:54
373,fr,comparison,224,medium,2026-06-07T05:37
374,he,long_tail,410,hard,2026-05-20T07:07
375,en,long_tail,232,easy,2026-06-07T21:52
376,es,long_tail,380,hard,2026-05-24T04:45
377,he,comparison,494,easy,2026-05-26T23:56
378,en,comparison,491,medium,2026-04-30T23:30
379,ja,safety,434,easy,2026-06-05T09:30
380,es,long_tail,483,medium,2026-04-26T20:54
381,en,comparison,324,easy,2026-05-12T18:48
382,es,procedure,38,easy,2026-05-28T19:24
383,ja,comparison,150,easy,2026-05-16T01:39
384,en,comparison,61,hard,2026-04-13T11:13
385,he,safety,230,medium,2026-04-17T12:36
386,fr,safety,222,easy,2026-06-04T20:25
387,es,procedure,109,easy,2026-05-06T18:20
388,de,fact,158,easy,2026-04-18T04:45
389,ja,safety,248,hard,2026-05-11T11:57
390,fr,safety,212,hard,2026-04-24T08:57
391,es,comparison,38,hard,2026-06-06T10:05
392,en,long_tail,443,hard,2026-05-12T15:14
393,de,procedure,142,medium,2026-04-04T04:39
394,he,fact,89,easy,2026-04-22T17:07
395,de,procedure,118,medium,2026-04-10T00:25
396,en,comparison,219,medium,2026-05-23T22:23
397,ja,long_tail,433,easy,2026-05-02T05:18
398,en,safety,141,medium,2026-04-20T12:58
399,de,fact,351,medium,2026-05-03T16:26
400,he,long_tail,339,hard,2026-04-04T17:20
401,en,safety,279,easy,2026-04-22T11:23
402,en,safety,234,easy,2026-05-04T14:44
403,he,long_tail,313,hard,2026-04-25T17:05
404,es,procedure,14,medium,2026-05-17T03:18
405,es,safety,107,easy,2026-04-21T18:24
406,fr,procedure,7,medium,2026-06-06T23:32
407,ja,long_tail,22,medium,2026-05-08T16:42
408,es,safety,325,hard,2026-05-23T15:08
409,ja,procedure,378,easy,2026-04-05T16:25
410,es,safety,57,hard,2026-04-18T19:22
411,fr,fact,145,hard,2026-04-06T00:02
412,fr,fact,13,medium,2026-04-12T23:08
413,es,long_tail,351,medium,2026-04-23T08:30
414,es,comparison,67,easy,2026-04-23T03:21
415,fr,long_tail,460,medium,2026-05-22T14:26
416,he,comparison,156,medium,2026-04-09T00:48
417,en,procedure,253,hard,2026-04-08T23:09
418,es,long_tail,194,easy,2026-04-28T17:08
419,en,procedure,92,hard,2026-04-29T08:18
420,fr,long_tail,11,easy,2026-05-28T12:14
421,en,safety,147,medium,2026-05-20T05:22
422,fr,fact,260,medium,2026-04-12T13:37
423,he,safety,41,easy,2026-05-19T09:34
424,es,safety,135,hard,2026-05-03T06:00
425,en,procedure,340,medium,2026-04-24T07:34
426,en,procedure,244,hard,2026-05-02T14:29
427,de,fact,225,hard,2026-04-29T02:01
428,es,fact,88,medium,2026-06-08T18:43
429,en,fact,469,hard,2026-05-16T23:11
430,de,fact,319,easy,2026-05-30T10:54
431,he,long_tail,150,hard,2026-04-21T01:20
432,he,long_tail,204,easy,2026-04-20T09:00
433,en,safety,388,easy,2026-06-05T05:45
434,fr,fact,489,medium,2026-04-02T03:24
435,fr,long_tail,277,hard,2026-05-07T02:14
436,de,comparison,131,medium,2026-05-06T23:47
437,es,long_tail,101,hard,2026-04-10T13:48
438,he,procedure,233,medium,2026-04-23T23:24
439,en,procedure,325,medium,2026-05-10T13:24
440,ja,fact,190,hard,2026-05-14T08:17
441,ja,fact,390,easy,2026-04-23T16:35
442,he,long_tail,89,hard,2026-04-18T06:22
443,ja,fact,466,hard,2026-05-04T15:14
444,en,long_tail,286,medium,2026-05-26T15:22
445,he,safety,90,hard,2026-05-05T10:49
446,de,safety,449,medium,2026-05-14T14:58
447,ja,long_tail,398,easy,2026-05-09T09:54
448,es,long_tail,17,easy,2026-05-05T13:04
449,es,comparison,10,medium,2026-04-19T03:59
450,fr,comparison,455,medium,2026-05-17T05:31
451,ja,long_tail,163,easy,2026-06-02T17:03
452,ja,safety,201,easy,2026-04-16T00:31
453,he,comparison,75,hard,2026-06-07T04:01
454,en,fact,467,easy,2026-06-05T20:53
455,fr,comparison,7,medium,2026-05-16T16:25
456,he,procedure,335,easy,2026-05-21T23:00
457,fr,long_tail,175,easy,2026-05-02T20:33
458,es,comparison,492,easy,2026-04-19T10:50
459,en,long_tail,6,hard,2026-04-18T01:08
460,ja,comparison,348,hard,2026-05-20T06:59
461,he,procedure,79,medium,2026-05-20T23:33
462,de,long_tail,46,easy,2026-05-17T20:19
463,es,long_tail,288,hard,2026-05-02T21:34
464,ja,safety,42,easy,2026-05-18T00:04
465,ja,safety,9,medium,2026-04-03T18:05
466,ja,safety,175,medium,2026-05-02T14:45
467,de,long_tail,65,medium,2026-04-26T09:46
468,en,procedure,13,easy,2026-05-19T22:49
469,he,safety,332,hard,2026-04-28T00:29
470,ja,fact,171,easy,2026-04-18T23:38
471,ja,procedure,143,easy,2026-05-26T16:03
472,fr,long_tail,385,hard,2026-05-17T21:45
473,he,safety,447,medium,2026-04-22T20:36
474,es,fact,135,hard,2026-04-09T00:23
475,es,long_tail,141,medium,2026-05-11T22:55
476,ja,comparison,492,medium,2026-04-18T23:08
477,he,procedure,275,medium,2026-05-31T17:13
478,de,safety,484,easy,2026-05-10T17:39
479,de,fact,205,medium,2026-05-06T17:14
480,he,safety,35,easy,2026-04-18T01:37
481,en,long_tail,155,easy,2026-05-13T00:21
482,fr,fact,357,easy,2026-04-27T22:33
483,de,procedure,165,hard,2026-05-02T21:29
484,ja,comparison,482,medium,2026-04-18T02:34
485,es,fact,285,easy,2026-04-14T05:11
486,fr,safety,259,hard,2026-05-31T13:51
487,he,long_tail,479,easy,2026-04-16T00:29
488,fr,procedure,406,medium,2026-04-19T23:20
489,ja,fact,277,medium,2026-05-19T11:18
490,ja,comparison,134,easy,2026-05-22T05:15
491,he,long_tail,268,easy,2026-05-16T17:40
492,de,comparison,250,easy,2026-04-26T07:20
493,es,comparison,187,medium,2026-04-28T16:51
494,he,fact,416,hard,2026-04-25T20:52
495,he,comparison,298,hard,2026-04-01T01:38
496,de,comparison,392,easy,2026-05-22T01:29
497,de,procedure,42,easy,2026-05-16T12:06
498,es,procedure,146,medium,2026-04-19T21:00
499,de,procedure,19,hard,2026-06-04T23:07
500,en,fact,184,easy,2026-05-15T07:09
501,es,long_tail,55,medium,2026-04-07T00:02
502,de,fact,292,easy,2026-04-15T01:34
503,he,safety,209,easy,2026-04-11T13:27
504,de,comparison,231,medium,2026-05-12T00:12
505,es,long_tail,311,medium,2026-04-17T00:51
506,en,safety,398,hard,2026-06-02T10:06
507,ja,safety,385,easy,2026-06-01T14:40
508,fr,safety,282,medium,2026-05-04T11:03
509,fr,procedure,496,easy,2026-04-03T20:36
510,ja,safety,173,easy,2026-04-08T11:01
511,de,fact,203,easy,2026-04-19T21:09
512,de,safety,474,easy,2026-06-03T13:16
513,en,safety,317,medium,2026-06-06T06:52
514,en,safety,273,easy,2026-05-11T08:27
515,fr,fact,116,easy,2026-05-02T01:03
516,es,long_tail,341,medium,2026-04-07T12:04
517,he,safety,176,hard,2026-05-01T00:18
518,en,fact,121,easy,2026-04-23T12:43
519,en,long_tail,36,easy,2026-04-08T02:45
520,en,long_tail,311,easy,2026-04-11T00:04
521,en,fact,287,hard,2026-06-01T21:54
522,es,safety,293,easy,2026-04-21T13:59
523,he,long_tail,68,easy,2026-05-14T07:23
524,es,procedure,231,easy,2026-06-05T10:20
525,ja,procedure,287,hard,2026-05-24T19:06
526,de,fact,228,easy,2026-05-28T09:10
527,fr,comparison,53,easy,2026-04-09T07:46
528,es,fact,360,hard,2026-04-21T05:53
529,he,long_tail,491,easy,2026-04-09T02:07
530,he,safety,433,hard,2026-05-12T12:40
531,es,procedure,468,easy,2026-05-16T04:15
532,fr,fact,370,easy,2026-05-26T17:59
533,ja,fact,96,easy,2026-05-04T08:24
534,de,comparison,402,easy,2026-04-04T03:51
535,ja,procedure,145,easy,2026-05-05T21:12
536,de,long_tail,11,hard,2026-05-11T21:12
537,ja,comparison,75,hard,2026-05-24T00:46
538,ja,fact,12,easy,2026-04-14T02:52
539,he,long_tail,122,hard,2026-06-07T00:53
540,ja,safety,259,hard,2026-04-13T13:55
541,fr,procedure,419,easy,2026-04-18T03:17
542,en,safety,458,hard,2026-05-22T21:18
543,es,comparison,341,hard,2026-05-07T21:12
544,es,procedure,86,medium,2026-05-25T20:19
545,ja,long_tail,236,easy,2026-04-21T07:58
546,he,safety,44,hard,2026-04-10T01:19
547,de,safety,436,medium,2026-05-04T19:09
548,de,fact,140,hard,2026-06-08T11:04
549,de,long_tail,385,hard,2026-05-30T13:07
550,es,fact,408,medium,2026-06-07T21:15
551,en,comparison,289,hard,2026-04-22T12:45
552,de,procedure,432,hard,2026-05-18T16:48
553,de,safety,122,hard,2026-04-02T01:22
554,en,safety,123,easy,2026-06-01T21:47
555,he,comparison,404,hard,2026-05-13T02:05
556,ja,fact,61,hard,2026-06-01T15:07
557,es,long_tail,40,easy,2026-04-24T12:35
558,en,safety,181,medium,2026-04-22T04:32
559,de,fact,254,hard,2026-04-30T17:36
560,ja,comparison,87,hard,2026-04-10T00:13
561,es,fact,150,medium,2026-05-10T02:41
562,de,long_tail,39,medium,2026-05-06T11:11
563,de,fact,119,hard,2026-04-01T06:01
564,fr,fact,363,medium,2026-05-02T03:20
565,ja,comparison,287,easy,2026-06-04T02:25
566,en,safety,203,medium,2026-04-19T12:52
567,es,fact,203,hard,2026-05-19T14:45
568,es,fact,378,medium,2026-05-06T16:51
569,ja,procedure,3,medium,2026-06-06T10:20
570,es,fact,351,hard,2026-04-15T10:31
571,fr,long_tail,407,medium,2026-05-05T05:39
572,es,procedure,166,medium,2026-04-14T16:08
573,de,safety,425,medium,2026-05-13T21:50
574,en,comparison,446,hard,2026-05-31T19:33
575,en,safety,419,medium,2026-05-25T10:03
576,he,long_tail,270,medium,2026-04-29T17:06
577,fr,procedure,156,easy,2026-05-25T06:03
578,he,fact,88,medium,2026-04-07T10:49
