answer_id,query_id,model_version,faithful,answer_quality,abstained,citation_count,latency_ms,cost_usd
56,56,v3,1,4.25,0,3,1907,0.0611
57,57,v2,1,4.53,0,2,3183,0.1211
58,58,v3,1,5.0,0,3,3399,0.0888
59,59,v2,1,3.15,0,3,2042,0.1184
60,60,v3,1,3.94,0,4,2147,0.0717
61,61,v3,1,4.05,0,4,2112,0.1186
62,62,v3,1,2.59,0,1,1071,0.0586
63,63,v3,1,4.29,0,3,2279,0.0747
64,64,v2,0,2.41,0,3,3279,0.1321
65,65,v3,1,4.02,0,4,1089,0.0441
66,66,v2,1,2.63,0,1,701,0.1466
67,67,v3,0,2.35,0,4,1828,0.1186
68,68,v2,1,5.0,0,4,1668,0.1096
69,69,v2,1,4.9,0,1,2931,0.1379
70,70,v3,1,3.37,0,1,1679,0.1318
71,71,v2,1,3.92,1,2,1772,0.0227
72,72,v3,1,4.51,0,3,3179,0.0571
73,73,v2,1,4.89,0,0,3223,0.0777
74,74,v3,1,4.18,0,0,2459,0.0383
75,75,v2,1,4.67,0,3,621,0.0741
76,76,v3,0,2.85,0,0,2773,0.1455
77,77,v2,1,4.93,0,0,792,0.0841
78,78,v2,1,3.56,1,0,1667,0.1199
79,79,v3,1,3.16,0,1,1660,0.0629
80,80,v2,1,4.3,0,2,1510,0.0471
81,81,v3,1,3.66,0,2,1084,0.1014
82,82,v3,0,2.32,0,3,1931,0.1414
83,83,v3,1,3.95,0,0,732,0.1079
84,84,v3,1,5.0,0,1,603,0.0162
85,85,v2,1,3.95,0,3,2432,0.0631
86,86,v3,1,5.0,1,4,2529,0.0677
87,87,v3,1,4.08,0,4,1239,0.134
88,88,v2,1,4.43,0,1,1326,0.0789
89,89,v2,0,2.82,0,1,721,0.1413
90,90,v2,1,3.53,0,3,3201,0.1369
91,91,v2,1,5.0,0,2,3244,0.1079
92,92,v3,1,3.32,0,3,3425,0.0199
93,93,v3,1,4.06,0,0,3275,0.1254
94,94,v2,1,3.63,0,1,2301,0.0862
95,95,v3,1,4.41,0,1,1407,0.0235
96,96,v2,1,4.92,0,1,1989,0.0752
97,97,v3,1,4.81,0,0,3203,0.0788
98,98,v2,1,3.97,0,2,1178,0.0742
99,99,v3,1,3.75,0,3,3468,0.0423
100,100,v2,1,4.43,0,1,1017,0.1376
101,101,v2,1,4.98,0,1,2941,0.061
102,102,v2,1,3.86,1,2,3238,0.0787
103,103,v2,0,2.91,0,0,1931,0.1189
104,104,v3,0,2.72,0,0,647,0.0299
105,105,v2,0,2.73,0,4,2683,0.0839
106,106,v3,1,4.54,0,4,3269,0.0253
107,107,v2,0,3.15,0,3,1693,0.1085
108,108,v3,1,3.6,0,4,630,0.1039
109,109,v2,1,3.74,0,4,1310,0.0575
110,110,v3,1,4.32,0,0,2156,0.1385
111,111,v2,0,2.8,0,1,751,0.0909
112,112,v2,1,3.18,0,3,933,0.0818
113,113,v3,1,5.0,0,2,622,0.0705
114,114,v3,1,3.2,0,4,2545,0.0818
115,115,v3,1,4.02,0,1,2227,0.1481
116,116,v2,1,5.0,0,2,1568,0.0342
117,117,v3,1,4.53,0,0,1763,0.0567
118,118,v3,1,2.64,0,0,813,0.0965
119,119,v2,1,3.24,0,0,1026,0.0165
120,120,v3,1,4.08,0,4,853,0.0845
121,121,v2,1,3.46,0,1,1695,0.1196
122,122,v3,1,3.69,0,0,2115,0.0358
123,123,v3,0,3.49,0,2,3268,0.0367
124,124,v2,1,4.33,0,1,822,0.0474
125,125,v2,1,4.21,0,0,2661,0.057
126,126,v2,1,4.04,0,1,3562,0.0835
127,127,v2,1,4.37,0,2,1306,0.1145
128,128,v2,1,4.42,0,3,2825,0.1206
129,129,v3,0,3.28,0,1,1401,0.138
130,130,v3,1,4.01,0,3,650,0.0869
131,131,v3,1,3.58,0,4,2041,0.0399
132,132,v2,1,2.87,0,1,627,0.097
133,133,v3,0,2.73,0,4,3045,0.0988
134,134,v3,1,3.38,0,2,2114,0.0518
135,135,v3,1,4.02,0,2,3569,0.0993
136,136,v2,1,4.25,0,1,664,0.0412
137,137,v2,1,3.56,0,3,1494,0.0921
138,138,v2,1,4.7,0,4,1368,0.1013
139,139,v2,1,4.24,0,0,3566,0.0553
140,140,v2,0,2.4,0,2,2514,0.017
141,141,v3,0,2.29,0,1,2391,0.0547
142,142,v3,1,3.82,0,3,3112,0.0147
143,143,v3,1,3.4,0,0,1261,0.0456
144,144,v2,1,3.92,0,0,2586,0.0997
145,145,v3,1,3.07,0,4,3123,0.1052
146,146,v2,1,2.5,0,4,3270,0.0352
147,147,v3,1,3.63,0,1,806,0.1093
148,148,v3,1,4.86,0,1,1252,0.1365
149,149,v2,1,4.99,0,4,3318,0.092
150,150,v2,1,3.83,0,3,1653,0.0883
151,151,v2,1,5.0,0,1,2111,0.141
152,152,v3,0,2.3,0,4,1939,0.0175
153,153,v3,1,3.71,0,2,946,0.135
154,154,v3,1,4.52,0,1,2601,0.0945
155,155,v3,1,2.87,0,1,1826,0.0559
156,156,v2,1,4.41,0,4,2738,0.0399
157,157,v3,0,3.41,0,4,1688,0.0304
158,158,v3,1,3.44,0,3,999,0.1161
159,159,v3,1,5.0,0,4,1128,0.0742
160,160,v2,1,2.8,0,0,3373,0.0187
161,161,v2,1,4.89,0,2,719,0.0212
162,162,v3,1,3.57,0,0,1212,0.0756
163,163,v3,1,3.36,0,4,1192,0.1345
164,164,v3,1,2.86,0,0,3489,0.0957
165,165,v2,1,4.84,0,1,1968,0.142
166,166,v2,0,2.3,0,4,973,0.1401
167,167,v2,1,4.39,1,1,3557,0.0639
168,168,v2,0,1.73,0,4,2217,0.0163
169,169,v3,1,3.61,0,2,1822,0.1304
170,170,v3,0,2.46,0,2,2548,0.0568
171,171,v3,1,3.6,0,2,1801,0.0744
172,172,v3,1,3.91,0,4,1385,0.0459
173,173,v2,1,5.0,0,4,2323,0.0853
174,174,v3,1,2.91,0,4,2501,0.0579
175,175,v2,0,2.38,0,4,1561,0.0633
176,176,v3,1,3.49,0,3,2199,0.054
177,177,v2,1,2.7,0,1,1285,0.0305
178,178,v3,1,4.48,1,3,3125,0.1467
179,179,v2,1,3.73,0,4,1543,0.1454
180,180,v3,1,4.31,0,2,635,0.1133
181,181,v3,1,4.9,0,3,1068,0.0303
182,182,v2,1,4.54,0,3,3142,0.0905
183,183,v2,1,5.0,0,0,2584,0.028
184,184,v3,1,4.78,0,0,1354,0.1251
185,185,v2,1,4.89,0,1,2445,0.1254
186,186,v2,1,5.0,0,1,1626,0.0191
187,187,v3,1,4.87,0,4,1290,0.0418
188,188,v2,1,4.93,0,2,1045,0.0535
189,189,v2,1,3.34,0,4,2228,0.0603
190,190,v3,1,3.82,0,2,979,0.1494
191,191,v3,1,3.89,0,2,1345,0.0178
192,192,v3,0,1.0,0,1,2207,0.0805
193,193,v3,1,4.37,1,1,2066,0.1238
194,194,v2,1,3.04,0,4,3465,0.096
195,195,v3,1,5.0,0,1,2842,0.0139
196,196,v2,1,4.51,0,4,2460,0.1309
197,197,v3,1,4.0,0,1,2310,0.0607
198,198,v3,1,2.8,0,2,858,0.1122
199,199,v2,1,4.02,1,2,2625,0.1445
200,200,v2,1,5.0,0,3,963,0.0668
201,201,v3,1,3.14,0,3,2728,0.1033
202,202,v3,1,4.34,0,3,2177,0.1244
203,203,v2,1,2.73,0,4,1382,0.0858
204,204,v3,1,4.25,0,4,2139,0.1418
205,205,v3,0,1.83,0,0,2413,0.0513
206,206,v3,0,3.28,0,2,2142,0.0616
207,207,v3,1,2.63,0,4,2412,0.1298
208,208,v3,0,1.75,0,4,3527,0.1493
209,209,v2,1,3.92,0,2,2102,0.0451
210,210,v2,1,4.87,0,1,2653,0.0238
211,211,v2,1,3.93,0,0,1348,0.0962
212,212,v3,1,3.63,0,3,3592,0.0322
213,213,v2,1,5.0,0,0,642,0.1405
214,214,v2,1,3.75,0,3,2876,0.0783
215,215,v2,1,3.68,0,0,1381,0.0376
216,216,v3,1,4.04,0,2,1814,0.0306
217,217,v3,1,3.49,0,2,2098,0.1466
218,218,v3,0,2.14,0,3,914,0.09
219,219,v2,1,3.49,0,3,1397,0.1003
220,220,v2,1,5.0,0,1,3249,0.1316
221,221,v3,1,3.4,0,4,2877,0.1165
222,222,v3,1,3.83,0,4,1152,0.1478
223,223,v3,0,2.61,0,2,2311,0.0244
224,224,v2,1,3.61,0,3,634,0.1001
225,225,v2,0,2.2,0,0,3430,0.0274
226,226,v2,1,4.03,0,0,1718,0.0326
227,227,v2,0,2.63,0,3,2398,0.0305
228,228,v3,1,3.97,0,3,2896,0.0137
229,229,v3,1,5.0,0,3,1595,0.1449
230,230,v2,1,3.95,0,3,2435,0.0565
231,231,v3,1,5.0,0,2,3416,0.0828
232,232,v3,1,3.35,0,3,2821,0.0151
233,233,v2,1,3.79,0,4,2285,0.1461
234,234,v2,1,4.34,0,4,2823,0.0458
235,235,v2,1,3.86,0,4,2832,0.0527
236,236,v3,1,3.69,1,1,2282,0.0823
237,237,v3,0,1.8,0,4,939,0.0143
238,238,v3,0,2.07,1,2,3117,0.1033
239,239,v2,1,3.14,0,3,3049,0.1137
240,240,v2,1,5.0,0,3,973,0.1286
241,241,v3,1,5.0,0,1,2763,0.1379
242,242,v2,1,3.67,0,4,1132,0.0621
243,243,v2,1,2.96,0,4,2279,0.0126
244,244,v2,1,3.58,0,2,1959,0.1309
245,245,v2,1,3.12,0,2,1941,0.071
246,246,v2,1,4.71,0,1,632,0.0652
247,247,v3,1,4.1,0,4,3382,0.0562
248,248,v3,1,4.83,0,3,2427,0.0411
249,249,v3,1,4.48,0,4,2257,0.0969
250,250,v3,1,3.04,0,3,3438,0.1103
251,251,v2,1,2.87,0,1,820,0.0662
252,252,v2,1,4.17,0,1,1379,0.0886
253,253,v2,0,1.97,0,3,957,0.0628
254,254,v3,1,3.91,0,3,660,0.0874
255,255,v2,1,2.83,0,4,2166,0.0698
256,256,v3,1,2.89,0,4,2574,0.0316
257,257,v2,1,3.89,0,2,3254,0.1061
258,258,v2,1,4.19,0,1,3365,0.0772
259,259,v2,0,3.8,0,2,1302,0.0378
260,260,v2,1,4.22,0,4,1397,0.0218
261,261,v2,1,5.0,0,4,2817,0.0741
262,262,v3,0,1.38,1,0,793,0.1403
263,263,v3,1,4.17,0,2,2257,0.0973
264,264,v2,1,4.57,0,1,2354,0.1368
265,265,v3,1,4.11,1,1,981,0.1485
266,266,v2,1,3.1,0,4,3361,0.0921
267,267,v3,1,4.7,0,4,883,0.0509
268,268,v2,0,3.12,0,1,2450,0.0233
269,269,v2,1,4.22,0,1,1484,0.0601
270,270,v2,1,4.06,0,2,2995,0.1102
271,271,v2,0,1.57,0,3,3183,0.0137
272,272,v3,1,4.19,0,1,2702,0.115
273,273,v3,1,3.45,0,4,2017,0.0137
274,274,v3,1,3.29,0,4,2338,0.0444
275,275,v3,1,4.26,1,4,2118,0.1094
276,276,v2,0,1.36,0,2,1532,0.1276
277,277,v3,1,4.29,0,1,2613,0.0345
278,278,v3,0,3.72,0,0,2856,0.0851
279,279,v3,1,4.26,0,4,2342,0.0469
280,280,v2,1,3.35,0,2,1572,0.0952
281,281,v2,1,3.06,0,4,3475,0.1079
282,282,v2,0,2.07,0,3,1490,0.0205
283,283,v2,1,5.0,0,0,2704,0.0852
284,284,v3,0,2.89,0,0,2575,0.055
285,285,v2,1,3.29,0,1,2007,0.0824
286,286,v2,1,4.65,0,0,3092,0.0811
287,287,v2,0,2.67,0,0,1240,0.0906
288,288,v2,1,3.92,1,4,2684,0.1025
289,289,v3,1,5.0,0,4,1391,0.0674
290,290,v2,1,3.73,0,2,1754,0.1413
291,291,v3,1,3.77,0,4,2236,0.1356
292,292,v2,0,2.5,0,4,798,0.1278
293,293,v3,1,4.22,0,3,3265,0.0103
294,294,v3,1,5.0,0,1,3538,0.0802
295,295,v2,1,3.86,0,1,627,0.0564
296,296,v3,0,2.21,0,0,632,0.1407
297,297,v3,1,4.08,0,2,2350,0.0741
298,298,v2,1,4.82,0,1,1481,0.1024
299,299,v3,1,3.93,0,1,1498,0.0769
300,300,v2,1,4.93,0,0,2700,0.0661
301,301,v2,1,2.86,0,3,2823,0.0504
302,302,v2,1,3.94,0,4,3142,0.0538
303,303,v3,1,2.23,0,2,662,0.127
304,304,v2,1,5.0,0,2,2338,0.0292
305,305,v2,1,4.84,0,3,1023,0.0739
306,306,v3,1,4.59,0,0,1348,0.1406
307,307,v2,1,3.83,0,4,2602,0.0271
308,308,v2,1,4.05,0,0,1093,0.0838
309,309,v3,1,3.13,0,0,2863,0.0364
310,310,v3,1,3.77,0,2,2024,0.0798
311,311,v3,1,3.86,0,1,2593,0.0733
312,312,v2,1,2.72,0,4,2691,0.0881
313,313,v2,1,4.3,0,0,1161,0.0458
314,314,v3,0,2.17,0,2,1984,0.102
315,315,v3,1,3.05,0,4,3212,0.0362
316,316,v2,1,5.0,0,3,1242,0.0722
317,317,v3,1,3.76,0,2,3237,0.1254
318,318,v3,1,4.24,1,2,1228,0.0699
319,319,v2,1,3.14,0,3,1455,0.0412
320,320,v2,1,3.72,0,2,2918,0.0242
321,321,v3,1,4.84,0,4,967,0.0784
322,322,v3,1,3.22,0,0,2659,0.1165
323,323,v2,1,4.37,0,4,1323,0.0713
324,324,v3,1,3.58,0,0,3548,0.0919
325,325,v2,1,3.51,0,2,3085,0.0292
326,326,v3,1,3.13,0,2,2068,0.0143
327,327,v2,1,3.94,0,1,2432,0.1014
328,328,v2,1,3.98,1,0,967,0.0265
329,329,v3,0,3.3,0,1,3533,0.1414
330,330,v3,1,4.52,0,2,2927,0.0466
331,331,v3,1,5.0,0,3,1421,0.0948
332,332,v3,0,3.1,0,1,1412,0.1199
333,333,v3,1,4.96,0,3,730,0.0656
334,334,v3,0,1.77,0,0,2787,0.1161
335,335,v3,1,4.17,0,2,1960,0.1281
336,336,v2,1,3.49,0,0,3288,0.1206
337,337,v2,1,3.7,0,2,1288,0.071
338,338,v3,1,4.87,0,3,3488,0.1038
339,339,v2,1,4.23,0,1,2481,0.0708
340,340,v2,1,4.33,0,1,2302,0.0187
341,341,v2,1,3.62,0,0,1025,0.0848
342,342,v2,1,4.69,0,0,1577,0.0474
343,343,v2,1,3.61,0,4,1947,0.0564
344,344,v3,1,3.67,0,2,958,0.1215
345,345,v3,0,1.26,0,2,2615,0.144
346,346,v2,1,4.09,0,3,3512,0.0872
347,347,v2,0,1.82,0,2,1697,0.0375
348,348,v3,1,3.64,0,2,2521,0.1138
349,349,v2,1,3.59,1,4,2411,0.0281
350,350,v2,0,2.36,0,3,974,0.1027
351,351,v2,0,3.16,0,1,837,0.0184
352,352,v3,1,4.23,0,3,1922,0.0275
353,353,v3,1,2.95,0,1,2512,0.0861
354,354,v2,0,2.84,0,3,3521,0.0369
355,355,v2,0,2.94,0,2,2601,0.0266
356,356,v3,1,4.79,0,2,781,0.1381
357,357,v2,1,3.84,0,4,991,0.044
358,358,v3,1,4.88,0,1,1249,0.1167
359,359,v2,1,3.13,1,0,1014,0.0751
360,360,v2,0,3.03,0,1,1827,0.0342
361,361,v3,1,3.49,0,0,3297,0.0188
362,362,v2,1,4.08,0,3,2511,0.0675
363,363,v3,1,3.7,0,3,787,0.1326
364,364,v3,0,3.08,0,0,1773,0.1064
365,365,v3,1,3.44,0,0,2288,0.0568
366,366,v3,1,3.4,0,4,2044,0.1147
367,367,v2,1,4.01,0,4,2404,0.0514
368,368,v3,1,4.61,1,4,798,0.0136
369,369,v3,1,3.21,0,3,2250,0.0253
370,370,v2,1,4.48,0,4,1893,0.0736
371,371,v3,1,2.36,0,3,2849,0.0623
372,372,v3,1,3.67,0,0,3378,0.1186
373,373,v3,1,2.7,0,4,3206,0.0636
374,374,v2,0,3.82,0,4,1348,0.1454
375,375,v3,1,4.01,0,1,3180,0.0758
376,376,v3,1,3.28,0,3,1234,0.1289
377,377,v2,1,5.0,0,2,1145,0.1214
378,378,v2,1,2.87,0,0,1733,0.0197
379,379,v2,1,3.55,0,3,792,0.1454
380,380,v2,1,3.21,1,3,1190,0.0961
381,381,v3,0,2.72,0,4,3587,0.0473
382,382,v2,1,3.92,0,4,2357,0.0758
383,383,v2,1,4.19,0,3,3570,0.1001
384,384,v2,1,4.13,0,1,3347,0.0164
385,385,v3,0,2.53,0,2,1034,0.1447
386,386,v2,1,4.81,0,3,3071,0.0424
387,387,v2,1,2.89,0,4,2990,0.1358
388,388,v3,1,4.33,0,0,3290,0.1449
389,389,v2,0,1.22,0,3,1796,0.0531
390,390,v2,0,1.84,0,2,702,0.03
391,391,v2,1,4.53,0,1,3339,0.1119
392,392,v2,0,3.2,0,1,1315,0.057
393,393,v2,1,3.18,0,4,805,0.0982
394,394,v3,0,2.51,0,1,1351,0.09
395,395,v3,1,4.21,0,4,2466,0.069
396,396,v3,1,4.31,0,2,1551,0.0552
397,397,v3,0,2.97,0,1,1345,0.0392
398,398,v3,1,4.09,0,2,2350,0.0307
399,399,v3,1,2.93,0,3,687,0.0981
400,400,v3,1,3.41,0,0,1606,0.0215
401,401,v3,1,3.64,0,2,1957,0.0624
402,402,v2,1,4.38,0,0,2582,0.0377
403,403,v2,1,3.28,0,2,1650,0.094
404,404,v3,1,3.54,0,1,3144,0.0384
405,405,v2,1,4.36,0,1,747,0.0451
406,406,v3,1,3.68,0,1,2794,0.0197
407,407,v2,1,3.36,0,3,1054,0.1413
408,408,v2,0,2.39,0,1,734,0.0177
409,409,v3,1,3.21,0,1,2278,0.0354
410,410,v2,1,4.4,1,3,2839,0.0191
411,411,v2,1,2.79,0,4,1751,0.0244
412,412,v2,1,4.17,0,3,3002,0.0896
413,413,v2,0,2.28,0,3,1069,0.0923
414,414,v2,0,1.98,0,3,1996,0.0296
415,415,v3,0,3.27,0,1,1784,0.0698
416,416,v3,1,3.22,0,1,2797,0.0217
417,417,v3,1,3.91,0,4,899,0.1224
418,418,v2,0,3.99,0,1,2163,0.0259
419,419,v2,1,3.36,0,3,1875,0.0165
420,420,v2,1,4.74,0,3,748,0.0352
421,421,v3,1,4.08,0,3,1456,0.1453
422,422,v2,0,2.04,0,2,1718,0.0964
423,423,v2,1,4.15,0,4,990,0.1168
424,424,v2,1,3.13,0,3,1826,0.0591
425,425,v3,1,4.84,0,4,3330,0.1241
426,426,v3,0,2.04,0,1,753,0.0168
427,427,v2,1,3.97,0,4,3021,0.0422
428,428,v3,0,2.28,0,4,3460,0.0565
429,429,v2,1,2.84,0,4,3024,0.0834
430,430,v2,1,3.27,0,2,3516,0.0658
431,431,v2,0,2.6,0,0,3215,0.0548
432,432,v2,0,2.26,1,2,1693,0.1423
433,433,v3,1,3.71,0,4,1849,0.0751
434,434,v2,1,3.82,0,0,3464,0.1453
435,435,v2,0,2.41,0,3,1415,0.1235
436,436,v2,0,1.77,0,4,2837,0.1002
437,437,v2,1,4.57,0,1,1709,0.0253
438,438,v2,1,4.06,0,2,1466,0.1014
439,439,v2,1,3.51,0,4,2871,0.0647
440,440,v2,1,3.14,0,3,2008,0.0519
441,441,v3,1,3.35,0,1,801,0.0431
442,442,v3,1,4.34,0,3,805,0.0241
443,443,v2,1,3.4,0,4,1492,0.0936
444,444,v3,1,2.56,0,4,1887,0.0863
445,445,v3,1,3.31,0,3,2387,0.0405
446,446,v2,1,4.15,1,2,1609,0.0475
447,447,v3,0,2.99,0,1,955,0.0273
448,448,v2,1,3.5,0,0,705,0.0639
449,449,v3,1,5.0,1,2,2134,0.0113
450,450,v2,1,2.41,0,2,3036,0.1176
451,451,v3,1,4.37,0,3,1767,0.1342
452,452,v2,1,4.13,0,1,1978,0.1379
453,453,v2,0,2.49,0,4,2168,0.044
454,454,v2,1,3.53,0,2,3308,0.04
455,455,v2,1,4.58,0,2,2658,0.0629
456,456,v2,1,2.57,0,3,3296,0.0202
457,457,v2,1,3.11,0,1,2956,0.0102
458,458,v3,1,3.72,0,3,1596,0.1269
459,459,v3,1,3.2,0,4,1341,0.0836
460,460,v3,1,5.0,0,3,1663,0.0983
461,461,v3,1,5.0,0,3,1066,0.1382
462,462,v3,1,4.39,0,4,1677,0.0264
463,463,v2,1,3.06,0,0,3369,0.0586
464,464,v2,1,4.97,0,2,1731,0.0613
465,465,v3,1,4.23,0,0,1290,0.0373
466,466,v2,1,5.0,0,1,3521,0.0144
467,467,v3,1,3.31,0,4,1039,0.0137
468,468,v2,0,2.68,0,4,966,0.0685
469,469,v2,0,2.12,0,2,2310,0.0457
470,470,v2,0,2.54,1,0,1158,0.105
471,471,v3,1,2.54,0,1,3057,0.0835
472,472,v2,1,5.0,0,0,2368,0.0741
473,473,v3,1,4.68,0,4,2604,0.1495
474,474,v2,0,2.04,0,0,1737,0.1479
475,475,v3,1,4.15,0,2,1008,0.1497
476,476,v2,1,4.08,0,4,3089,0.0327
477,477,v3,1,4.22,0,1,1096,0.1025
478,478,v3,0,2.64,0,0,2211,0.031
479,479,v3,1,4.99,0,4,694,0.0849
480,480,v3,1,4.74,0,2,1060,0.0751
481,481,v3,1,3.54,0,2,926,0.143
482,482,v2,1,3.29,0,0,1641,0.0639
483,483,v2,1,3.82,0,0,1963,0.0401
484,484,v3,0,1.34,1,1,3024,0.0358
485,485,v2,1,3.3,0,4,2177,0.0241
486,486,v2,1,5.0,0,4,958,0.0713
487,487,v2,1,4.57,0,1,3279,0.1421
488,488,v3,1,4.92,1,2,1211,0.0242
489,489,v2,0,3.88,1,1,2211,0.1304
490,490,v3,0,2.34,0,3,2903,0.1051
491,491,v2,1,3.9,0,0,1960,0.0648
492,492,v2,1,2.63,0,1,1588,0.0494
493,493,v2,1,4.47,0,4,1300,0.1123
494,494,v3,1,2.93,0,4,1267,0.0379
495,495,v3,1,3.41,0,0,641,0.1182
496,496,v2,0,2.75,0,1,2693,0.0356
497,497,v3,1,5.0,0,4,3121,0.1434
498,498,v2,1,3.69,0,1,1814,0.1487
499,499,v2,1,4.66,1,4,2751,0.1445
500,500,v2,1,4.7,0,3,3132,0.1283
501,501,v3,1,3.63,0,1,3095,0.0652
502,502,v3,1,3.73,0,2,1671,0.0242
503,503,v3,1,5.0,0,0,1789,0.0908
504,504,v3,1,3.45,0,1,1098,0.1041
505,505,v2,0,2.17,0,1,1632,0.1319
506,506,v2,1,5.0,0,0,2718,0.0842
507,507,v2,1,3.94,0,1,1407,0.0405
508,508,v2,1,3.84,0,4,1882,0.0823
509,509,v2,1,4.44,0,3,1701,0.1176
510,510,v2,1,2.44,0,0,2030,0.0342
511,511,v3,1,3.58,0,1,1605,0.0112
512,512,v3,1,4.27,0,4,3152,0.0277
513,513,v2,1,4.18,0,1,2092,0.0326
514,514,v2,1,4.07,0,4,725,0.0591
515,515,v3,0,2.31,0,2,2822,0.1118
516,516,v2,0,2.48,0,2,998,0.1078
517,517,v2,1,4.47,0,3,802,0.0541
518,518,v2,1,4.04,0,4,2728,0.0229
519,519,v2,1,3.65,0,0,2433,0.0164
520,520,v3,1,3.49,0,4,2240,0.1454
521,521,v3,1,3.26,0,3,3437,0.1275
522,522,v3,1,3.27,1,3,1463,0.0859
523,523,v2,1,3.05,0,2,1056,0.0463
524,524,v3,1,4.13,0,4,1250,0.0333
525,525,v2,1,3.6,0,1,2336,0.148
526,526,v2,1,3.74,0,0,3263,0.0456
527,527,v3,1,5.0,1,2,3507,0.1496
528,528,v2,1,2.94,0,0,3137,0.0109
529,529,v2,1,4.16,0,1,1885,0.1284
530,530,v2,0,2.58,0,0,758,0.1243
531,531,v3,1,3.67,0,4,853,0.0253
532,532,v2,1,3.55,0,4,1428,0.0518
533,533,v3,1,3.63,0,1,1898,0.071
534,534,v2,1,4.15,0,2,3584,0.0588
535,535,v3,1,3.58,0,4,877,0.1429
536,536,v3,1,4.08,1,4,2366,0.0229
537,537,v3,1,4.44,0,3,3339,0.0174
538,538,v3,1,3.73,0,0,1005,0.0482
539,539,v3,0,2.84,0,3,3181,0.1291
540,540,v3,1,3.37,0,4,2787,0.0411
541,541,v2,1,4.18,0,2,926,0.1113
542,542,v3,1,2.18,0,0,3088,0.1063
543,543,v2,1,4.22,0,0,986,0.0549
544,544,v2,1,4.76,0,4,2362,0.114
545,545,v3,1,3.25,0,4,1160,0.1365
546,546,v2,1,3.71,0,1,1829,0.1234
547,547,v3,1,3.72,0,0,1606,0.0657
548,548,v3,1,3.15,0,3,3214,0.0389
549,549,v3,0,2.17,0,0,1152,0.1336
550,550,v2,1,4.03,0,0,2309,0.0462
551,551,v3,1,2.54,0,3,1750,0.0694
552,552,v3,1,3.85,0,0,2721,0.1485
553,553,v3,1,4.23,0,2,1904,0.0481
554,554,v3,1,4.96,0,1,2798,0.0617
555,555,v3,1,4.35,0,0,1629,0.0661
556,556,v3,1,3.9,0,0,2913,0.1172
557,557,v2,0,2.74,0,2,2525,0.0781
558,558,v2,1,3.69,0,2,3088,0.0802
559,559,v2,1,4.24,0,4,1934,0.0236
560,560,v3,1,4.89,1,2,1522,0.1365
561,561,v2,0,3.33,0,3,2330,0.0149
